timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
59758, 1, 0.50, 0.50, -0.94, -0.13, 54.96, 19.92, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 0.69, -19.42, 1.00, 0.01, -0.01061, 0.00816
59784, 1, 0.50, 0.50, -0.86, -0.13, 50.47, 19.93, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 0.67, -19.43, 1.00, 0.09, -0.01062, 0.08164
59792, 1, 0.50, 0.50, -0.78, -0.13, 40.58, 19.94, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 2.33, -19.44, 1.00, 0.17, -0.01068, 0.14913
59818, 1, 0.50, 0.50, -0.72, -0.13, 26.09, 19.95, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 6.83, -19.45, 1.00, 0.12, -0.01074, 0.06261
59826, 1, 0.50, 0.50, -0.68, -0.13, 13.77, 19.96, 0.90, 36.00, 0.01, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 16.71, -19.46, 1.00, -0.08, -0.01047, -0.18839
59841, 1, 0.50, 0.50, -0.64, -0.13, 7.05, 19.97, 0.90, 36.00, 0.01, 16.00, 0.00, 0.00, 16.00, 0.00, 0.00, 16.00, 0.00, 0.00, 16.00, 0.00, 0.00, 31.20, -19.47, 1.00, -0.24, -0.00992, -0.39424
59851, 1, 0.50, 0.50, -0.62, -0.13, 3.98, 19.98, 0.90, 36.00, 0.01, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 43.52, -19.48, 1.00, -0.21, -0.00956, -0.39352
59865, 1, 0.50, 0.50, -0.60, -0.13, 2.51, 19.99, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 50.24, -19.49, 1.00, -0.03, -0.00942, -0.22846
59878, 1, 0.50, 0.50, -0.58, -0.13, 1.71, 19.99, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 53.31, -19.49, 1.00, 0.16, -0.00939, -0.05935
59891, 1, 0.50, 0.50, -0.57, -0.13, 1.23, 20.00, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 54.79, -19.50, 1.00, 0.24, -0.00940, 0.01477
59905, 1, 0.50, 0.50, -0.56, -0.13, 0.93, 20.01, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 55.59, -19.51, 1.00, 0.27, -0.00941, 0.03318
59918, 1, 0.50, 0.50, -0.55, -0.13, 0.71, 20.02, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 56.07, -19.52, 1.00, 0.27, -0.00942, 0.02314
59931, 1, 0.50, 0.50, -0.54, -0.13, 0.55, 20.02, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 4.00, 0.05, 22.00, 0.00, 0.00, 56.37, -19.52, 1.00, 0.27, -0.00942, 0.00975
59945, 1, 0.50, 0.50, -0.54, -0.13, 0.43, 20.03, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 10.00, 0.11, 22.00, 0.00, 0.00, 56.59, -19.53, 1.00, 0.27, -0.00942, 0.00242
59958, 1, 0.50, 0.50, -0.53, -0.13, 0.35, 20.04, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 14.00, 0.16, 22.00, 0.00, 0.00, 56.74, -19.54, 1.00, 0.28, -0.00942, -0.00037
