timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
164144, 0, 0.50, 0.50, -1.03, -0.45, 52.94, 39.26, 1.32, 52.80, 0.01, 0.17, 0.01, 0.00, 0.23, 0.03, 0.00, 0.14, 0.03, 0.00, 0.20, 0.04, 0.00, 0.00, -38.76, 1.00, 0.19, -0.00004, 0.00003
164169, 0, 0.50, 0.50, -0.93, -0.40, 43.10, 39.28, 1.32, 52.80, 0.01, 0.00, 0.01, 0.00, 0.01, 0.03, 0.00, 0.00, 0.03, 0.00, 0.00, 0.04, 0.00, 57.30, -38.78, 1.00, 0.02, 0.00032, -0.00232
164177, 0, 0.50, 0.50, -0.84, -0.35, 27.94, 39.29, 1.32, 52.80, 0.01, 0.03, 0.01, 0.00, 0.06, 0.03, 0.00, 0.03, 0.03, 0.00, 0.04, 0.04, 0.00, 4.36, -38.79, 1.00, 0.05, 0.00019, -0.00243
164189, 0, 0.50, 0.50, -0.77, -0.32, 14.63, 39.30, 1.32, 52.80, 0.01, 0.08, 0.01, 0.00, 0.13, 0.03, 0.00, 0.07, 0.03, 0.00, 0.11, 0.04, 0.00, 14.19, -38.80, 1.00, 0.11, 0.00014, -0.00047
164197, 0, 0.50, 0.50, -0.72, -0.29, 7.31, 39.31, 1.32, 52.80, 0.01, 0.14, 0.01, 0.00, 0.20, 0.03, 0.00, 0.11, 0.03, 0.00, 0.17, 0.04, 0.00, 29.36, -38.81, 1.00, 0.17, 0.00043, 0.00833
164210, 0, 0.50, 0.50, -0.68, -0.27, 4.05, 39.32, 1.32, 52.80, 0.01, 0.20, 0.01, 0.00, 0.27, 0.03, 0.00, 0.15, 0.03, 0.00, 0.24, 0.04, 0.00, 42.66, -38.82, 1.00, 0.22, 0.00078, 0.02874
164237, 0, 0.50, 0.50, -0.65, -0.25, 2.52, 39.33, 1.32, 52.80, 0.01, 0.23, 0.01, 0.00, 0.30, 0.03, 0.00, 0.18, 0.03, 0.00, 0.27, 0.04, 0.00, 49.99, -38.83, 1.00, 0.24, 0.00097, 0.03223
164245, 0, 0.50, 0.50, -0.63, -0.23, 1.70, 39.34, 1.32, 52.80, 0.01, 0.23, 0.01, 0.00, 0.30, 0.03, 0.00, 0.18, 0.03, 0.00, 0.25, 0.04, 0.00, 53.24, -38.84, 1.00, 0.24, 0.00103, 0.01477
164253, 0, 0.50, 0.50, -0.61, -0.22, 1.23, 39.35, 1.32, 52.80, 0.01, 0.21, 0.01, 0.00, 0.28, 0.03, 0.00, 0.17, 0.03, 0.00, 0.25, 0.04, 0.00, 54.78, -38.85, 1.00, 0.24, 0.00103, -0.00082
164268, 0, 0.50, 0.50, -0.59, -0.21, 0.93, 39.35, 1.32, 52.80, 0.01, 0.23, 0.01, 0.00, 0.30, 0.03, 0.00, 0.18, 0.03, 0.00, 0.27, 0.04, 0.00, 55.60, -38.85, 1.00, 0.24, 0.00102, -0.00395
164277, 0, 0.50, 0.50, -0.58, -0.20, 0.71, 39.36, 1.32, 52.80, 0.01, 0.24, 0.01, 0.00, 0.31, 0.03, 0.00, 0.20, 0.03, 0.00, 0.28, 0.04, 0.00, 56.07, -38.86, 1.00, 0.26, 0.00101, -0.00280
164290, 0, 0.50, 0.50, -0.57, -0.19, 0.55, 39.37, 1.32, 52.80, 0.01, 0.25, 0.01, 0.00, 0.32, 0.03, 0.00, 0.20, 0.03, 0.00, 0.30, 0.04, 0.00, 56.37, -38.87, 1.00, 0.27, 0.00100, -0.00119
164304, 0, 0.50, 0.50, -0.56, -0.18, 0.42, 39.38, 1.32, 52.80, 0.01, 0.27, 0.01, 0.00, 0.34, 0.03, 0.00, 0.21, 0.03, 0.00, 0.31, 0.04, 0.00, 56.59, -38.88, 1.00, 0.28, 0.00100, -0.00031
164317, 0, 0.50, 0.50, -0.56, -0.18, 0.34, 39.38, 1.32, 52.80, 0.01, 0.27, 0.01, 0.00, 0.35, 0.03, 0.00, 0.23, 0.03, 0.00, 0.32, 0.04, 0.00, 56.75, -38.88, 1.00, 0.29, 0.00100, 0.00003
164330, 0, 0.50, 0.50, -0.55, -0.17, 0.26, 39.39, 1.32, 52.80, 0.01, 0.28, 0.01, 0.00, 0.37, 0.03, 0.00, 0.23, 0.03, 0.00, 0.32, 0.04, 0.00, 56.87, -38.89, 1.00, 0.30, 0.00100, 0.00013
164344, 0, 0.50, 0.50, -0.55, -0.17, 0.20, 39.40, 1.32, 52.80, 0.01, 0.30, 0.01, 0.00, 0.38, 0.03, 0.00, 0.24, 0.03, 0.00, 0.34, 0.04, 0.00, 56.96, -38.90, 1.00, 0.31, 0.00100, 0.00015
164357, 0, 0.50, 0.50, -0.54, -0.16, 0.15, 39.41, 1.32, 52.80, 0.01, 0.31, 0.01, 0.00, 0.39, 0.03, 0.00, 0.24, 0.03, 0.00, 0.35, 0.04, 0.00, 57.03, -38.91, 1.00, 0.32, 0.00100, 0.00013
164370, 0, 0.50, 0.50, -0.54, -0.16, 0.11, 39.41, 1.32, 52.80, 0.01, 0.31, 0.01, 0.00, 0.41, 0.03, 0.00, 0.25, 0.03, 0.00, 0.37, 0.04, 0.00, 57.10, -38.91, 1.00, 0.33, 0.00100, 0.00011
164384, 0, 0.50, 0.50, -0.54, -0.16, 0.08, 39.42, 1.32, 52.80, 0.01, 0.32, 0.01, 0.00, 0.42, 0.03, 0.00, 0.27, 0.03, 0.00, 0.38, 0.04, 0.00, 57.15, -38.92, 1.00, 0.34, 0.00100, 0.00009
164397, 0, 0.50, 0.50, -0.53, -0.15, 0.05, 39.43, 1.32, 52.80, 0.01, 0.34, 0.01, 0.00, 0.44, 0.03, 0.00, 0.27, 0.03, 0.00, 0.39, 0.04, 0.00, 57.19, -38.93, 1.00, 0.35, 0.00100, 0.00007
164410, 0, 0.50, 0.50, -0.53, -0.15, 0.02, 39.44, 1.32, 52.80, 0.01, 0.34, 0.01, 0.00, 0.45, 0.03, 0.00, 0.28, 0.03, 0.00, 0.39, 0.04, 0.00, 57.22, -38.94, 1.00, 0.36, 0.00100, 0.00005
164424, 0, 0.50, 0.50, -0.53, -0.15, -0.01, 39.44, 1.32, 52.80, 0.01, 0.35, 0.01, 0.00, 0.46, 0.03, 0.00, 0.28, 0.03, 0.00, 0.41, 0.04, 0.00, 57.25, -38.94, 1.00, 0.37, 0.00100, 0.00004
164437, 0, 0.50, 0.50, -0.53, -0.15, -0.03, 39.45, 1.32, 52.80, 0.01, 0.37, 0.01, 0.00, 0.48, 0.03, 0.00, 0.30, 0.03, 0.00, 0.42, 0.04, 0.00, 57.28, -38.95, 1.00, 0.38, 0.00100, 0.00003
164450, 0, 0.50, 0.50, -0.53, -0.15, -0.04, 39.46, 1.32, 52.80, 0.01, 0.38, 0.01, 0.00, 0.49, 0.03, 0.00, 0.31, 0.03, 0.00, 0.44, 0.04, 0.00, 57.30, -38.96, 1.00, 0.39, 0.00100, 0.00002
164464, 0, 0.50, 0.50, -0.53, -0.15, -0.06, 39.47, 1.32, 52.80, 0.01, 0.38, 0.01, 0.00, 0.51, 0.03, 0.00, 0.31, 0.03, 0.00, 0.45, 0.04, 0.00, 57.30, -38.97, 1.00, 0.40, 0.00100, -0.00000
164477, 0, 0.50, 0.50, -0.53, -0.14, -0.07, 39.47, 1.32, 52.80, 0.01, 0.39, 0.01, 0.00, 0.52, 0.03, 0.00, 0.32, 0.03, 0.00, 0.46, 0.04, 0.00, 57.30, -38.97, 1.00, 0.41, 0.00100, -0.00001
164490, 0, 0.50, 0.50, -0.52, -0.14, -0.08, 39.48, 1.32, 52.80, 0.01, 0.41, 0.01, 0.00, 0.54, 0.03, 0.00, 0.32, 0.03, 0.00, 0.48, 0.04, 0.00, 57.30, -38.98, 1.00, 0.42, 0.00100, -0.00002
164504, 0, 0.50, 0.50, -0.52, -0.14, -0.09, 39.49, 1.32, 52.80, 0.01, 0.42, 0.01, 0.00, 0.55, 0.03, 0.00, 0.34, 0.03, 0.00, 0.48, 0.04, 0.00, 57.30, -38.99, 1.00, 0.43, 0.00100, -0.00001
