timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
244490, 0, 0.50, 0.50, -0.93, -0.08, 55.12, 79.03, 1.32, 52.80, 0.01, 0.17, 0.10, 0.00, 0.23, 0.10, 0.00, 0.14, 0.10, 0.00, 0.20, 0.11, 0.00, 0.00, -78.53, 1.00, 0.19, -0.00004, 0.00003
244518, 0, 0.50, 0.50, -0.82, -0.09, 48.63, 79.04, 1.32, 52.80, 0.01, 0.00, 0.10, 0.00, 0.00, 0.10, 0.00, 0.00, 0.10, 0.00, 0.00, 0.11, 0.00, 57.30, -78.54, 1.00, 0.01, 0.00035, -0.00268
244530, 0, 0.50, 0.50, -0.75, -0.10, 35.97, 79.05, 1.32, 52.80, 0.01, 0.01, 0.10, 0.00, 0.03, 0.10, 0.00, 0.01, 0.10, 0.00, 0.01, 0.11, 0.00, 2.18, -78.55, 1.00, 0.04, 0.00026, -0.00357
244544, 0, 0.50, 0.50, -0.69, -0.11, 20.90, 79.06, 1.32, 52.80, 0.01, 0.06, 0.10, 0.00, 0.08, 0.10, 0.00, 0.04, 0.10, 0.00, 0.07, 0.11, 0.00, 8.66, -78.56, 1.00, 0.08, 0.00020, -0.00097
244557, 0, 0.50, 0.50, -0.66, -0.11, 10.52, 79.07, 1.32, 52.80, 0.01, 0.13, 0.10, 0.00, 0.17, 0.10, 0.00, 0.10, 0.10, 0.00, 0.15, 0.11, 0.00, 21.33, -78.57, 1.00, 0.14, 0.00050, 0.00961
244570, 0, 0.50, 0.50, -0.63, -0.11, 5.49, 79.07, 1.32, 52.80, 0.01, 0.20, 0.10, 0.00, 0.25, 0.10, 0.00, 0.15, 0.10, 0.00, 0.23, 0.11, 0.00, 36.40, -78.57, 1.00, 0.21, 0.00098, 0.03898
244597, 0, 0.50, 0.50, -0.61, -0.11, 3.20, 79.08, 1.32, 52.80, 0.01, 0.23, 0.10, 0.00, 0.31, 0.10, 0.00, 0.18, 0.10, 0.00, 0.27, 0.11, 0.00, 46.78, -78.58, 1.00, 0.25, 0.00127, 0.04922
244605, 0, 0.50, 0.50, -0.59, -0.12, 2.10, 79.09, 1.32, 52.80, 0.01, 0.23, 0.10, 0.00, 0.30, 0.10, 0.00, 0.18, 0.10, 0.00, 0.27, 0.11, 0.00, 51.81, -78.59, 1.00, 0.24, 0.00137, 0.02770
244613, 0, 0.50, 0.50, -0.58, -0.12, 1.46, 79.10, 1.32, 52.80, 0.01, 0.21, 0.10, 0.00, 0.28, 0.10, 0.00, 0.17, 0.10, 0.00, 0.25, 0.11, 0.00, 54.10, -78.60, 1.00, 0.23, 0.00138, 0.00382
244628, 0, 0.50, 0.50, -0.57, -0.12, 1.07, 79.11, 1.32, 52.80, 0.01, 0.23, 0.10, 0.00, 0.28, 0.10, 0.00, 0.17, 0.10, 0.00, 0.25, 0.11, 0.00, 55.20, -78.61, 1.00, 0.24, 0.00137, -0.00435
244637, 0, 0.50, 0.50, -0.56, -0.12, 0.79, 79.11, 1.32, 52.80, 0.01, 0.23, 0.10, 0.00, 0.30, 0.10, 0.00, 0.18, 0.10, 0.00, 0.27, 0.11, 0.00, 55.84, -78.61, 1.00, 0.25, 0.00136, -0.00476
244650, 0, 0.50, 0.50, -0.56, -0.12, 0.60, 79.12, 1.32, 52.80, 0.01, 0.24, 0.10, 0.00, 0.32, 0.10, 0.00, 0.20, 0.10, 0.00, 0.28, 0.11, 0.00, 56.23, -78.62, 1.00, 0.26, 0.00135, -0.00262
244664, 0, 0.50, 0.50, -0.55, -0.12, 0.47, 79.13, 1.32, 52.80, 0.01, 0.25, 0.10, 0.00, 0.34, 0.10, 0.00, 0.21, 0.10, 0.00, 0.30, 0.11, 0.00, 56.51, -78.63, 1.00, 0.27, 0.00135, -0.00091
244677, 0, 0.50, 0.50, -0.55, -0.12, 0.36, 79.14, 1.32, 52.80, 0.01, 0.27, 0.10, 0.00, 0.35, 0.10, 0.00, 0.21, 0.10, 0.00, 0.31, 0.11, 0.00, 56.70, -78.64, 1.00, 0.28, 0.00135, -0.00014
244690, 0, 0.50, 0.50, -0.55, -0.13, 0.28, 79.14, 1.32, 52.80, 0.01, 0.28, 0.10, 0.00, 0.37, 0.10, 0.00, 0.23, 0.10, 0.00, 0.32, 0.11, 0.00, 56.82, -78.64, 1.00, 0.29, 0.00135, 0.00011
