timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
300717, 0, 0.50, 0.50, -0.92, 0.11, 50.85, 117.56, 1.32, 52.80, 0.01, 0.17, 0.13, 0.00, 0.23, 0.13, 0.00, 0.14, 0.08, 0.00, 0.20, 0.11, 0.00, 0.00, -117.06, 1.00, 0.19, -0.00004, 0.00003
300747, 0, 0.50, 0.50, -0.85, 0.06, 39.95, 117.57, 1.32, 52.80, 0.01, 0.01, 0.13, 0.00, 0.01, 0.13, 0.00, 0.00, 0.08, 0.00, 0.01, 0.11, 0.00, 57.30, -117.07, 1.00, 0.03, 0.00029, -0.00203
300757, 0, 0.50, 0.50, -0.78, 0.02, 24.85, 117.58, 1.32, 52.80, 0.01, 0.04, 0.13, 0.00, 0.07, 0.13, 0.00, 0.03, 0.08, 0.00, 0.06, 0.11, 0.00, 6.45, -117.08, 1.00, 0.07, 0.00016, -0.00188
300770, 0, 0.50, 0.50, -0.73, -0.00, 12.83, 117.59, 1.32, 52.80, 0.01, 0.10, 0.13, 0.00, 0.14, 0.13, 0.00, 0.08, 0.08, 0.00, 0.11, 0.11, 0.00, 17.34, -117.09, 1.00, 0.12, 0.00011, -0.00032
300784, 0, 0.50, 0.50, -0.69, -0.02, 6.61, 117.60, 1.32, 52.80, 0.01, 0.15, 0.13, 0.00, 0.21, 0.13, 0.00, 0.13, 0.08, 0.00, 0.18, 0.11, 0.00, 32.45, -117.10, 1.00, 0.17, 0.00037, 0.00708
300810, 0, 0.50, 0.50, -0.66, -0.04, 3.77, 117.61, 1.32, 52.80, 0.01, 0.20, 0.13, 0.00, 0.27, 0.13, 0.00, 0.15, 0.08, 0.00, 0.24, 0.11, 0.00, 44.47, -117.11, 1.00, 0.22, 0.00067, 0.02339
300818, 0, 0.50, 0.50, -0.64, -0.05, 2.37, 117.62, 1.32, 52.80, 0.01, 0.23, 0.13, 0.00, 0.30, 0.13, 0.00, 0.17, 0.08, 0.00, 0.25, 0.11, 0.00, 50.69, -117.12, 1.00, 0.24, 0.00083, 0.02549
300826, 0, 0.50, 0.50, -0.62, -0.06, 1.62, 117.63, 1.32, 52.80, 0.01, 0.23, 0.13, 0.00, 0.28, 0.13, 0.00, 0.17, 0.08, 0.00, 0.25, 0.11, 0.00, 53.53, -117.13, 1.00, 0.24, 0.00089, 0.01094
300842, 0, 0.50, 0.50, -0.60, -0.07, 1.18, 117.64, 1.32, 52.80, 0.01, 0.23, 0.13, 0.00, 0.28, 0.13, 0.00, 0.17, 0.08, 0.00, 0.25, 0.11, 0.00, 54.93, -117.14, 1.00, 0.24, 0.00088, -0.00126
300850, 0, 0.50, 0.50, -0.59, -0.08, 0.87, 117.64, 1.32, 52.80, 0.01, 0.23, 0.13, 0.00, 0.30, 0.13, 0.00, 0.18, 0.08, 0.00, 0.27, 0.11, 0.00, 55.68, -117.14, 1.00, 0.25, 0.00087, -0.00317
300864, 0, 0.50, 0.50, -0.58, -0.09, 0.67, 117.65, 1.32, 52.80, 0.01, 0.24, 0.13, 0.00, 0.31, 0.13, 0.00, 0.20, 0.08, 0.00, 0.28, 0.11, 0.00, 56.11, -117.15, 1.00, 0.26, 0.00086, -0.00203
300877, 0, 0.50, 0.50, -0.57, -0.09, 0.53, 117.66, 1.32, 52.80, 0.01, 0.25, 0.13, 0.00, 0.34, 0.13, 0.00, 0.20, 0.08, 0.00, 0.30, 0.11, 0.00, 56.42, -117.16, 1.00, 0.27, 0.00086, -0.00081
300890, 0, 0.50, 0.50, -0.57, -0.09, 0.41, 117.67, 1.32, 52.80, 0.01, 0.27, 0.13, 0.00, 0.35, 0.13, 0.00, 0.21, 0.08, 0.00, 0.31, 0.11, 0.00, 56.63, -117.17, 1.00, 0.28, 0.00086, -0.00019
300904, 0, 0.50, 0.50, -0.56, -0.10, 0.32, 117.67, 1.32, 52.80, 0.01, 0.27, 0.13, 0.00, 0.37, 0.13, 0.00, 0.23, 0.08, 0.00, 0.32, 0.11, 0.00, 56.77, -117.17, 1.00, 0.29, 0.00086, 0.00004
300917, 0, 0.50, 0.50, -0.55, -0.10, 0.25, 117.68, 1.32, 52.80, 0.01, 0.28, 0.13, 0.00, 0.37, 0.13, 0.00, 0.23, 0.08, 0.00, 0.34, 0.11, 0.00, 56.88, -117.18, 1.00, 0.30, 0.00086, 0.00011
300930, 0, 0.50, 0.50, -0.55, -0.10, 0.19, 117.69, 1.32, 52.80, 0.01, 0.30, 0.13, 0.00, 0.38, 0.13, 0.00, 0.24, 0.08, 0.00, 0.34, 0.11, 0.00, 56.98, -117.19, 1.00, 0.31, 0.00086, 0.00012
300944, 0, 0.50, 0.50, -0.54, -0.11, 0.15, 117.70, 1.32, 52.80, 0.01, 0.31, 0.13, 0.00, 0.39, 0.13, 0.00, 0.24, 0.08, 0.00, 0.35, 0.11, 0.00, 57.04, -117.20, 1.00, 0.32, 0.00086, 0.00011
300957, 0, 0.50, 0.50, -0.54, -0.11, 0.11, 117.70, 1.32, 52.80, 0.01, 0.31, 0.13, 0.00, 0.41, 0.13, 0.00, 0.25, 0.08, 0.00, 0.37, 0.11, 0.00, 57.11, -117.20, 1.00, 0.33, 0.00086, 0.00009
300970, 0, 0.50, 0.50, -0.54, -0.11, 0.08, 117.71, 1.32, 52.80, 0.01, 0.32, 0.13, 0.00, 0.42, 0.13, 0.00, 0.27, 0.08, 0.00, 0.38, 0.11, 0.00, 57.15, -117.21, 1.00, 0.34, 0.00086, 0.00007
300984, 0, 0.50, 0.50, -0.54, -0.11, 0.04, 117.72, 1.32, 52.80, 0.01, 0.34, 0.13, 0.00, 0.44, 0.13, 0.00, 0.27, 0.08, 0.00, 0.39, 0.11, 0.00, 57.18, -117.22, 1.00, 0.35, 0.00086, 0.00006
300997, 0, 0.50, 0.50, -0.53, -0.11, 0.02, 117.73, 1.32, 52.80, 0.01, 0.35, 0.13, 0.00, 0.45, 0.13, 0.00, 0.28, 0.08, 0.00, 0.41, 0.11, 0.00, 57.22, -117.23, 1.00, 0.36, 0.00086, 0.00005
301010, 0, 0.50, 0.50, -0.53, -0.11, -0.01, 117.73, 1.32, 52.80, 0.01, 0.35, 0.13, 0.00, 0.46, 0.13, 0.00, 0.28, 0.08, 0.00, 0.41, 0.11, 0.00, 57.25, -117.23, 1.00, 0.37, 0.00086, 0.00004
301024, 0, 0.50, 0.50, -0.53, -0.12, -0.03, 117.74, 1.32, 52.80, 0.01, 0.37, 0.13, 0.00, 0.48, 0.13, 0.00, 0.30, 0.08, 0.00, 0.42, 0.11, 0.00, 57.28, -117.24, 1.00, 0.38, 0.00086, 0.00003
301037, 0, 0.50, 0.50, -0.53, -0.12, -0.04, 117.75, 1.32, 52.80, 0.01, 0.38, 0.13, 0.00, 0.49, 0.13, 0.00, 0.31, 0.08, 0.00, 0.44, 0.11, 0.00, 57.30, -117.25, 1.00, 0.39, 0.00086, 0.00001
301050, 0, 0.50, 0.50, -0.53, -0.12, -0.06, 117.75, 1.32, 52.80, 0.01, 0.38, 0.13, 0.00, 0.51, 0.13, 0.00, 0.31, 0.08, 0.00, 0.45, 0.11, 0.00, 57.30, -117.25, 1.00, 0.40, 0.00086, -0.00000
301064, 0, 0.50, 0.50, -0.53, -0.12, -0.07, 117.76, 1.32, 52.80, 0.01, 0.39, 0.13, 0.00, 0.52, 0.13, 0.00, 0.32, 0.08, 0.00, 0.46, 0.11, 0.00, 57.30, -117.26, 1.00, 0.41, 0.00086, -0.00001
301077, 0, 0.50, 0.50, -0.53, -0.12, -0.08, 117.77, 1.32, 52.80, 0.01, 0.41, 0.13, 0.00, 0.54, 0.13, 0.00, 0.32, 0.08, 0.00, 0.48, 0.11, 0.00, 57.30, -117.27, 1.00, 0.42, 0.00086, -0.00001
301105, 0, 0.50, 0.50, -0.52, -0.12, -0.09, 117.78, 1.32, 52.80, 0.01, 0.42, 0.13, 0.00, 0.55, 0.13, 0.00, 0.34, 0.08, 0.00, 0.49, 0.11, 0.00, 57.30, -117.28, 1.00, 0.43, 0.00086, -0.00001
301117, 0, 0.50, 0.50, -0.52, -0.12, -0.10, 117.78, 1.32, 52.80, 0.01, 0.42, 0.13, 0.00, 0.56, 0.13, 0.00, 0.35, 0.08, 0.00, 0.49, 0.11, 0.00, 57.30, -117.28, 1.00, 0.44, 0.00086, -0.00000
301130, 0, 0.50, 0.50, -0.52, -0.12, -0.11, 117.79, 1.32, 52.80, 0.01, 0.44, 0.13, 0.00, 0.58, 0.13, 0.00, 0.35, 0.08, 0.00, 0.51, 0.11, 0.00, 57.30, -117.29, 1.00, 0.45, 0.00086, -0.00000
301144, 0, 0.50, 0.50, -0.52, -0.12, -0.11, 117.80, 1.32, 52.80, 0.01, 0.45, 0.13, 0.00, 0.58, 0.13, 0.00, 0.37, 0.08, 0.00, 0.52, 0.11, 0.00, 57.30, -117.30, 1.00, 0.46, 0.00086, 0.00000
301157, 0, 0.50, 0.50, -0.52, -0.12, -0.12, 117.80, 1.32, 52.80, 0.01, 0.46, 0.13, 0.00, 0.59, 0.13, 0.00, 0.37, 0.08, 0.00, 0.54, 0.11, 0.00, 57.30, -117.30, 1.00, 0.47, 0.00086, 0.00000
