timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
379010, 0, 0.50, 0.50, -0.85, 0.06, 55.66, 157.36, 1.32, 52.80, 0.01, 0.17, 0.04, 0.00, 0.23, 0.04, 0.00, 0.14, 0.08, 0.00, 0.20, 0.04, 0.00, 0.00, -156.86, 1.00, 0.19, -0.00004, 0.00003
379044, 0, 0.50, 0.50, -0.79, 0.02, 46.92, 157.37, 1.32, 52.80, 0.01, 0.00, 0.04, 0.00, 0.00, 0.04, 0.00, 0.00, 0.08, 0.00, 0.00, 0.04, 0.00, 57.30, -156.87, 1.00, 0.01, 0.00036, -0.00275
379051, 0, 0.50, 0.50, -0.74, -0.01, 31.87, 157.38, 1.32, 52.80, 0.01, 0.01, 0.04, 0.00, 0.03, 0.04, 0.00, 0.01, 0.08, 0.00, 0.03, 0.04, 0.00, 1.63, -156.88, 1.00, 0.04, 0.00024, -0.00321
379064, 0, 0.50, 0.50, -0.71, -0.03, 17.02, 157.39, 1.32, 52.80, 0.01, 0.07, 0.04, 0.00, 0.10, 0.04, 0.00, 0.06, 0.08, 0.00, 0.08, 0.04, 0.00, 10.38, -156.89, 1.00, 0.09, 0.00018, -0.00072
379077, 0, 0.50, 0.50, -0.68, -0.05, 8.40, 157.39, 1.32, 52.80, 0.01, 0.14, 0.04, 0.00, 0.18, 0.04, 0.00, 0.11, 0.08, 0.00, 0.17, 0.04, 0.00, 25.43, -156.89, 1.00, 0.16, 0.00050, 0.01006
379090, 0, 0.50, 0.50, -0.65, -0.06, 4.51, 157.40, 1.32, 52.80, 0.01, 0.20, 0.04, 0.00, 0.27, 0.04, 0.00, 0.15, 0.08, 0.00, 0.24, 0.04, 0.00, 40.27, -156.90, 1.00, 0.22, 0.00092, 0.03625
379104, 0, 0.50, 0.50, -0.64, -0.07, 2.76, 157.41, 1.32, 52.80, 0.01, 0.23, 0.04, 0.00, 0.30, 0.04, 0.00, 0.18, 0.08, 0.00, 0.27, 0.04, 0.00, 48.90, -156.91, 1.00, 0.25, 0.00115, 0.04208
379117, 0, 0.50, 0.50, -0.62, -0.08, 1.83, 157.42, 1.32, 52.80, 0.01, 0.23, 0.04, 0.00, 0.30, 0.04, 0.00, 0.18, 0.08, 0.00, 0.27, 0.04, 0.00, 52.78, -156.92, 1.00, 0.24, 0.00123, 0.02067
379130, 0, 0.50, 0.50, -0.61, -0.08, 1.31, 157.43, 1.32, 52.80, 0.01, 0.21, 0.04, 0.00, 0.28, 0.04, 0.00, 0.17, 0.08, 0.00, 0.25, 0.04, 0.00, 54.54, -156.93, 1.00, 0.23, 0.00123, 0.00018
379144, 0, 0.50, 0.50, -0.60, -0.08, 0.97, 157.44, 1.32, 52.80, 0.01, 0.23, 0.04, 0.00, 0.30, 0.04, 0.00, 0.18, 0.08, 0.00, 0.25, 0.04, 0.00, 55.46, -156.94, 1.00, 0.24, 0.00121, -0.00492
379157, 0, 0.50, 0.50, -0.59, -0.09, 0.76, 157.44, 1.32, 52.80, 0.01, 0.24, 0.04, 0.00, 0.31, 0.04, 0.00, 0.18, 0.08, 0.00, 0.27, 0.04, 0.00, 55.98, -156.94, 1.00, 0.25, 0.00120, -0.00390
379170, 0, 0.50, 0.50, -0.58, -0.09, 0.60, 157.45, 1.32, 52.80, 0.01, 0.24, 0.04, 0.00, 0.32, 0.04, 0.00, 0.20, 0.08, 0.00, 0.28, 0.04, 0.00, 56.33, -156.95, 1.00, 0.26, 0.00120, -0.00179
379184, 0, 0.50, 0.50, -0.57, -0.09, 0.48, 157.46, 1.32, 52.80, 0.01, 0.25, 0.04, 0.00, 0.34, 0.04, 0.00, 0.21, 0.08, 0.00, 0.30, 0.04, 0.00, 56.54, -156.96, 1.00, 0.28, 0.00120, -0.00052
379197, 0, 0.50, 0.50, -0.57, -0.10, 0.39, 157.47, 1.32, 52.80, 0.01, 0.27, 0.04, 0.00, 0.35, 0.04, 0.00, 0.21, 0.08, 0.00, 0.31, 0.04, 0.00, 56.70, -156.97, 1.00, 0.29, 0.00120, -0.00003
