timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
109970, 0, 0.50, 0.50, -0.81, -0.60, 47.88, 19.09, 1.32, 52.80, 0.01, 0.00, 0.10, 0.00, 0.00, 0.07, 0.00, 0.00, 0.08, 0.00, 0.00, 0.11, 0.00, 1.18, -18.59, 1.00, 0.00, 0.00188, -0.00126
110011, 0, 0.50, 0.50, -0.73, -0.51, 33.98, 19.10, 1.32, 52.80, 0.01, 0.00, 0.10, 0.00, 0.00, 0.07, 0.00, 0.00, 0.08, 0.00, 0.00, 0.11, 0.00, 1.85, -18.60, 1.00, 0.02, 0.00183, -0.01197
110024, 0, 0.50, 0.50, -0.67, -0.43, 18.90, 19.11, 1.32, 52.80, 0.01, 0.04, 0.10, 0.00, 0.06, 0.07, 0.00, 0.03, 0.08, 0.00, 0.06, 0.11, 0.00, 9.42, -18.61, 1.00, 0.06, 0.00167, -0.01786
110037, 0, 0.50, 0.50, -0.63, -0.38, 9.37, 19.12, 1.32, 52.80, 0.01, 0.11, 0.10, 0.00, 0.14, 0.07, 0.00, 0.08, 0.08, 0.00, 0.13, 0.11, 0.00, 23.32, -18.62, 1.00, 0.13, 0.00165, -0.00253
110050, 0, 0.50, 0.50, -0.61, -0.34, 4.94, 19.13, 1.32, 52.80, 0.01, 0.18, 0.10, 0.00, 0.24, 0.07, 0.00, 0.15, 0.08, 0.00, 0.21, 0.11, 0.00, 38.40, -18.63, 1.00, 0.20, 0.00186, 0.03432
110064, 0, 0.50, 0.50, -0.59, -0.31, 3.02, 19.13, 1.32, 52.80, 0.01, 0.24, 0.10, 0.00, 0.31, 0.07, 0.00, 0.20, 0.08, 0.00, 0.28, 0.11, 0.00, 47.92, -18.63, 1.00, 0.26, 0.00208, 0.06564
110077, 0, 0.50, 0.50, -0.57, -0.29, 2.01, 19.14, 1.32, 52.80, 0.01, 0.25, 0.10, 0.00, 0.32, 0.07, 0.00, 0.20, 0.08, 0.00, 0.28, 0.11, 0.00, 52.35, -18.64, 1.00, 0.26, 0.00220, 0.05617
110090, 0, 0.50, 0.50, -0.56, -0.27, 1.43, 19.15, 1.32, 52.80, 0.01, 0.23, 0.10, 0.00, 0.30, 0.07, 0.00, 0.18, 0.08, 0.00, 0.25, 0.11, 0.00, 54.28, -18.65, 1.00, 0.24, 0.00223, 0.01875
110104, 0, 0.50, 0.50, -0.55, -0.25, 1.05, 19.16, 1.32, 52.80, 0.01, 0.21, 0.10, 0.00, 0.27, 0.07, 0.00, 0.17, 0.08, 0.00, 0.24, 0.11, 0.00, 55.29, -18.66, 1.00, 0.23, 0.00222, -0.00651
110117, 0, 0.50, 0.50, -0.55, -0.24, 0.80, 19.17, 1.32, 52.80, 0.01, 0.21, 0.10, 0.00, 0.28, 0.07, 0.00, 0.17, 0.08, 0.00, 0.25, 0.11, 0.00, 55.87, -18.67, 1.00, 0.24, 0.00221, -0.00751
110130, 0, 0.50, 0.50, -0.54, -0.23, 0.61, 19.17, 1.32, 52.80, 0.01, 0.24, 0.10, 0.00, 0.31, 0.07, 0.00, 0.18, 0.08, 0.00, 0.27, 0.11, 0.00, 56.24, -18.67, 1.00, 0.25, 0.00220, -0.00370
110144, 0, 0.50, 0.50, -0.53, -0.23, 0.48, 19.18, 1.32, 52.80, 0.01, 0.24, 0.10, 0.00, 0.32, 0.07, 0.00, 0.20, 0.08, 0.00, 0.28, 0.11, 0.00, 56.50, -18.68, 1.00, 0.26, 0.00220, -0.00110
