timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
196344, 0, 0.50, 0.50, -1.04, -0.08, 53.51, 59.64, 1.32, 52.80, 0.01, 0.00, 0.11, 0.00, 0.00, 0.13, 0.00, 0.00, 0.07, 0.00, 0.00, 0.13, 0.00, -1.11, -59.14, 1.00, -0.01, 0.00145, -0.00109
196385, 0, 0.50, 0.50, -0.93, -0.09, 42.23, 59.65, 1.32, 52.80, 0.01, 0.00, 0.11, 0.00, 0.00, 0.13, 0.00, 0.00, 0.07, 0.00, 0.00, 0.13, 0.00, -1.25, -59.15, 1.00, 0.00, 0.00142, -0.01047
196397, 0, 0.50, 0.50, -0.83, -0.09, 26.07, 59.66, 1.32, 52.80, 0.01, 0.01, 0.11, 0.00, 0.03, 0.13, 0.00, 0.00, 0.07, 0.00, 0.01, 0.13, 0.00, 3.78, -59.16, 1.00, 0.03, 0.00128, -0.01598
196410, 0, 0.50, 0.50, -0.75, -0.10, 13.14, 59.67, 1.32, 52.80, 0.01, 0.08, 0.11, 0.00, 0.11, 0.13, 0.00, 0.06, 0.07, 0.00, 0.10, 0.13, 0.00, 15.07, -59.17, 1.00, 0.10, 0.00123, -0.00358
196425, 0, 0.50, 0.50, -0.68, -0.10, 6.56, 59.68, 1.32, 52.80, 0.01, 0.17, 0.11, 0.00, 0.23, 0.13, 0.00, 0.13, 0.07, 0.00, 0.20, 0.13, 0.00, 31.23, -59.18, 1.00, 0.18, 0.00152, 0.03049
196437, 0, 0.50, 0.50, -0.64, -0.10, 3.71, 59.69, 1.32, 52.80, 0.01, 0.24, 0.11, 0.00, 0.31, 0.13, 0.00, 0.18, 0.07, 0.00, 0.27, 0.13, 0.00, 44.15, -59.19, 1.00, 0.25, 0.00184, 0.06815
196450, 0, 0.50, 0.50, -0.61, -0.10, 2.33, 59.70, 1.32, 52.80, 0.01, 0.25, 0.11, 0.00, 0.32, 0.13, 0.00, 0.20, 0.07, 0.00, 0.30, 0.13, 0.00, 50.74, -59.20, 1.00, 0.27, 0.00202, 0.06502
196464, 0, 0.50, 0.50, -0.58, -0.11, 1.61, 59.70, 1.32, 52.80, 0.01, 0.23, 0.11, 0.00, 0.30, 0.13, 0.00, 0.18, 0.07, 0.00, 0.27, 0.13, 0.00, 53.59, -59.20, 1.00, 0.24, 0.00207, 0.02661
196477, 0, 0.50, 0.50, -0.56, -0.11, 1.16, 59.71, 1.32, 52.80, 0.01, 0.21, 0.11, 0.00, 0.27, 0.13, 0.00, 0.17, 0.07, 0.00, 0.24, 0.13, 0.00, 54.96, -59.21, 1.00, 0.22, 0.00206, -0.00377
196490, 0, 0.50, 0.50, -0.55, -0.11, 0.86, 59.72, 1.32, 52.80, 0.01, 0.21, 0.11, 0.00, 0.28, 0.13, 0.00, 0.17, 0.07, 0.00, 0.25, 0.13, 0.00, 55.69, -59.22, 1.00, 0.23, 0.00205, -0.00849
196504, 0, 0.50, 0.50, -0.53, -0.11, 0.67, 59.73, 1.32, 52.80, 0.01, 0.23, 0.11, 0.00, 0.30, 0.13, 0.00, 0.18, 0.07, 0.00, 0.27, 0.13, 0.00, 56.14, -59.23, 1.00, 0.24, 0.00204, -0.00535
196517, 0, 0.50, 0.50, -0.53, -0.11, 0.54, 59.73, 1.32, 52.80, 0.01, 0.24, 0.11, 0.00, 0.31, 0.13, 0.00, 0.20, 0.07, 0.00, 0.28, 0.13, 0.00, 56.43, -59.23, 1.00, 0.26, 0.00204, -0.00208
196530, 0, 0.50, 0.50, -0.52, -0.11, 0.42, 59.74, 1.32, 52.80, 0.01, 0.25, 0.11, 0.00, 0.32, 0.13, 0.00, 0.20, 0.07, 0.00, 0.30, 0.13, 0.00, 56.63, -59.24, 1.00, 0.27, 0.00204, -0.00048
196544, 0, 0.50, 0.50, -0.51, -0.11, 0.34, 59.75, 1.32, 52.80, 0.01, 0.27, 0.11, 0.00, 0.34, 0.13, 0.00, 0.21, 0.07, 0.00, 0.31, 0.13, 0.00, 56.76, -59.25, 1.00, 0.28, 0.00204, 0.00008
196557, 0, 0.50, 0.50, -0.51, -0.12, 0.27, 59.76, 1.32, 52.80, 0.01, 0.27, 0.11, 0.00, 0.35, 0.13, 0.00, 0.23, 0.07, 0.00, 0.32, 0.13, 0.00, 56.87, -59.26, 1.00, 0.29, 0.00204, 0.00025
196570, 0, 0.50, 0.50, -0.50, -0.12, 0.21, 59.76, 1.32, 52.80, 0.01, 0.28, 0.11, 0.00, 0.37, 0.13, 0.00, 0.23, 0.07, 0.00, 0.32, 0.13, 0.00, 56.95, -59.26, 1.00, 0.30, 0.00204, 0.00029
196584, 0, 0.50, 0.50, -0.49, -0.12, 0.16, 59.77, 1.32, 52.80, 0.01, 0.30, 0.11, 0.00, 0.38, 0.13, 0.00, 0.24, 0.07, 0.00, 0.34, 0.13, 0.00, 57.03, -59.27, 1.00, 0.31, 0.00204, 0.00028
196597, 0, 0.50, 0.50, -0.49, -0.12, 0.11, 59.78, 1.32, 52.80, 0.01, 0.31, 0.11, 0.00, 0.39, 0.13, 0.00, 0.24, 0.07, 0.00, 0.35, 0.13, 0.00, 57.09, -59.28, 1.00, 0.32, 0.00204, 0.00025
196610, 0, 0.50, 0.50, -0.49, -0.12, 0.08, 59.78, 1.32, 52.80, 0.01, 0.31, 0.11, 0.00, 0.41, 0.13, 0.00, 0.25, 0.07, 0.00, 0.37, 0.13, 0.00, 57.13, -59.28, 1.00, 0.33, 0.00204, 0.00021
196624, 0, 0.50, 0.50, -0.49, -0.12, 0.05, 59.79, 1.32, 52.80, 0.01, 0.32, 0.11, 0.00, 0.42, 0.13, 0.00, 0.27, 0.07, 0.00, 0.38, 0.13, 0.00, 57.18, -59.29, 1.00, 0.34, 0.00204, 0.00017
