timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
274650, 0, 0.50, 0.50, -0.64, -0.01, 52.92, 98.00, 1.32, 52.80, 0.01, 0.00, 0.08, 0.00, 0.00, 0.10, 0.00, 0.00, 0.07, 0.00, 0.00, 0.11, 0.00, 0.70, -97.50, 1.00, 0.00, 0.00157, -0.00116
274681, 0, 0.50, 0.50, -0.60, -0.04, 43.66, 98.01, 1.32, 52.80, 0.01, 0.00, 0.08, 0.00, 0.00, 0.10, 0.00, 0.00, 0.07, 0.00, 0.00, 0.11, 0.00, 0.41, -97.51, 1.00, 0.00, 0.00154, -0.01132
274690, 0, 0.50, 0.50, -0.57, -0.06, 28.91, 98.02, 1.32, 52.80, 0.01, 0.00, 0.08, 0.00, 0.01, 0.10, 0.00, 0.00, 0.07, 0.00, 0.01, 0.11, 0.00, 4.37, -97.52, 1.00, 0.03, 0.00143, -0.01806
274704, 0, 0.50, 0.50, -0.55, -0.08, 15.35, 98.02, 1.32, 52.80, 0.01, 0.07, 0.08, 0.00, 0.10, 0.10, 0.00, 0.06, 0.07, 0.00, 0.08, 0.11, 0.00, 13.64, -97.52, 1.00, 0.09, 0.00137, -0.00488
274717, 0, 0.50, 0.50, -0.54, -0.09, 7.74, 98.03, 1.32, 52.80, 0.01, 0.15, 0.08, 0.00, 0.21, 0.10, 0.00, 0.13, 0.07, 0.00, 0.18, 0.11, 0.00, 28.39, -97.53, 1.00, 0.18, 0.00166, 0.03215
274730, 0, 0.50, 0.50, -0.53, -0.10, 4.24, 98.04, 1.32, 52.80, 0.01, 0.24, 0.08, 0.00, 0.31, 0.10, 0.00, 0.18, 0.07, 0.00, 0.28, 0.11, 0.00, 41.94, -97.54, 1.00, 0.25, 0.00202, 0.07513
274758, 0, 0.50, 0.50, -0.52, -0.11, 2.64, 98.04, 1.32, 52.80, 0.01, 0.25, 0.08, 0.00, 0.34, 0.10, 0.00, 0.21, 0.07, 0.00, 0.30, 0.11, 0.00, 49.56, -97.54, 1.00, 0.27, 0.00222, 0.07519
274770, 0, 0.50, 0.50, -0.52, -0.12, 1.78, 98.05, 1.32, 52.80, 0.01, 0.23, 0.08, 0.00, 0.30, 0.10, 0.00, 0.18, 0.07, 0.00, 0.27, 0.11, 0.00, 53.05, -97.55, 1.00, 0.25, 0.00229, 0.03443
274784, 0, 0.50, 0.50, -0.51, -0.12, 1.27, 98.06, 1.32, 52.80, 0.01, 0.21, 0.08, 0.00, 0.27, 0.10, 0.00, 0.17, 0.07, 0.00, 0.24, 0.11, 0.00, 54.66, -97.56, 1.00, 0.22, 0.00229, -0.00073
274798, 0, 0.50, 0.50, -0.51, -0.13, 0.93, 98.06, 1.32, 52.80, 0.01, 0.21, 0.08, 0.00, 0.28, 0.10, 0.00, 0.17, 0.07, 0.00, 0.24, 0.11, 0.00, 55.52, -97.56, 1.00, 0.23, 0.00228, -0.00858
274810, 0, 0.50, 0.50, -0.50, -0.13, 0.70, 98.07, 1.32, 52.80, 0.01, 0.23, 0.08, 0.00, 0.30, 0.10, 0.00, 0.18, 0.07, 0.00, 0.27, 0.11, 0.00, 56.03, -97.57, 1.00, 0.24, 0.00227, -0.00641
274824, 0, 0.50, 0.50, -0.50, -0.13, 0.53, 98.08, 1.32, 52.80, 0.01, 0.24, 0.08, 0.00, 0.31, 0.10, 0.00, 0.20, 0.07, 0.00, 0.28, 0.11, 0.00, 56.37, -97.58, 1.00, 0.26, 0.00226, -0.00283
274837, 0, 0.50, 0.50, -0.50, -0.14, 0.42, 98.09, 1.32, 52.80, 0.01, 0.25, 0.08, 0.00, 0.32, 0.10, 0.00, 0.20, 0.07, 0.00, 0.30, 0.11, 0.00, 56.59, -97.59, 1.00, 0.27, 0.00226, -0.00076
274850, 0, 0.50, 0.50, -0.50, -0.14, 0.32, 98.09, 1.32, 52.80, 0.01, 0.27, 0.08, 0.00, 0.34, 0.10, 0.00, 0.21, 0.07, 0.00, 0.31, 0.11, 0.00, 56.76, -97.59, 1.00, 0.28, 0.00226, 0.00002
274864, 0, 0.50, 0.50, -0.50, -0.15, 0.24, 98.10, 1.32, 52.80, 0.01, 0.27, 0.08, 0.00, 0.35, 0.10, 0.00, 0.23, 0.07, 0.00, 0.32, 0.11, 0.00, 56.88, -97.60, 1.00, 0.29, 0.00226, 0.00025
274877, 0, 0.50, 0.50, -0.49, -0.15, 0.19, 98.11, 1.32, 52.80, 0.01, 0.28, 0.08, 0.00, 0.37, 0.10, 0.00, 0.23, 0.07, 0.00, 0.32, 0.11, 0.00, 56.98, -97.61, 1.00, 0.30, 0.00226, 0.00029
274890, 0, 0.50, 0.50, -0.49, -0.15, 0.14, 98.11, 1.32, 52.80, 0.01, 0.30, 0.08, 0.00, 0.38, 0.10, 0.00, 0.24, 0.07, 0.00, 0.34, 0.11, 0.00, 57.05, -97.61, 1.00, 0.31, 0.00226, 0.00026
274904, 0, 0.50, 0.50, -0.49, -0.15, 0.11, 98.12, 1.32, 52.80, 0.01, 0.31, 0.08, 0.00, 0.39, 0.10, 0.00, 0.24, 0.07, 0.00, 0.35, 0.11, 0.00, 57.10, -97.62, 1.00, 0.32, 0.00226, 0.00022
274917, 0, 0.50, 0.50, -0.49, -0.15, 0.08, 98.13, 1.32, 52.80, 0.01, 0.31, 0.08, 0.00, 0.41, 0.10, 0.00, 0.25, 0.07, 0.00, 0.37, 0.11, 0.00, 57.15, -97.63, 1.00, 0.33, 0.00226, 0.00018
274930, 0, 0.50, 0.50, -0.49, -0.16, 0.05, 98.13, 1.32, 52.80, 0.01, 0.32, 0.08, 0.00, 0.42, 0.10, 0.00, 0.27, 0.07, 0.00, 0.38, 0.11, 0.00, 57.19, -97.63, 1.00, 0.34, 0.00226, 0.00015
274944, 0, 0.50, 0.50, -0.49, -0.16, 0.02, 98.14, 1.32, 52.80, 0.01, 0.34, 0.08, 0.00, 0.44, 0.10, 0.00, 0.27, 0.07, 0.00, 0.39, 0.11, 0.00, 57.22, -97.64, 1.00, 0.35, 0.00226, 0.00012
274957, 0, 0.50, 0.50, -0.48, -0.16, 0.00, 98.15, 1.32, 52.80, 0.01, 0.34, 0.08, 0.00, 0.45, 0.10, 0.00, 0.28, 0.07, 0.00, 0.39, 0.11, 0.00, 57.25, -97.65, 1.00, 0.36, 0.00226, 0.00009
