timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
344877, 0, 0.50, 0.50, -1.05, -0.65, 53.02, 137.54, 1.32, 52.80, 0.01, 0.00, 0.13, 0.00, 0.00, 0.11, 0.00, 0.00, 0.10, 0.00, 0.00, 0.13, 0.00, -1.56, -137.04, 1.00, -0.00, 0.00099, -0.00074
344909, 0, 0.50, 0.50, -0.97, -0.55, 40.93, 137.55, 1.32, 52.80, 0.01, 0.00, 0.13, 0.00, 0.00, 0.11, 0.00, 0.00, 0.10, 0.00, 0.00, 0.13, 0.00, -1.29, -137.05, 1.00, 0.01, 0.00095, -0.00698
344917, 0, 0.50, 0.50, -0.89, -0.46, 24.56, 137.56, 1.32, 52.80, 0.01, 0.03, 0.13, 0.00, 0.04, 0.11, 0.00, 0.01, 0.10, 0.00, 0.03, 0.13, 0.00, 4.28, -137.06, 1.00, 0.04, 0.00081, -0.00990
344943, 0, 0.50, 0.50, -0.82, -0.39, 12.27, 137.58, 1.32, 52.80, 0.01, 0.08, 0.13, 0.00, 0.13, 0.11, 0.00, 0.07, 0.10, 0.00, 0.11, 0.13, 0.00, 16.37, -137.08, 1.00, 0.11, 0.00076, -0.00198
344951, 0, 0.50, 0.50, -0.76, -0.35, 6.23, 137.59, 1.32, 52.80, 0.01, 0.15, 0.13, 0.00, 0.21, 0.11, 0.00, 0.13, 0.10, 0.00, 0.18, 0.13, 0.00, 32.74, -137.09, 1.00, 0.18, 0.00104, 0.02087
344967, 0, 0.50, 0.50, -0.72, -0.31, 3.51, 137.60, 1.32, 52.80, 0.01, 0.21, 0.13, 0.00, 0.28, 0.11, 0.00, 0.17, 0.10, 0.00, 0.25, 0.13, 0.00, 45.03, -137.10, 1.00, 0.23, 0.00134, 0.04869
344975, 0, 0.50, 0.50, -0.68, -0.28, 2.23, 137.61, 1.32, 52.80, 0.01, 0.23, 0.13, 0.00, 0.31, 0.11, 0.00, 0.18, 0.10, 0.00, 0.27, 0.13, 0.00, 51.07, -137.11, 1.00, 0.25, 0.00151, 0.04682
344984, 0, 0.50, 0.50, -0.65, -0.26, 1.54, 137.62, 1.32, 52.80, 0.01, 0.21, 0.13, 0.00, 0.28, 0.11, 0.00, 0.17, 0.10, 0.00, 0.25, 0.13, 0.00, 53.78, -137.12, 1.00, 0.23, 0.00156, 0.01844
344997, 0, 0.50, 0.50, -0.63, -0.24, 1.14, 137.62, 1.32, 52.80, 0.01, 0.21, 0.13, 0.00, 0.27, 0.11, 0.00, 0.17, 0.10, 0.00, 0.24, 0.13, 0.00, 55.07, -137.12, 1.00, 0.22, 0.00155, -0.00345
345010, 0, 0.50, 0.50, -0.61, -0.23, 0.87, 137.63, 1.32, 52.80, 0.01, 0.21, 0.13, 0.00, 0.28, 0.11, 0.00, 0.17, 0.10, 0.00, 0.25, 0.13, 0.00, 55.75, -137.13, 1.00, 0.23, 0.00153, -0.00625
