timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
403024, 0, 0.50, 0.50, -0.95, 0.25, 52.19, 176.59, 1.32, 52.80, 0.01, 0.00, 0.11, 0.00, 0.00, 0.11, 0.00, 0.00, 0.10, 0.00, 0.00, 0.10, 0.00, 1.10, -176.09, 1.00, 0.00, 0.00191, -0.00140
403058, 0, 0.50, 0.50, -0.88, 0.13, 42.29, 176.60, 1.32, 52.80, 0.01, 0.00, 0.11, 0.00, 0.00, 0.11, 0.00, 0.00, 0.10, 0.00, 0.00, 0.10, 0.00, 0.74, -176.10, 1.00, 0.00, 0.00188, -0.01356
403066, 0, 0.50, 0.50, -0.82, 0.05, 27.33, 176.61, 1.32, 52.80, 0.01, 0.01, 0.11, 0.00, 0.01, 0.11, 0.00, 0.00, 0.10, 0.00, 0.01, 0.10, 0.00, 5.11, -176.11, 1.00, 0.03, 0.00175, -0.02172
403079, 0, 0.50, 0.50, -0.76, -0.00, 14.35, 176.62, 1.32, 52.80, 0.01, 0.07, 0.11, 0.00, 0.10, 0.11, 0.00, 0.06, 0.10, 0.00, 0.08, 0.10, 0.00, 15.01, -176.12, 1.00, 0.10, 0.00170, -0.00554
403090, 0, 0.50, 0.50, -0.73, -0.04, 7.24, 176.63, 1.32, 52.80, 0.01, 0.17, 0.11, 0.00, 0.23, 0.11, 0.00, 0.14, 0.10, 0.00, 0.20, 0.10, 0.00, 29.97, -176.13, 1.00, 0.19, 0.00198, 0.03821
403104, 0, 0.50, 0.50, -0.70, -0.06, 4.04, 176.64, 1.32, 52.80, 0.01, 0.25, 0.11, 0.00, 0.32, 0.11, 0.00, 0.20, 0.10, 0.00, 0.28, 0.10, 0.00, 42.95, -176.14, 1.00, 0.26, 0.00232, 0.08440
403117, 0, 0.50, 0.50, -0.67, -0.08, 2.52, 176.65, 1.32, 52.80, 0.01, 0.27, 0.11, 0.00, 0.35, 0.11, 0.00, 0.21, 0.10, 0.00, 0.31, 0.10, 0.00, 50.05, -176.15, 1.00, 0.28, 0.00251, 0.08164
403130, 0, 0.50, 0.50, -0.65, -0.10, 1.71, 176.66, 1.32, 52.80, 0.01, 0.23, 0.11, 0.00, 0.31, 0.11, 0.00, 0.18, 0.10, 0.00, 0.27, 0.10, 0.00, 53.25, -176.16, 1.00, 0.25, 0.00257, 0.03586
403144, 0, 0.50, 0.50, -0.63, -0.11, 1.24, 176.67, 1.32, 52.80, 0.01, 0.21, 0.11, 0.00, 0.27, 0.11, 0.00, 0.17, 0.10, 0.00, 0.24, 0.10, 0.00, 54.77, -176.17, 1.00, 0.22, 0.00256, -0.00205
403157, 0, 0.50, 0.50, -0.62, -0.11, 0.93, 176.67, 1.32, 52.80, 0.01, 0.21, 0.11, 0.00, 0.28, 0.11, 0.00, 0.17, 0.10, 0.00, 0.24, 0.10, 0.00, 55.59, -176.17, 1.00, 0.23, 0.00255, -0.00960
403170, 0, 0.50, 0.50, -0.61, -0.12, 0.74, 176.68, 1.32, 52.80, 0.01, 0.23, 0.11, 0.00, 0.30, 0.11, 0.00, 0.18, 0.10, 0.00, 0.27, 0.10, 0.00, 56.06, -176.18, 1.00, 0.24, 0.00254, -0.00677
403184, 0, 0.50, 0.50, -0.60, -0.13, 0.57, 176.69, 1.32, 52.80, 0.01, 0.24, 0.11, 0.00, 0.31, 0.11, 0.00, 0.20, 0.10, 0.00, 0.28, 0.10, 0.00, 56.36, -176.19, 1.00, 0.26, 0.00254, -0.00289
403197, 0, 0.50, 0.50, -0.60, -0.13, 0.45, 176.70, 1.32, 52.80, 0.01, 0.25, 0.11, 0.00, 0.32, 0.11, 0.00, 0.20, 0.10, 0.00, 0.30, 0.10, 0.00, 56.56, -176.20, 1.00, 0.27, 0.00254, -0.00075
403210, 0, 0.50, 0.50, -0.59, -0.13, 0.36, 176.71, 1.32, 52.80, 0.01, 0.27, 0.11, 0.00, 0.34, 0.11, 0.00, 0.21, 0.10, 0.00, 0.31, 0.10, 0.00, 56.72, -176.21, 1.00, 0.28, 0.00254, 0.00008
403224, 0, 0.50, 0.50, -0.59, -0.14, 0.28, 176.71, 1.32, 52.80, 0.01, 0.27, 0.11, 0.00, 0.35, 0.11, 0.00, 0.23, 0.10, 0.00, 0.32, 0.10, 0.00, 56.84, -176.21, 1.00, 0.29, 0.00254, 0.00036
403237, 0, 0.50, 0.50, -0.58, -0.14, 0.23, 176.72, 1.32, 52.80, 0.01, 0.28, 0.11, 0.00, 0.37, 0.11, 0.00, 0.23, 0.10, 0.00, 0.32, 0.10, 0.00, 56.94, -176.22, 1.00, 0.30, 0.00254, 0.00041
403250, 0, 0.50, 0.50, -0.58, -0.14, 0.18, 176.73, 1.32, 52.80, 0.01, 0.30, 0.11, 0.00, 0.38, 0.11, 0.00, 0.24, 0.10, 0.00, 0.34, 0.10, 0.00, 57.01, -176.23, 1.00, 0.31, 0.00254, 0.00037
403264, 0, 0.50, 0.50, -0.58, -0.14, 0.13, 176.74, 1.32, 52.80, 0.01, 0.31, 0.11, 0.00, 0.39, 0.11, 0.00, 0.24, 0.10, 0.00, 0.35, 0.10, 0.00, 57.07, -176.24, 1.00, 0.32, 0.00254, 0.00031
403277, 0, 0.50, 0.50, -0.57, -0.14, 0.10, 176.75, 1.32, 52.80, 0.01, 0.31, 0.11, 0.00, 0.41, 0.11, 0.00, 0.25, 0.10, 0.00, 0.37, 0.10, 0.00, 57.12, -176.25, 1.00, 0.33, 0.00254, 0.00025
403304, 0, 0.50, 0.50, -0.57, -0.15, 0.08, 176.75, 1.32, 52.80, 0.01, 0.32, 0.11, 0.00, 0.42, 0.11, 0.00, 0.27, 0.10, 0.00, 0.38, 0.10, 0.00, 57.16, -176.25, 1.00, 0.34, 0.00254, 0.00021
403317, 0, 0.50, 0.50, -0.57, -0.15, 0.05, 176.76, 1.32, 52.80, 0.01, 0.34, 0.11, 0.00, 0.44, 0.11, 0.00, 0.27, 0.10, 0.00, 0.39, 0.10, 0.00, 57.19, -176.26, 1.00, 0.35, 0.00254, 0.00017
403330, 0, 0.50, 0.50, -0.57, -0.15, 0.03, 176.77, 1.32, 52.80, 0.01, 0.34, 0.11, 0.00, 0.45, 0.11, 0.00, 0.28, 0.10, 0.00, 0.41, 0.10, 0.00, 57.22, -176.27, 1.00, 0.36, 0.00254, 0.00013
403344, 0, 0.50, 0.50, -0.56, -0.15, 0.01, 176.78, 1.32, 52.80, 0.01, 0.35, 0.11, 0.00, 0.46, 0.11, 0.00, 0.28, 0.10, 0.00, 0.41, 0.10, 0.00, 57.24, -176.28, 1.00, 0.37, 0.00254, 0.00010
403357, 0, 0.50, 0.50, -0.56, -0.15, -0.01, 176.78, 1.32, 52.80, 0.01, 0.37, 0.11, 0.00, 0.48, 0.11, 0.00, 0.30, 0.10, 0.00, 0.42, 0.10, 0.00, 57.27, -176.28, 1.00, 0.38, 0.00254, 0.00007
403370, 0, 0.50, 0.50, -0.56, -0.15, -0.02, 176.79, 1.32, 52.80, 0.01, 0.38, 0.11, 0.00, 0.49, 0.11, 0.00, 0.31, 0.10, 0.00, 0.44, 0.10, 0.00, 57.29, -176.29, 1.00, 0.39, 0.00254, 0.00005
403384, 0, 0.50, 0.50, -0.56, -0.15, -0.04, 176.80, 1.32, 52.80, 0.01, 0.38, 0.11, 0.00, 0.51, 0.11, 0.00, 0.31, 0.10, 0.00, 0.45, 0.10, 0.00, 57.30, -176.30, 1.00, 0.40, 0.00254, 0.00002
403397, 0, 0.50, 0.50, -0.56, -0.15, -0.05, 176.81, 1.32, 52.80, 0.01, 0.39, 0.11, 0.00, 0.52, 0.11, 0.00, 0.32, 0.10, 0.00, 0.46, 0.10, 0.00, 57.30, -176.31, 1.00, 0.41, 0.00254, -0.00001
403410, 0, 0.50, 0.50, -0.56, -0.15, -0.06, 176.82, 1.32, 52.80, 0.01, 0.41, 0.11, 0.00, 0.54, 0.11, 0.00, 0.32, 0.10, 0.00, 0.48, 0.10, 0.00, 57.30, -176.32, 1.00, 0.42, 0.00254, -0.00003
403424, 0, 0.50, 0.50, -0.56, -0.15, -0.08, 176.82, 1.32, 52.80, 0.01, 0.42, 0.11, 0.00, 0.55, 0.11, 0.00, 0.34, 0.10, 0.00, 0.48, 0.10, 0.00, 57.30, -176.32, 1.00, 0.43, 0.00254, -0.00003
403437, 0, 0.50, 0.50, -0.56, -0.15, -0.09, 176.83, 1.32, 52.80, 0.01, 0.42, 0.11, 0.00, 0.55, 0.11, 0.00, 0.35, 0.10, 0.00, 0.49, 0.10, 0.00, 57.30, -176.33, 1.00, 0.44, 0.00254, -0.00001
403450, 0, 0.50, 0.50, -0.56, -0.16, -0.10, 176.84, 1.32, 52.80, 0.01, 0.44, 0.11, 0.00, 0.56, 0.11, 0.00, 0.35, 0.10, 0.00, 0.51, 0.10, 0.00, 57.30, -176.34, 1.00, 0.45, 0.00254, -0.00000
403464, 0, 0.50, 0.50, -0.56, -0.16, -0.11, 176.85, 1.32, 52.80, 0.01, 0.45, 0.11, 0.00, 0.58, 0.11, 0.00, 0.37, 0.10, 0.00, 0.52, 0.10, 0.00, 57.30, -176.35, 1.00, 0.46, 0.00254, -0.00000
403477, 0, 0.50, 0.50, -0.56, -0.16, -0.11, 176.85, 1.32, 52.80, 0.01, 0.45, 0.11, 0.00, 0.59, 0.11, 0.00, 0.37, 0.10, 0.00, 0.54, 0.10, 0.00, 57.30, -176.35, 1.00, 0.47, 0.00254, 0.00000
403490, 0, 0.50, 0.50, -0.56, -0.16, -0.12, 176.86, 1.32, 52.80, 0.01, 0.46, 0.11, 0.00, 0.61, 0.11, 0.00, 0.38, 0.10, 0.00, 0.55, 0.10, 0.00, 57.30, -176.36, 1.00, 0.48, 0.00254, 0.00000
403504, 0, 0.50, 0.50, -0.55, -0.16, -0.12, 176.87, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.62, 0.11, 0.00, 0.39, 0.10, 0.00, 0.55, 0.10, 0.00, 57.30, -176.37, 1.00, 0.49, 0.00254, 0.00000
403517, 0, 0.50, 0.50, -0.55, -0.16, -0.13, 176.88, 1.32, 52.80, 0.01, 0.49, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.10, 0.00, 0.56, 0.10, 0.00, 57.30, -176.38, 1.00, 0.50, 0.00254, 0.00000
403530, 0, 0.50, 0.50, -0.55, -0.16, -0.14, 176.88, 1.32, 52.80, 0.01, 0.49, 0.11, 0.00, 0.65, 0.11, 0.00, 0.41, 0.10, 0.00, 0.58, 0.10, 0.00, 57.30, -176.38, 1.00, 0.51, 0.00254, 0.00000
