timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
71970, 0, 0.50, 0.50, -0.50, -0.14, -0.23, 0.01, 1.32, 52.80, 0.01, 0.17, 1.00, 0.00, 0.23, 1.00, 0.00, 0.14, 1.00, 0.00, 0.20, 1.00, 0.00, 0.00, 0.49, 1.00, 0.19, 0.00000, 0.00000
72080, 0, 0.50, 0.50, -0.65, -0.50, 5.62, 0.02, 1.32, 52.80, 0.01, 0.18, 0.17, 0.04, 0.24, 0.17, 0.58, 0.14, 0.23, 0.04, 0.21, 0.20, 0.16, 57.30, 0.48, 1.00, 0.20, -0.00000, 0.00000
72097, 0, 0.50, 0.50, -0.75, -0.26, 8.87, 0.03, 1.32, 52.80, 0.01, 0.17, 0.17, 0.02, 0.23, 0.15, 1.11, 0.14, 0.17, 0.05, 0.20, 0.15, 0.28, 57.30, 0.47, 1.00, 0.19, 0.00000, -0.00000
72105, 0, 0.50, 0.50, -0.79, -0.13, 10.47, 0.04, 1.32, 52.80, 0.01, 0.17, 0.13, 0.16, 0.23, 0.17, 1.11, 0.14, 0.17, 0.04, 0.20, 0.13, 0.44, 51.67, 0.46, 1.00, 0.19, 0.00000, -0.00001
72122, 0, 0.50, 0.50, -0.69, 0.29, 10.92, 0.05, 1.32, 52.80, 0.01, 0.17, 0.10, 0.33, 0.23, 0.21, 0.91, 0.14, 0.11, 0.04, 0.20, 0.13, 0.72, 48.43, 0.45, 1.00, 0.19, 0.00000, -0.00000
72130, 0, 0.50, 0.50, -0.59, 0.48, 11.50, 0.05, 1.32, 52.80, 0.01, 0.18, 0.11, 0.35, 0.24, 0.25, 0.86, 0.14, 0.11, 0.05, 0.21, 0.14, 0.86, 46.82, 0.45, 1.00, 0.20, 0.00000, 0.00000
72144, 0, 0.50, 0.50, -0.66, 0.66, 12.23, 0.06, 1.32, 52.80, 0.01, 0.18, 0.13, 0.63, 0.24, 0.25, 0.88, 0.15, 0.08, 0.05, 0.21, 0.15, 1.12, 46.38, 0.44, 1.00, 0.20, 0.00001, 0.00003
72161, 0, 0.50, 0.50, -0.58, 0.94, 13.34, 0.07, 1.32, 52.80, 0.01, 0.20, 0.15, 0.79, 0.25, 0.24, 0.91, 0.15, 0.08, 0.09, 0.23, 0.17, 1.07, 45.80, 0.43, 1.00, 0.21, 0.00002, 0.00011
72170, 0, 0.50, 0.50, -0.51, 1.04, 14.46, 0.08, 1.32, 52.80, 0.01, 0.20, 0.17, 0.88, 0.25, 0.24, 1.09, 0.15, 0.10, 0.09, 0.23, 0.23, 1.02, 45.07, 0.42, 1.00, 0.21, 0.00003, 0.00017
72184, 0, 0.50, 0.50, -0.55, 1.07, 15.80, 0.10, 1.32, 52.80, 0.01, 0.20, 0.18, 0.75, 0.27, 0.24, 1.05, 0.15, 0.11, 0.09, 0.24, 0.28, 0.89, 43.95, 0.40, 1.00, 0.22, 0.00003, 0.00018
