timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
101301, 1, 0.50, 0.50, -0.94, -0.09, 54.05, 39.75, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 0.00, -39.25, 1.00, 0.19, -0.00004, 0.00003
101327, 1, 0.50, 0.50, -0.88, -0.10, 47.30, 39.77, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 57.30, -39.27, 1.00, 0.02, 0.00033, -0.00252
101335, 1, 0.50, 0.50, -0.82, -0.10, 34.57, 39.78, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 3.25, -39.28, 1.00, 0.04, 0.00024, -0.00325
101342, 1, 0.50, 0.50, -0.77, -0.11, 19.92, 39.79, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 10.00, -39.29, 1.00, 0.09, 0.00018, -0.00085
101354, 1, 0.50, 0.50, -0.73, -0.11, 10.10, 39.80, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.73, -39.30, 1.00, 0.15, 0.00048, 0.00901
101368, 1, 0.50, 0.50, -0.69, -0.12, 5.42, 39.81, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 37.38, -39.31, 1.00, 0.21, 0.00093, 0.03595
101381, 1, 0.50, 0.50, -0.66, -0.12, 3.20, 39.82, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 47.19, -39.32, 1.00, 0.25, 0.00119, 0.04481
101394, 1, 0.50, 0.50, -0.64, -0.12, 2.09, 39.82, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 51.87, -39.32, 1.00, 0.24, 0.00129, 0.02480
101408, 1, 0.50, 0.50, -0.62, -0.12, 1.46, 39.83, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 54.09, -39.33, 1.00, 0.23, 0.00130, 0.00308
101421, 1, 0.50, 0.50, -0.60, -0.13, 1.08, 39.84, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 55.20, -39.34, 1.00, 0.24, 0.00129, -0.00400
101434, 1, 0.50, 0.50, -0.59, -0.13, 0.83, 39.85, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 55.83, -39.35, 1.00, 0.25, 0.00128, -0.00416
101448, 1, 0.50, 0.50, -0.58, -0.13, 0.64, 39.86, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 56.21, -39.36, 1.00, 0.26, 0.00127, -0.00223
101461, 1, 0.50, 0.50, -0.57, -0.13, 0.50, 39.86, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 56.46, -39.36, 1.00, 0.27, 0.00127, -0.00077
101474, 1, 0.50, 0.50, -0.56, -0.14, 0.40, 39.87, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 56.65, -39.37, 1.00, 0.29, 0.00127, -0.00011
101488, 1, 0.50, 0.50, -0.56, -0.14, 0.31, 39.88, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 56.79, -39.38, 1.00, 0.30, 0.00127, 0.00013
101501, 1, 0.50, 0.50, -0.55, -0.14, 0.24, 39.89, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 56.90, -39.39, 1.00, 0.31, 0.00127, 0.00019
101514, 1, 0.50, 0.50, -0.54, -0.14, 0.19, 39.89, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 4.00, 0.04, 24.00, 0.00, 0.00, 56.98, -39.39, 1.00, 0.32, 0.00127, 0.00019
101528, 1, 0.50, 0.50, -0.54, -0.14, 0.14, 39.90, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 14.00, 0.14, 24.00, 0.00, 0.00, 57.05, -39.40, 1.00, 0.33, 0.00127, 0.00016
101541, 1, 0.50, 0.50, -0.54, -0.15, 0.11, 39.91, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 14.00, 0.14, 24.00, 0.00, 0.00, 57.11, -39.41, 1.00, 0.34, 0.00127, 0.00014
101554, 1, 0.50, 0.50, -0.54, -0.13, 0.07, 39.92, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 16.00, 0.16, 24.00, 0.00, 0.00, 57.15, -39.42, 1.00, 0.35, 0.00127, 0.00011
101592, 1, 0.50, 0.50, -0.53, -0.12, 0.03, 39.92, 0.90, 36.00, 0.01, 24.00, 16.00, 0.16, 24.00, 0.00, 0.00, 24.00, 22.00, 0.23, 24.00, 0.00, 0.00, 57.19, -39.42, 1.00, 0.36, 0.00127, 0.00009
101600, 1, 0.50, 0.50, -0.52, -0.10, 0.00, 39.93, 0.90, 36.00, 0.01, 24.00, 18.00, 0.18, 24.00, 0.00, 0.00, 24.00, 22.00, 0.21, 24.00, 0.00, 0.00, 57.23, -39.43, 1.00, 0.37, 0.00127, 0.00007
101608, 1, 0.50, 0.50, -0.54, -0.09, 0.00, 39.94, 0.90, 36.00, 0.01, 24.00, 24.00, 0.25, 24.00, 0.00, 0.00, 24.00, 36.00, 0.37, 24.00, 0.00, 0.00, 57.26, -39.44, 1.00, 0.38, 0.00127, 0.00006
