timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
290488, 1, 0.50, 0.50, -0.76, -0.27, 56.04, 114.49, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 0.00, -113.99, 1.00, 0.19, -0.00004, 0.00003
290517, 1, 0.50, 0.50, -0.72, -0.26, 46.87, 114.50, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 57.30, -114.00, 1.00, 0.01, 0.00036, -0.00280
290528, 1, 0.50, 0.50, -0.68, -0.25, 31.34, 114.51, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 1.25, -114.01, 1.00, 0.04, 0.00024, -0.00321
290541, 1, 0.50, 0.50, -0.65, -0.24, 16.50, 114.51, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 10.43, -114.01, 1.00, 0.10, 0.00018, -0.00069
290554, 1, 0.50, 0.50, -0.63, -0.24, 8.07, 114.52, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 25.96, -114.02, 1.00, 0.16, 0.00050, 0.01028
290568, 1, 0.50, 0.50, -0.61, -0.23, 4.37, 114.53, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 40.80, -114.03, 1.00, 0.22, 0.00092, 0.03640
290581, 1, 0.50, 0.50, -0.60, -0.23, 2.68, 114.54, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 49.23, -114.04, 1.00, 0.25, 0.00114, 0.04159
290594, 1, 0.50, 0.50, -0.58, -0.22, 1.81, 114.55, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 52.92, -114.05, 1.00, 0.24, 0.00122, 0.01992
290608, 1, 0.50, 0.50, -0.57, -0.22, 1.28, 114.56, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 54.61, -114.06, 1.00, 0.23, 0.00121, -0.00035
290621, 1, 0.50, 0.50, -0.56, -0.22, 0.95, 114.56, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 55.49, -114.06, 1.00, 0.24, 0.00120, -0.00508
