timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
355394, 1, 0.50, 0.50, -1.03, -0.23, 53.90, 149.83, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 0.00, -149.33, 1.00, 0.19, -0.00004, 0.00003
355492, 1, 0.50, 0.50, -0.95, -0.22, 44.35, 149.84, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 57.30, -149.34, 1.00, 0.02, 0.00033, -0.00247
355518, 1, 0.50, 0.50, -0.87, -0.21, 29.14, 149.85, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 3.39, -149.35, 1.00, 0.05, 0.00021, -0.00267
355528, 1, 0.50, 0.50, -0.81, -0.21, 15.36, 149.87, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 12.95, -149.37, 1.00, 0.10, 0.00015, -0.00054
355541, 1, 0.50, 0.50, -0.76, -0.20, 7.68, 149.88, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 28.15, -149.38, 1.00, 0.16, 0.00045, 0.00890
355556, 1, 0.50, 0.50, -0.72, -0.20, 4.25, 149.89, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 41.94, -149.39, 1.00, 0.22, 0.00082, 0.03102
355568, 1, 0.50, 0.50, -0.68, -0.19, 2.62, 149.90, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 49.62, -149.40, 1.00, 0.24, 0.00102, 0.03511
355581, 1, 0.50, 0.50, -0.66, -0.19, 1.76, 149.90, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 4.00, 0.05, 22.00, 0.00, 0.00, 53.05, -149.40, 1.00, 0.24, 0.00109, 0.01644
355594, 1, 0.50, 0.50, -0.64, -0.19, 1.27, 149.91, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 12.00, 0.12, 22.00, 0.00, 0.00, 54.68, -149.41, 1.00, 0.23, 0.00109, -0.00057
355608, 1, 0.50, 0.50, -0.62, -0.19, 0.96, 149.92, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 14.00, 0.14, 22.00, 0.00, 0.00, 55.53, -149.42, 1.00, 0.24, 0.00107, -0.00422
355621, 1, 0.50, 0.50, -0.60, -0.18, 0.73, 149.93, 0.90, 36.00, 0.01, 22.00, 10.00, 0.11, 22.00, 0.00, 0.00, 22.00, 20.00, 0.21, 22.00, 0.00, 0.00, 56.02, -149.43, 1.00, 0.25, 0.00107, -0.00308
355634, 1, 0.50, 0.50, -0.58, -0.14, 0.58, 149.94, 0.90, 36.00, 0.01, 22.00, 10.00, 0.11, 22.00, 0.00, 0.00, 22.00, 18.00, 0.18, 22.00, 0.00, 0.00, 56.34, -149.44, 1.00, 0.27, 0.00106, -0.00134
355648, 1, 0.50, 0.50, -0.59, -0.17, 0.52, 149.95, 0.90, 36.00, 0.01, 22.00, 14.00, 0.16, 22.00, 0.00, 0.00, 22.00, 22.00, 0.23, 22.00, 0.00, 0.00, 56.57, -149.45, 1.00, 0.28, 0.00106, -0.00036
355661, 1, 0.50, 0.50, -0.61, -0.12, 0.39, 149.95, 0.90, 36.00, 0.01, 22.00, 16.00, 0.18, 22.00, 0.00, 0.00, 22.00, 18.00, 0.18, 22.00, 0.00, 0.00, 56.72, -149.45, 1.00, 0.29, 0.00106, 0.00001
355674, 1, 0.50, 0.50, -0.58, -0.17, 0.32, 149.96, 0.90, 36.00, 0.01, 22.00, 18.00, 0.18, 22.00, 0.00, 0.00, 22.00, 20.00, 0.19, 22.00, 0.00, 0.00, 56.78, -149.46, 1.00, 0.30, 0.00106, 0.00012
355688, 1, 0.50, 0.50, -0.58, -0.18, 0.27, 149.97, 0.90, 36.00, 0.01, 24.00, 20.00, 0.19, 24.00, 0.00, 0.00, 24.00, 20.00, 0.19, 24.00, 2.00, 0.02, 56.90, -149.47, 1.00, 0.31, 0.00106, 0.00016
355701, 1, 0.50, 0.50, -0.57, -0.15, 0.21, 149.98, 0.90, 36.00, 0.01, 24.00, 20.00, 0.19, 24.00, 0.00, 0.00, 24.00, 20.00, 0.21, 24.00, 10.00, 0.09, 56.97, -149.48, 1.00, 0.32, 0.00106, 0.00017
355714, 1, 0.50, 0.50, -0.56, -0.14, 0.18, 149.99, 0.90, 36.00, 0.01, 24.00, 22.00, 0.23, 24.00, 6.00, 0.07, 24.00, 24.00, 0.25, 24.00, 14.00, 0.16, 57.03, -149.49, 1.00, 0.33, 0.00106, 0.00016
