timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
152317, 1, 0.50, 0.50, -0.85, -0.65, 51.72, 20.97, 1.32, 52.80, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, -1.73, -20.47, 1.00, -0.04, -0.01538, 0.01113
152343, 1, 0.50, 0.50, -0.79, -0.56, 38.35, 20.98, 1.32, 52.80, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, -0.98, -20.48, 1.00, 0.39, -0.01607, 0.11418
152351, 1, 0.50, 0.50, -0.74, -0.49, 21.99, 20.99, 1.32, 52.80, 0.01, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 5.58, -20.49, 1.00, 1.17, -0.01845, 0.21674
152377, 1, 0.50, 0.50, -0.70, -0.42, 10.74, 21.00, 1.32, 52.80, 0.01, 40.00, 0.00, 0.00, 40.00, 0.00, 0.00, 40.00, 0.00, 0.00, 40.00, 0.00, 0.00, 18.94, -20.50, 1.00, 1.84, -0.01898, 0.03933
152385, 1, 0.50, 0.50, -0.67, -0.36, 5.49, 21.01, 1.32, 52.80, 0.01, 42.00, 0.00, 0.00, 42.00, 0.00, 0.00, 42.00, 2.00, 0.02, 42.00, 0.00, 0.00, 35.31, -20.51, 1.00, 2.11, -0.01531, -0.30370
152400, 1, 0.50, 0.50, -0.65, -0.32, 3.16, 21.02, 1.32, 52.80, 0.01, 46.00, 0.00, 0.00, 46.00, 0.00, 0.00, 46.00, 0.00, 0.00, 46.00, 0.00, 0.00, 46.56, -20.52, 1.00, 2.33, -0.01183, -0.41220
152410, 1, 0.50, 0.50, -0.63, -0.29, 2.05, 21.03, 1.32, 52.80, 0.01, 48.00, 0.00, 0.00, 48.00, 0.00, 0.00, 48.00, 4.00, 0.05, 48.00, 0.00, 0.00, 51.80, -20.53, 1.00, 2.65, -0.01013, -0.29304
152424, 1, 0.50, 0.50, -0.62, -0.27, 1.44, 21.04, 1.32, 52.80, 0.01, 52.00, 2.00, 0.02, 52.00, 0.00, 0.00, 52.00, 20.00, 0.21, 52.00, 0.00, 0.00, 54.14, -20.54, 1.00, 2.98, -0.00971, -0.09858
152437, 1, 0.50, 0.50, -0.61, -0.24, 1.06, 21.05, 1.32, 52.80, 0.01, 56.00, 22.00, 0.23, 56.00, 0.00, 0.00, 56.00, 36.00, 0.37, 56.00, 0.00, 0.00, 55.24, -20.55, 1.00, 3.22, -0.00981, 0.02837
152450, 1, 0.50, 0.50, -0.55, -0.22, 0.75, 21.06, 1.32, 52.80, 0.01, 56.00, 40.00, 0.40, 56.00, 0.00, 0.00, 56.00, 50.00, 0.51, 56.00, 0.00, 0.00, 55.86, -20.56, 1.00, 3.34, -0.00994, 0.03957
152464, 1, 0.50, 0.50, -0.60, -0.19, 0.62, 21.06, 1.32, 52.80, 0.01, 58.00, 50.00, 0.51, 58.00, 0.00, 0.02, 58.00, 48.00, 0.49, 58.00, 10.00, 0.11, 56.23, -20.56, 1.00, 3.42, -0.01000, 0.02166
152477, 1, 0.50, 0.50, -0.54, -0.19, 0.33, 21.07, 1.32, 52.80, 0.01, 58.00, 58.00, 0.58, 58.00, 18.00, 0.19, 58.00, 56.00, 0.58, 58.00, 26.00, 0.26, 56.54, -20.57, 1.00, 3.50, -0.01002, 0.00743
152490, 1, 0.50, 0.50, -0.51, -0.17, 0.24, 21.08, 1.32, 52.80, 0.01, 60.00, 58.00, 0.60, 60.00, 32.00, 0.32, 60.00, 62.00, 0.65, 60.00, 38.00, 0.39, 56.68, -20.58, 1.00, 3.60, -0.01003, 0.00103
