timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
142794, 1, 0.50, 0.50, -0.91, -0.24, 50.22, 58.41, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 3.27, -57.91, 1.00, 0.02, -0.00600, 0.00422
142820, 1, 0.50, 0.50, -0.83, -0.23, 41.87, 58.42, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 3.41, -57.92, 1.00, 0.07, -0.00603, 0.04197
142828, 1, 0.50, 0.50, -0.77, -0.23, 28.51, 58.43, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 7.08, -57.93, 1.00, 0.13, -0.00613, 0.07415
142836, 1, 0.50, 0.50, -0.71, -0.22, 15.76, 58.44, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 15.42, -57.94, 1.00, 0.12, -0.00618, 0.02216
142848, 1, 0.50, 0.50, -0.67, -0.22, 8.19, 58.45, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 28.79, -57.95, 1.00, 0.04, -0.00593, -0.10753
142861, 1, 0.50, 0.50, -0.64, -0.21, 4.59, 58.46, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 41.54, -57.96, 1.00, -0.02, -0.00559, -0.19735
142874, 1, 0.50, 0.50, -0.61, -0.21, 2.84, 58.47, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 49.11, -57.97, 1.00, 0.02, -0.00539, -0.17568
142888, 1, 0.50, 0.50, -0.59, -0.21, 1.91, 58.48, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 52.70, -57.98, 1.00, 0.13, -0.00532, -0.08063
142901, 1, 0.50, 0.50, -0.57, -0.21, 1.38, 58.49, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 54.45, -57.99, 1.00, 0.22, -0.00532, -0.00279
142914, 1, 0.50, 0.50, -0.56, -0.21, 1.04, 58.50, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 55.38, -58.00, 1.00, 0.25, -0.00533, 0.01660
142928, 1, 0.50, 0.50, -0.55, -0.20, 0.79, 58.50, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 55.92, -58.00, 1.00, 0.26, -0.00534, 0.01365
142941, 1, 0.50, 0.50, -0.54, -0.20, 0.62, 58.51, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 56.26, -58.01, 1.00, 0.27, -0.00534, 0.00639
143150, 1, 0.50, 0.50, -0.53, -0.21, 0.49, 58.52, 0.90, 36.00, 0.01, 22.00, 18.00, 0.19, 22.00, 4.00, 0.05, 22.00, 22.00, 0.23, 22.00, 10.00, 0.11, 56.50, -58.02, 1.00, 0.27, -0.00534, 0.00180
143159, 1, 0.50, 0.50, -0.53, -0.21, 0.39, 58.53, 0.90, 36.00, 0.01, 22.00, 22.00, 0.23, 22.00, 10.00, 0.11, 22.00, 18.00, 0.19, 22.00, 12.00, 0.12, 56.68, -58.03, 1.00, 0.28, -0.00534, -0.00011
143168, 1, 0.50, 0.50, -0.52, -0.20, 0.32, 58.53, 0.90, 36.00, 0.01, 22.00, 24.00, 0.25, 22.00, 12.00, 0.12, 22.00, 22.00, 0.23, 22.00, 16.00, 0.16, 56.80, -58.03, 1.00, 0.29, -0.00534, -0.00074
