timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
362984, 1, 0.50, 0.50, -0.43, 0.47, 51.96, 125.90, 1.32, 52.80, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 2.11, -125.40, 1.00, 0.12, -0.01227, 0.00892
363016, 1, 0.50, 0.50, -0.34, 0.49, 44.43, 125.91, 1.32, 52.80, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 2.22, -125.41, 1.00, 0.36, -0.01261, 0.09108
363029, 1, 0.50, 0.50, -0.28, 0.51, 31.36, 125.91, 1.32, 52.80, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 5.34, -125.41, 1.00, 0.83, -0.01407, 0.17847
363037, 1, 0.50, 0.50, -0.23, 0.52, 17.68, 125.91, 1.32, 52.80, 0.01, 34.00, 0.00, 0.00, 34.00, 0.00, 0.00, 34.00, 0.00, 0.00, 34.00, 0.00, 0.00, 12.87, -125.41, 1.00, 1.39, -0.01490, 0.06119
363050, 1, 0.50, 0.50, -0.19, 0.53, 9.06, 125.92, 1.32, 52.80, 0.01, 40.00, 0.00, 0.00, 40.00, 0.00, 0.00, 40.00, 0.00, 0.00, 40.00, 0.00, 0.00, 25.93, -125.42, 1.00, 1.85, -0.01089, -0.20130
363064, 1, 0.50, 0.50, -0.16, 0.53, 4.88, 125.92, 1.32, 52.80, 0.01, 46.00, 0.00, 0.00, 46.00, 0.00, 0.00, 46.00, 0.00, 0.00, 46.00, 0.00, 0.00, 39.62, -125.42, 1.00, 2.34, -0.00546, -0.20155
363077, 1, 0.50, 0.50, -0.14, 0.54, 2.96, 125.92, 1.32, 52.80, 0.01, 50.00, 0.00, 0.00, 50.00, 0.00, 0.00, 50.00, 0.00, 0.00, 50.00, 0.00, 0.00, 48.24, -125.42, 1.00, 2.73, -0.00250, -0.08724
363090, 1, 0.50, 0.50, -0.12, 0.55, 1.94, 125.92, 1.32, 52.80, 0.01, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.41, -125.42, 1.00, 2.97, -0.00159, -0.02722
363104, 1, 0.50, 0.50, -0.11, 0.55, 1.40, 125.92, 1.32, 52.80, 0.01, 54.00, 0.00, 0.00, 54.00, 0.00, 0.00, 54.00, 0.00, 0.00, 54.00, 0.00, 0.00, 54.34, -125.42, 1.00, 3.13, -0.00154, -0.00212
363117, 1, 0.50, 0.50, -0.10, 0.55, 1.05, 125.92, 1.32, 52.80, 0.01, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 55.35, -125.42, 1.00, 3.25, -0.00164, 0.00520
363130, 1, 0.50, 0.50, -0.09, 0.56, 0.79, 125.92, 1.32, 52.80, 0.01, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 55.89, -125.42, 1.00, 3.35, -0.00173, 0.00511
363144, 1, 0.50, 0.50, -0.08, 0.56, 0.61, 125.93, 1.32, 52.80, 0.01, 58.00, 0.00, 0.00, 58.00, 0.00, 0.00, 58.00, 0.00, 0.00, 58.00, 0.00, 0.00, 56.25, -125.43, 1.00, 3.45, -0.00178, 0.00267
363157, 1, 0.50, 0.50, -0.07, 0.56, 0.48, 125.93, 1.32, 52.80, 0.01, 58.00, 0.00, 0.00, 58.00, 0.00, 0.00, 58.00, 0.00, 0.00, 58.00, 0.00, 0.00, 56.51, -125.43, 1.00, 3.54, -0.00179, 0.00085
363170, 1, 0.50, 0.50, -0.07, 0.56, 0.39, 125.93, 1.32, 52.80, 0.01, 60.00, 0.00, 0.00, 60.00, 0.00, 0.00, 60.00, 0.00, 0.00, 60.00, 0.00, 0.00, 56.69, -125.43, 1.00, 3.63, -0.00179, 0.00005
363184, 1, 0.50, 0.50, -0.06, 0.56, 0.31, 125.93, 1.32, 52.80, 0.01, 60.00, 0.00, 0.00, 60.00, 0.00, 0.00, 60.00, 0.00, 0.00, 60.00, 0.00, 0.00, 56.81, -125.43, 1.00, 3.73, -0.00179, -0.00021
363197, 1, 0.50, 0.50, -0.06, 0.56, 0.24, 125.93, 1.32, 52.80, 0.01, 62.00, 0.00, 0.00, 62.00, 0.00, 0.00, 62.00, 0.00, 0.00, 62.00, 0.00, 0.00, 56.91, -125.43, 1.00, 3.82, -0.00179, -0.00026
