timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
325648, 1, 0.50, 0.50, -1.04, -0.17, 51.62, 132.44, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 0.23, -131.94, 1.00, 0.00, -0.00278, 0.00201
325678, 1, 0.50, 0.50, -0.91, -0.17, 40.47, 132.45, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 0.54, -131.95, 1.00, 0.04, -0.00282, 0.02008
325690, 1, 0.50, 0.50, -0.80, -0.17, 24.98, 132.46, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 5.67, -131.96, 1.00, 0.09, -0.00295, 0.03559
325701, 1, 0.50, 0.50, -0.73, -0.17, 12.80, 132.47, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 16.82, -131.97, 1.00, 0.12, -0.00300, 0.00828
325714, 1, 0.50, 0.50, -0.68, -0.16, 6.56, 132.48, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 32.32, -131.98, 1.00, 0.10, -0.00273, -0.05298
325728, 1, 0.50, 0.50, -0.64, -0.16, 3.70, 132.49, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 44.49, -131.99, 1.00, 0.10, -0.00243, -0.08647
325741, 1, 0.50, 0.50, -0.61, -0.16, 2.34, 132.50, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 50.74, -132.00, 1.00, 0.13, -0.00226, -0.06992
325754, 1, 0.50, 0.50, -0.58, -0.17, 1.60, 132.51, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 53.59, -132.01, 1.00, 0.19, -0.00221, -0.02732
325768, 1, 0.50, 0.50, -0.57, -0.16, 1.17, 132.52, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 54.95, -132.02, 1.00, 0.23, -0.00222, 0.00358
325781, 1, 0.50, 0.50, -0.55, -0.16, 0.89, 132.52, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 55.69, -132.02, 1.00, 0.25, -0.00223, 0.00845
