timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
399141, 1, 0.50, 0.50, -1.06, -0.16, 55.18, 168.98, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, -2.73, -168.48, 1.00, -0.00, -0.00772, 0.00596
399174, 1, 0.50, 0.50, -0.93, -0.16, 43.71, 168.99, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, -2.87, -168.49, 1.00, 0.07, -0.00775, 0.05907
399200, 1, 0.50, 0.50, -0.83, -0.16, 26.90, 169.00, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 2.12, -168.50, 1.00, 0.15, -0.00790, 0.10219
399208, 1, 0.50, 0.50, -0.75, -0.16, 13.40, 169.01, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 13.59, -168.51, 1.00, 0.13, -0.00795, 0.02410
399221, 1, 0.50, 0.50, -0.70, -0.16, 6.62, 169.02, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 30.39, -168.52, 1.00, -0.01, -0.00764, -0.15878
399236, 1, 0.50, 0.50, -0.66, -0.16, 3.66, 169.03, 0.90, 36.00, 0.01, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 43.90, -168.53, 1.00, -0.10, -0.00730, -0.27933
399248, 1, 0.50, 0.50, -0.62, -0.16, 2.31, 169.04, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 50.67, -168.54, 1.00, -0.04, -0.00711, -0.23701
399261, 1, 0.50, 0.50, -0.60, -0.16, 1.59, 169.05, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 53.64, -168.55, 1.00, 0.12, -0.00706, -0.09341
399274, 1, 0.50, 0.50, -0.58, -0.17, 1.13, 169.06, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 54.99, -168.56, 1.00, 0.24, -0.00707, 0.01420
399288, 1, 0.50, 0.50, -0.57, -0.17, 0.84, 169.07, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 55.71, -168.57, 1.00, 0.27, -0.00708, 0.03127
