timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
24528, 1, 0.50, 0.50, -0.48, -0.14, -0.28, 0.01, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 0.00, 0.49, 1.00, 0.19, 0.00000, 0.00000
24665, 1, 0.50, 0.50, -0.50, -0.22, -0.06, 0.01, 0.90, 36.00, 0.01, 22.00, 18.00, 0.19, 22.00, 18.00, 0.19, 22.00, 16.00, 0.18, 22.00, 16.00, 0.16, 57.30, 0.49, 1.00, 0.20, 0.00000, 0.00000
24682, 1, 0.50, 0.50, -0.48, -0.21, -0.02, 0.02, 0.90, 36.00, 0.01, 22.00, 26.00, 0.26, 22.00, 20.00, 0.19, 22.00, 22.00, 0.23, 22.00, 20.00, 0.21, 57.30, 0.48, 1.00, 0.21, 0.00000, 0.00000
24690, 1, 0.50, 0.50, -0.53, -0.11, 0.09, 0.03, 0.90, 36.00, 0.01, 22.00, 18.00, 0.19, 22.00, 18.00, 0.18, 22.00, 20.00, 0.19, 22.00, 16.00, 0.16, 57.30, 0.47, 1.00, 0.22, -0.00000, 0.00000
24706, 1, 0.50, 0.50, -0.54, -0.19, 0.10, 0.04, 0.90, 36.00, 0.01, 22.00, 14.00, 0.14, 22.00, 22.00, 0.23, 22.00, 20.00, 0.19, 22.00, 20.00, 0.21, 57.30, 0.46, 1.00, 0.23, -0.00000, 0.00000
24714, 1, 0.50, 0.50, -0.54, -0.18, 0.08, 0.04, 0.90, 36.00, 0.01, 22.00, 28.00, 0.28, 22.00, 24.00, 0.25, 22.00, 34.00, 0.33, 22.00, 20.00, 0.19, 57.20, 0.46, 1.00, 0.24, -0.00000, 0.00000
24728, 1, 0.50, 0.50, -0.51, -0.11, 0.04, 0.05, 0.90, 36.00, 0.01, 22.00, 20.00, 0.21, 22.00, 24.00, 0.25, 22.00, 26.00, 0.28, 22.00, 22.00, 0.21, 57.20, 0.45, 1.00, 0.25, -0.00000, 0.00000
24745, 1, 0.50, 0.50, -0.51, -0.14, 0.09, 0.06, 0.90, 36.00, 0.01, 22.00, 10.00, 0.09, 22.00, 24.00, 0.25, 22.00, 16.00, 0.18, 22.00, 20.00, 0.21, 57.21, 0.44, 1.00, 0.26, -0.00000, -0.00000
24754, 1, 0.50, 0.50, -0.51, -0.12, 0.14, 0.06, 0.90, 36.00, 0.01, 22.00, 28.00, 0.28, 22.00, 20.00, 0.21, 22.00, 28.00, 0.28, 22.00, 16.00, 0.18, 57.25, 0.44, 1.00, 0.27, 0.00000, 0.00000
24768, 1, 0.50, 0.50, -0.50, -0.11, 0.14, 0.07, 0.90, 36.00, 0.01, 22.00, 16.00, 0.18, 22.00, 22.00, 0.23, 22.00, 22.00, 0.23, 22.00, 22.00, 0.23, 57.20, 0.43, 1.00, 0.28, 0.00000, 0.00000
24785, 1, 0.50, 0.50, -0.50, -0.11, 0.15, 0.08, 0.90, 36.00, 0.01, 22.00, 18.00, 0.18, 22.00, 18.00, 0.18, 22.00, 24.00, 0.25, 22.00, 22.00, 0.23, 57.16, 0.42, 1.00, 0.29, 0.00000, 0.00000
24794, 1, 0.50, 0.50, -0.49, -0.14, 0.13, 0.08, 0.90, 36.00, 0.01, 22.00, 20.00, 0.21, 22.00, 36.00, 0.37, 22.00, 22.00, 0.23, 22.00, 22.00, 0.21, 57.15, 0.42, 1.00, 0.30, 0.00000, 0.00000
24811, 1, 0.50, 0.50, -0.52, -0.12, 0.18, 0.09, 0.90, 36.00, 0.01, 24.00, 22.00, 0.23, 24.00, 22.00, 0.23, 24.00, 24.00, 0.25, 24.00, 24.00, 0.25, 57.15, 0.41, 1.00, 0.31, 0.00000, 0.00000
