timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
178384, 1, 0.50, 0.50, -1.16, -0.36, 61.34, 40.62, 1.32, 52.80, 0.01, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 0.00, -40.12, 1.00, 2.86, -0.00074, 0.00063
178448, 1, 0.50, 0.50, -1.02, -0.26, 42.42, 40.63, 1.32, 52.80, 0.01, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 57.30, -40.13, 1.00, -0.17, 0.00674, -0.05653
178456, 1, 0.50, 0.50, -0.92, -0.25, 21.28, 40.65, 1.32, 52.80, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, -4.05, -40.15, 1.00, 0.78, 0.00295, -0.03977
178467, 1, 0.50, 0.50, -0.80, -0.28, 9.28, 40.66, 1.32, 52.80, 0.01, 40.00, 0.00, 0.00, 40.00, 0.00, 0.00, 40.00, 0.00, 0.00, 40.00, 0.00, 0.00, 14.87, -40.16, 1.00, 1.90, 0.00249, -0.00352
178477, 1, 0.50, 0.50, -0.76, -0.25, 4.56, 40.67, 1.32, 52.80, 0.01, 50.00, 0.00, 0.00, 50.00, 0.00, 0.00, 50.00, 0.00, 0.00, 50.00, 0.00, 0.00, 36.02, -40.17, 1.00, 2.73, 0.00725, 0.17592
178490, 1, 0.50, 0.50, -0.70, -0.21, 2.62, 40.68, 1.32, 52.80, 0.01, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 56.00, 14.00, 0.14, 56.00, 0.00, 0.00, 48.01, -40.18, 1.00, 3.31, 0.01099, 0.44317
178504, 1, 0.50, 0.50, -0.66, -0.22, 1.70, 40.69, 1.32, 52.80, 0.01, 58.00, 0.00, 0.00, 58.00, 0.00, 0.00, 58.00, 34.00, 0.35, 58.00, 0.00, 0.00, 52.74, -40.19, 1.00, 3.44, 0.01266, 0.39639
178517, 1, 0.50, 0.50, -0.63, -0.19, 1.17, 40.69, 1.32, 52.80, 0.01, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 56.00, 46.00, 0.42, 56.00, 0.00, 0.00, 54.68, -40.19, 1.00, 3.28, 0.01300, 0.11131
178530, 1, 0.50, 0.50, -0.61, -0.19, 0.86, 40.70, 1.32, 52.80, 0.01, 54.00, 0.00, 0.00, 54.00, 0.00, 0.00, 54.00, 48.00, 0.49, 54.00, 0.00, 0.00, 55.59, -40.20, 1.00, 3.21, 0.01281, -0.07173
178594, 1, 0.50, 0.50, -0.59, -0.20, 0.78, 40.71, 1.32, 52.80, 0.01, 56.00, 52.00, 0.53, 56.00, 54.00, 0.54, 56.00, 54.00, 0.58, 56.00, 38.00, 0.37, 56.13, -40.21, 1.00, 3.32, 0.01265, -0.06639
178603, 1, 0.50, 0.50, -0.58, -0.20, 0.72, 40.72, 1.32, 52.80, 0.01, 58.00, 52.00, 0.54, 58.00, 50.00, 0.51, 58.00, 60.00, 0.61, 58.00, 38.00, 0.39, 56.44, -40.22, 1.00, 3.45, 0.01258, -0.03024
178655, 1, 0.50, 0.50, -0.55, -0.12, 1.10, 40.73, 1.32, 52.80, 0.01, 58.00, 58.00, 0.60, 58.00, 52.00, 0.54, 58.00, 60.00, 0.61, 58.00, 50.00, 0.51, 56.52, -40.23, 1.00, 3.56, 0.01256, -0.00976
178664, 1, 0.50, 0.50, -0.56, 0.01, 1.59, 40.73, 1.32, 52.80, 0.01, 60.00, 50.00, 0.51, 60.00, 72.00, 0.74, 60.00, 58.00, 0.58, 60.00, 56.00, 0.56, 56.57, -40.23, 1.00, 3.63, 0.01256, -0.00308
178677, 1, 0.50, 0.50, -0.59, 0.14, 2.25, 40.74, 1.32, 52.80, 0.01, 60.00, 58.00, 0.60, 60.00, 56.00, 0.58, 60.00, 64.00, 0.65, 60.00, 56.00, 0.56, 56.19, -40.24, 1.00, 3.69, 0.01255, -0.00189
178690, 1, 0.50, 0.50, -0.54, 0.26, 2.92, 40.75, 1.32, 52.80, 0.01, 60.00, 64.00, 0.65, 60.00, 56.00, 0.56, 60.00, 56.00, 0.56, 60.00, 56.00, 0.56, 55.71, -40.25, 1.00, 3.75, 0.01255, -0.00172
178704, 1, 0.50, 0.50, -0.60, 0.36, 3.85, 40.75, 1.32, 52.80, 0.01, 62.00, 56.00, 0.58, 62.00, 48.00, 0.49, 62.00, 60.00, 0.61, 62.00, 60.00, 0.61, 55.05, -40.25, 1.00, 3.80, 0.01255, -0.00037
178717, 1, 0.50, 0.50, -0.54, 0.54, 4.67, 40.76, 1.32, 52.80, 0.01, 62.00, 62.00, 0.63, 62.00, 58.00, 0.60, 62.00, 60.00, 0.61, 62.00, 58.00, 0.58, 54.37, -40.26, 1.00, 3.84, 0.01255, 0.00265
178730, 1, 0.50, 0.50, -0.59, 0.76, 5.70, 40.77, 1.32, 52.80, 0.01, 62.00, 60.00, 0.61, 62.00, 68.00, 0.70, 62.00, 60.00, 0.61, 62.00, 56.00, 0.56, 53.45, -40.27, 1.00, 3.88, 0.01256, 0.00692
178744, 1, 0.50, 0.50, -0.53, 0.84, 7.07, 40.77, 1.32, 52.80, 0.01, 62.00, 62.00, 0.65, 62.00, 72.00, 0.74, 62.00, 68.00, 0.70, 62.00, 58.00, 0.58, 52.63, -40.27, 1.00, 3.92, 0.01257, 0.01161
178794, 1, 0.50, 0.50, -0.52, 0.89, 9.64, 40.78, 1.32, 52.80, 0.01, 62.00, 62.00, 0.63, 62.00, 62.00, 0.63, 62.00, 52.00, 0.54, 62.00, 56.00, 0.58, 51.59, -40.28, 1.00, 3.93, 0.01257, 0.01574
178802, 1, 0.50, 0.50, -0.52, 0.92, 12.25, 40.78, 1.32, 52.80, 0.01, 62.00, 64.00, 0.67, 62.00, 58.00, 0.53, 62.00, 50.00, 0.51, 62.00, 56.00, 0.56, 50.23, -40.28, 1.00, 3.88, 0.01255, 0.01788
178811, 1, 0.50, 0.50, -0.55, 1.01, 14.81, 40.79, 1.32, 52.80, 0.01, 62.00, 60.00, 0.61, 62.00, 52.00, 0.54, 62.00, 66.00, 0.67, 62.00, 86.00, 0.88, 47.65, -40.29, 1.00, 3.83, 0.01252, 0.01902
178824, 1, 0.50, 0.50, -0.61, 1.08, 17.35, 40.80, 1.32, 52.80, 0.01, 62.00, 56.00, 0.56, 62.00, 48.00, 0.49, 62.00, 68.00, 0.68, 62.00, 58.00, 0.60, 45.05, -40.30, 1.00, 3.77, 0.01249, 0.02384
178837, 1, 0.50, 0.50, -0.77, 1.02, 19.43, 40.81, 1.32, 52.80, 0.01, 60.00, 44.00, 0.46, 60.00, 46.00, 0.47, 60.00, 62.00, 0.63, 60.00, 60.00, 0.61, 42.48, -40.31, 1.00, 3.72, 0.01244, 0.03624
178850, 1, 0.50, 0.50, -0.73, 1.13, 20.95, 40.81, 1.32, 52.80, 0.01, 60.00, 34.00, 0.33, 60.00, 36.00, 0.37, 60.00, 58.00, 0.60, 60.00, 58.00, 0.60, 39.95, -40.31, 1.00, 3.70, 0.01238, 0.05543
178864, 1, 0.50, 0.50, -0.72, 1.09, 22.99, 40.82, 1.32, 52.80, 0.01, 60.00, 40.00, 0.40, 60.00, 54.00, 0.58, 60.00, 66.00, 0.67, 60.00, 48.00, 0.47, 37.86, -40.32, 1.00, 3.70, 0.01235, 0.07684
178877, 1, 0.50, 0.50, -0.72, 1.15, 24.78, 40.83, 1.32, 52.80, 0.01, 60.00, 46.00, 0.47, 60.00, 44.00, 0.46, 60.00, 60.00, 0.61, 60.00, 58.00, 0.58, 36.35, -40.33, 1.00, 3.68, 0.01224, 0.09430
178927, 1, 0.50, 0.50, -0.71, 1.19, 27.26, 40.84, 1.32, 52.80, 0.01, 60.00, 52.00, 0.53, 60.00, 58.00, 0.60, 60.00, 60.00, 0.61, 60.00, 54.00, 0.54, 34.30, -40.34, 1.00, 3.65, 0.01214, 0.10599
