timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
182648, 1, 0.50, 0.50, -0.99, -0.08, 54.93, 75.91, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 0.00, -75.41, 1.00, 0.19, -0.00004, 0.00003
182691, 1, 0.50, 0.50, -0.91, -0.09, 48.65, 75.92, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 57.30, -75.42, 1.00, 0.02, 0.00035, -0.00266
182704, 1, 0.50, 0.50, -0.84, -0.10, 36.29, 75.93, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 2.36, -75.43, 1.00, 0.04, 0.00026, -0.00357
182714, 1, 0.50, 0.50, -0.78, -0.10, 21.32, 75.94, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 8.64, -75.44, 1.00, 0.08, 0.00020, -0.00099
182728, 1, 0.50, 0.50, -0.73, -0.10, 10.82, 75.95, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 21.01, -75.45, 1.00, 0.14, 0.00050, 0.00945
182741, 1, 0.50, 0.50, -0.69, -0.11, 5.67, 75.96, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 35.98, -75.46, 1.00, 0.21, 0.00098, 0.03880
182754, 1, 0.50, 0.50, -0.66, -0.11, 3.37, 75.97, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 46.48, -75.47, 1.00, 0.25, 0.00127, 0.04946
182768, 1, 0.50, 0.50, -0.63, -0.11, 2.23, 75.98, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 51.62, -75.48, 1.00, 0.24, 0.00137, 0.02820
182781, 1, 0.50, 0.50, -0.61, -0.12, 1.55, 75.98, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 53.92, -75.48, 1.00, 0.23, 0.00139, 0.00427
182794, 1, 0.50, 0.50, -0.59, -0.12, 1.14, 75.99, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 55.07, -75.49, 1.00, 0.24, 0.00138, -0.00413
182808, 1, 0.50, 0.50, -0.58, -0.12, 0.86, 76.00, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 55.74, -75.50, 1.00, 0.25, 0.00136, -0.00469
