timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
405197, 1, 0.50, 0.50, -0.18, 0.54, 52.67, 136.46, 1.32, 52.80, 0.01, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 0.00, -135.96, 1.00, 2.86, -0.00063, 0.00047
405230, 1, 0.50, 0.50, -0.09, 0.52, 39.32, 136.46, 1.32, 52.80, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 57.30, -135.96, 1.00, 0.28, 0.00489, -0.03537
405238, 1, 0.50, 0.50, -0.09, 0.47, 22.60, 136.46, 1.32, 52.80, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 4.62, -135.96, 1.00, 0.96, 0.00246, -0.02954
405250, 1, 0.50, 0.50, -0.08, 0.51, 11.01, 136.46, 1.32, 52.80, 0.01, 40.00, 0.00, 0.00, 40.00, 0.00, 0.00, 40.00, 0.00, 0.00, 40.00, 0.00, 0.00, 17.97, -135.96, 1.00, 1.85, 0.00190, -0.00413
405264, 1, 0.50, 0.50, -0.07, 0.58, 5.56, 136.47, 1.32, 52.80, 0.01, 48.00, 0.00, 0.00, 48.00, 0.00, 0.00, 48.00, 0.00, 0.00, 48.00, 0.00, 0.00, 34.69, -135.97, 1.00, 2.60, 0.00573, 0.11564
405277, 1, 0.50, 0.50, -0.06, 0.57, 3.20, 136.47, 1.32, 52.80, 0.01, 54.00, 0.00, 0.00, 54.00, 0.00, 0.00, 54.00, 2.00, 0.02, 54.00, 0.00, 0.00, 46.29, -135.97, 1.00, 3.16, 0.00939, 0.33411
405290, 1, 0.50, 0.50, -0.06, 0.57, 1.99, 136.47, 1.32, 52.80, 0.01, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 56.00, 18.00, 0.19, 56.00, 0.00, 0.00, 51.73, -135.97, 1.00, 3.36, 0.01114, 0.33025
405304, 1, 0.50, 0.50, -0.06, 0.61, 1.39, 136.47, 1.32, 52.80, 0.01, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 56.00, 32.00, 0.33, 56.00, 0.00, 0.00, 54.09, -135.97, 1.00, 3.29, 0.01159, 0.12155
405317, 1, 0.50, 0.50, -0.12, 0.62, 0.96, 136.47, 1.32, 52.80, 0.01, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 56.00, 48.00, 0.49, 56.00, 0.00, 0.00, 55.30, -135.97, 1.00, 3.25, 0.01149, -0.03349
405330, 1, 0.50, 0.50, -0.01, 0.59, 0.74, 136.47, 1.32, 52.80, 0.01, 56.00, 4.00, 0.04, 56.00, 0.00, 0.00, 56.00, 54.00, 0.56, 56.00, 0.00, 0.00, 55.91, -135.97, 1.00, 3.34, 0.01136, -0.04669
405344, 1, 0.50, 0.50, -0.08, 0.56, 0.66, 136.47, 1.32, 52.80, 0.01, 58.00, 22.00, 0.21, 58.00, 6.00, 0.07, 58.00, 48.00, 0.47, 58.00, 0.00, 0.00, 56.33, -135.97, 1.00, 3.46, 0.01129, -0.02579
405357, 1, 0.50, 0.50, -0.12, 0.57, 0.51, 136.48, 1.32, 52.80, 0.01, 58.00, 38.00, 0.37, 58.00, 24.00, 0.25, 58.00, 52.00, 0.53, 58.00, 0.00, 0.00, 56.55, -135.98, 1.00, 3.57, 0.01127, -0.00956
405370, 1, 0.50, 0.50, -0.11, 0.61, 0.55, 136.48, 1.32, 52.80, 0.01, 60.00, 48.00, 0.49, 60.00, 38.00, 0.39, 60.00, 54.00, 0.56, 60.00, 16.00, 0.16, 56.64, -135.98, 1.00, 3.67, 0.01126, -0.00246
405384, 1, 0.50, 0.50, -0.15, 0.63, 0.53, 136.48, 1.32, 52.80, 0.01, 60.00, 52.00, 0.53, 60.00, 48.00, 0.49, 60.00, 54.00, 0.56, 60.00, 30.00, 0.30, 56.79, -135.98, 1.00, 3.76, 0.01126, 0.00001
405397, 1, 0.50, 0.50, -0.12, 0.77, 0.56, 136.48, 1.32, 52.80, 0.01, 62.00, 56.00, 0.58, 62.00, 48.00, 0.51, 62.00, 60.00, 0.61, 62.00, 42.00, 0.42, 56.74, -135.98, 1.00, 3.85, 0.01126, 0.00090
405410, 1, 0.50, 0.50, -0.09, 0.99, 0.82, 136.48, 1.32, 52.80, 0.01, 62.00, 62.00, 0.63, 62.00, 62.00, 0.63, 62.00, 56.00, 0.58, 62.00, 56.00, 0.58, 56.76, -135.98, 1.00, 3.93, 0.01127, 0.00128
405424, 1, 0.50, 0.50, -0.19, 1.39, 1.14, 136.49, 1.32, 52.80, 0.01, 64.00, 60.00, 0.61, 64.00, 58.00, 0.58, 64.00, 62.00, 0.63, 64.00, 56.00, 0.56, 56.74, -135.99, 1.00, 4.01, 0.01127, 0.00126
405437, 1, 0.50, 0.50, -0.23, 1.48, 1.53, 136.49, 1.32, 52.80, 0.01, 64.00, 56.00, 0.56, 64.00, 68.00, 0.70, 64.00, 68.00, 0.70, 64.00, 56.00, 0.58, 56.48, -135.99, 1.00, 4.08, 0.01127, 0.00083
405450, 1, 0.50, 0.50, -0.16, 1.73, 2.39, 136.50, 1.32, 52.80, 0.01, 66.00, 60.00, 0.61, 66.00, 76.00, 0.77, 66.00, 66.00, 0.67, 66.00, 62.00, 0.63, 56.16, -136.00, 1.00, 4.14, 0.01127, 0.00045
405464, 1, 0.50, 0.50, -0.19, 1.77, 3.60, 136.50, 1.32, 52.80, 0.01, 66.00, 70.00, 0.70, 66.00, 80.00, 0.81, 66.00, 70.00, 0.60, 66.00, 62.00, 0.63, 55.77, -136.00, 1.00, 4.19, 0.01127, 0.00023
405491, 1, 0.50, 0.50, -0.17, 1.95, 5.52, 136.50, 1.32, 52.80, 0.01, 66.00, 58.00, 0.58, 66.00, 58.00, 0.58, 66.00, 56.00, 0.58, 66.00, 64.00, 0.65, 54.91, -136.00, 1.00, 4.21, 0.01127, -0.00003
405504, 1, 0.50, 0.50, -0.19, 1.97, 7.97, 136.51, 1.32, 52.80, 0.01, 66.00, 50.00, 0.51, 66.00, 58.00, 0.60, 66.00, 60.00, 0.61, 66.00, 72.00, 0.74, 53.70, -136.01, 1.00, 4.19, 0.01127, -0.00046
405517, 1, 0.50, 0.50, -0.17, 2.14, 10.75, 136.51, 1.32, 52.80, 0.01, 66.00, 40.00, 0.42, 66.00, 64.00, 0.65, 66.00, 62.00, 0.63, 66.00, 70.00, 0.72, 51.77, -136.01, 1.00, 4.15, 0.01127, -0.00025
405531, 1, 0.50, 0.50, -0.14, 2.30, 14.05, 136.51, 1.32, 52.80, 0.01, 64.00, 52.00, 0.54, 64.00, 62.00, 0.65, 64.00, 58.00, 0.60, 64.00, 66.00, 0.67, 49.32, -136.01, 1.00, 4.09, 0.01127, 0.00276
405544, 1, 0.50, 0.50, -0.13, 2.33, 17.37, 136.52, 1.32, 52.80, 0.01, 64.00, 54.00, 0.56, 64.00, 58.00, 0.60, 64.00, 46.00, 0.47, 64.00, 66.00, 0.68, 46.54, -136.02, 1.00, 4.01, 0.01124, 0.01013
405557, 1, 0.50, 0.50, -0.17, 2.26, 20.50, 136.52, 1.32, 52.80, 0.01, 62.00, 70.00, 0.72, 62.00, 56.00, 0.58, 62.00, 62.00, 0.63, 62.00, 64.00, 0.67, 43.25, -136.02, 1.00, 3.92, 0.01118, 0.02205
405570, 1, 0.50, 0.50, -0.20, 2.29, 24.07, 136.53, 1.32, 52.80, 0.01, 62.00, 56.00, 0.56, 62.00, 58.00, 0.58, 62.00, 60.00, 0.61, 62.00, 52.00, 0.54, 39.93, -136.03, 1.00, 3.84, 0.01109, 0.03787
405584, 1, 0.50, 0.50, -0.22, 2.28, 26.94, 136.53, 1.32, 52.80, 0.01, 60.00, 58.00, 0.60, 60.00, 60.00, 0.61, 60.00, 58.00, 0.60, 60.00, 68.00, 0.70, 36.79, -136.03, 1.00, 3.74, 0.01090, 0.05540
405597, 1, 0.50, 0.50, -0.20, 2.29, 29.24, 136.54, 1.32, 52.80, 0.01, 60.00, 58.00, 0.60, 60.00, 58.00, 0.60, 60.00, 60.00, 0.60, 60.00, 62.00, 0.63, 33.23, -136.04, 1.00, 3.66, 0.01071, 0.07337
405610, 1, 0.50, 0.50, -0.25, 2.16, 31.22, 136.54, 1.32, 52.80, 0.01, 60.00, 64.00, 0.65, 60.00, 58.00, 0.60, 60.00, 50.00, 0.51, 60.00, 54.00, 0.54, 30.35, -136.04, 1.00, 3.61, 0.01053, 0.09171
405624, 1, 0.50, 0.50, -0.21, 2.27, 32.71, 136.55, 1.32, 52.80, 0.01, 58.00, 60.00, 0.61, 58.00, 62.00, 0.63, 58.00, 62.00, 0.63, 58.00, 58.00, 0.60, 28.05, -136.05, 1.00, 3.57, 0.01036, 0.10968
405637, 1, 0.50, 0.50, -0.27, 2.20, 33.92, 136.55, 1.32, 52.80, 0.01, 58.00, 66.00, 0.67, 58.00, 62.00, 0.63, 58.00, 68.00, 0.68, 58.00, 60.00, 0.61, 26.08, -136.05, 1.00, 3.56, 0.01023, 0.12607
405650, 1, 0.50, 0.50, -0.35, 2.10, 35.20, 136.56, 1.32, 52.80, 0.01, 58.00, 62.00, 0.58, 58.00, 62.00, 0.65, 58.00, 56.00, 0.56, 58.00, 52.00, 0.53, 24.59, -136.06, 1.00, 3.55, 0.01014, 0.13883
405664, 1, 0.50, 0.50, -0.27, 1.98, 36.14, 136.56, 1.32, 52.80, 0.01, 58.00, 60.00, 0.61, 58.00, 56.00, 0.56, 58.00, 56.00, 0.58, 58.00, 52.00, 0.54, 23.38, -136.06, 1.00, 3.52, 0.01001, 0.14611
405677, 1, 0.50, 0.50, -0.21, 1.96, 37.22, 136.57, 1.32, 52.80, 0.01, 58.00, 58.00, 0.60, 58.00, 64.00, 0.65, 58.00, 60.00, 0.61, 58.00, 62.00, 0.63, 22.10, -136.07, 1.00, 3.52, 0.00995, 0.15076
405690, 1, 0.50, 0.50, -0.21, 2.02, 38.47, 136.57, 1.32, 52.80, 0.01, 58.00, 64.00, 0.65, 58.00, 58.00, 0.60, 58.00, 56.00, 0.56, 58.00, 62.00, 0.63, 21.15, -136.07, 1.00, 3.50, 0.00985, 0.15334
