timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
475410, 1, 0.50, 0.50, -0.84, -0.02, 60.84, 162.27, 1.32, 52.80, 0.01, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 0.00, -161.77, 1.00, 2.86, -0.00073, 0.00062
475444, 1, 0.50, 0.50, -0.58, 0.19, 46.08, 162.28, 1.32, 52.80, 0.01, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 57.30, -161.78, 1.00, -0.14, 0.00667, -0.05588
475452, 1, 0.50, 0.50, -0.34, 0.35, 25.79, 162.29, 1.32, 52.80, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -3.54, -161.79, 1.00, 0.59, 0.00362, -0.05043
475464, 1, 0.50, 0.50, -0.22, 0.42, 11.69, 162.29, 1.32, 52.80, 0.01, 38.00, 0.00, 0.00, 38.00, 0.00, 0.00, 38.00, 0.00, 0.00, 38.00, 0.00, 0.00, 11.21, -161.79, 1.00, 1.66, 0.00283, -0.00719
475477, 1, 0.50, 0.50, -0.18, 0.50, 5.63, 162.29, 1.32, 52.80, 0.01, 48.00, 0.00, 0.00, 48.00, 0.00, 0.00, 48.00, 0.00, 0.00, 48.00, 0.00, 0.00, 31.50, -161.79, 1.00, 2.62, 0.00815, 0.19228
475490, 1, 0.50, 0.50, -0.14, 0.55, 3.08, 162.30, 1.32, 52.80, 0.01, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 45.61, -161.80, 1.00, 3.33, 0.01279, 0.53186
475504, 1, 0.50, 0.50, -0.12, 0.56, 1.96, 162.30, 1.32, 52.80, 0.01, 58.00, 0.00, 0.00, 58.00, 0.00, 0.00, 58.00, 24.00, 0.25, 58.00, 0.00, 0.00, 51.66, -161.80, 1.00, 3.52, 0.01493, 0.51413
475517, 1, 0.50, 0.50, -0.10, 0.58, 1.32, 162.30, 1.32, 52.80, 0.01, 56.00, 0.00, 0.00, 56.00, 0.00, 0.00, 56.00, 38.00, 0.39, 56.00, 0.00, 0.00, 54.21, -161.80, 1.00, 3.32, 0.01542, 0.18050
475530, 1, 0.50, 0.50, -0.09, 0.60, 0.95, 162.31, 1.32, 52.80, 0.01, 54.00, 4.00, 0.04, 54.00, 0.00, 0.00, 54.00, 46.00, 0.46, 54.00, 0.00, 0.00, 55.34, -161.81, 1.00, 3.19, 0.01527, -0.06368
475544, 1, 0.50, 0.50, -0.07, 0.59, 0.69, 162.31, 1.32, 52.80, 0.01, 56.00, 20.00, 0.21, 56.00, 0.00, 0.00, 56.00, 48.00, 0.49, 56.00, 0.00, 0.00, 55.98, -161.81, 1.00, 3.28, 0.01510, -0.08191
475557, 1, 0.50, 0.50, -0.06, 0.59, 0.52, 162.31, 1.32, 52.80, 0.01, 58.00, 38.00, 0.39, 58.00, 14.00, 0.14, 58.00, 58.00, 0.54, 58.00, 0.00, 0.00, 56.35, -161.81, 1.00, 3.42, 0.01501, -0.04380
475570, 1, 0.50, 0.50, -0.08, 0.66, 0.40, 162.31, 1.32, 52.80, 0.01, 58.00, 46.00, 0.47, 58.00, 34.00, 0.35, 58.00, 52.00, 0.53, 58.00, 14.00, 0.16, 56.61, -161.81, 1.00, 3.54, 0.01498, -0.01525
475584, 1, 0.50, 0.50, -0.06, 0.61, 0.30, 162.32, 1.32, 52.80, 0.01, 60.00, 50.00, 0.53, 60.00, 48.00, 0.51, 60.00, 56.00, 0.58, 60.00, 32.00, 0.33, 56.77, -161.82, 1.00, 3.65, 0.01498, -0.00344
475597, 1, 0.50, 0.50, -0.10, 0.66, 0.27, 162.32, 1.32, 52.80, 0.01, 60.00, 54.00, 0.54, 60.00, 46.00, 0.47, 60.00, 62.00, 0.63, 60.00, 46.00, 0.42, 56.90, -161.82, 1.00, 3.74, 0.01498, 0.00029
475625, 1, 0.50, 0.50, -0.10, 0.74, 0.60, 162.32, 1.32, 52.80, 0.01, 62.00, 60.00, 0.61, 62.00, 56.00, 0.56, 62.00, 64.00, 0.67, 62.00, 56.00, 0.53, 56.99, -161.82, 1.00, 3.83, 0.01498, 0.00110
475637, 1, 0.50, 0.50, -0.12, 0.88, 0.94, 162.33, 1.32, 52.80, 0.01, 62.00, 64.00, 0.65, 62.00, 62.00, 0.63, 62.00, 68.00, 0.70, 62.00, 60.00, 0.61, 57.03, -161.83, 1.00, 3.90, 0.01498, 0.00037
475650, 1, 0.50, 0.50, -0.08, 1.08, 1.24, 162.33, 1.32, 52.80, 0.01, 64.00, 60.00, 0.60, 64.00, 60.00, 0.61, 64.00, 60.00, 0.60, 64.00, 60.00, 0.61, 56.70, -161.83, 1.00, 3.97, 0.01498, -0.00122
475665, 1, 0.50, 0.50, -0.09, 1.20, 1.75, 162.33, 1.32, 52.80, 0.01, 64.00, 56.00, 0.56, 64.00, 64.00, 0.67, 64.00, 60.00, 0.61, 64.00, 52.00, 0.54, 56.36, -161.83, 1.00, 4.04, 0.01498, -0.00208
475677, 1, 0.50, 0.50, -0.11, 1.39, 2.30, 162.34, 1.32, 52.80, 0.01, 64.00, 68.00, 0.70, 64.00, 68.00, 0.70, 64.00, 60.00, 0.61, 64.00, 58.00, 0.58, 56.06, -161.84, 1.00, 4.10, 0.01497, -0.00105
475690, 1, 0.50, 0.50, -0.10, 1.61, 2.92, 162.35, 1.32, 52.80, 0.01, 66.00, 42.00, 0.42, 66.00, 66.00, 0.67, 66.00, 58.00, 0.60, 66.00, 60.00, 0.61, 55.54, -161.85, 1.00, 4.16, 0.01498, 0.00153
475704, 1, 0.50, 0.50, -0.10, 1.66, 3.93, 162.35, 1.32, 52.80, 0.01, 66.00, 50.00, 0.51, 66.00, 58.00, 0.60, 66.00, 64.00, 0.65, 66.00, 62.00, 0.63, 54.99, -161.85, 1.00, 4.22, 0.01498, 0.00447
475717, 1, 0.50, 0.50, -0.08, 1.89, 5.17, 162.36, 1.32, 52.80, 0.01, 66.00, 62.00, 0.63, 66.00, 60.00, 0.61, 66.00, 64.00, 0.67, 66.00, 58.00, 0.60, 54.38, -161.86, 1.00, 4.25, 0.01499, 0.00673
475730, 1, 0.50, 0.50, -0.11, 1.87, 6.69, 162.36, 1.32, 52.80, 0.01, 66.00, 60.00, 0.61, 66.00, 64.00, 0.65, 66.00, 64.00, 0.67, 66.00, 60.00, 0.61, 53.36, -161.86, 1.00, 4.28, 0.01499, 0.00850
475744, 1, 0.50, 0.50, -0.14, 1.89, 8.33, 162.37, 1.32, 52.80, 0.01, 66.00, 64.00, 0.67, 66.00, 60.00, 0.61, 66.00, 62.00, 0.63, 66.00, 66.00, 0.67, 52.13, -161.87, 1.00, 4.28, 0.01499, 0.01085
475757, 1, 0.50, 0.50, -0.07, 1.89, 10.03, 162.38, 1.32, 52.80, 0.01, 66.00, 64.00, 0.65, 66.00, 64.00, 0.65, 66.00, 52.00, 0.53, 66.00, 64.00, 0.65, 50.61, -161.88, 1.00, 4.28, 0.01499, 0.01517
475770, 1, 0.50, 0.50, 0.02, 2.01, 12.18, 162.38, 1.32, 52.80, 0.01, 66.00, 58.00, 0.60, 66.00, 72.00, 0.74, 66.00, 56.00, 0.58, 66.00, 62.00, 0.65, 48.97, -161.88, 1.00, 4.28, 0.01498, 0.02272
475784, 1, 0.50, 0.50, -0.12, 2.18, 14.28, 162.39, 1.32, 52.80, 0.01, 66.00, 58.00, 0.60, 66.00, 76.00, 0.77, 66.00, 64.00, 0.65, 66.00, 70.00, 0.72, 47.26, -161.89, 1.00, 4.26, 0.01496, 0.03281
475797, 1, 0.50, 0.50, -0.05, 2.09, 16.22, 162.39, 1.32, 52.80, 0.01, 66.00, 46.00, 0.46, 66.00, 62.00, 0.63, 66.00, 64.00, 0.65, 66.00, 66.00, 0.68, 45.12, -161.89, 1.00, 4.23, 0.01493, 0.04404
475810, 1, 0.50, 0.50, -0.19, 2.10, 18.79, 162.40, 1.32, 52.80, 0.01, 66.00, 66.00, 0.68, 66.00, 66.00, 0.67, 66.00, 62.00, 0.65, 66.00, 68.00, 0.68, 43.02, -161.90, 1.00, 4.21, 0.01489, 0.05652
475824, 1, 0.50, 0.50, -0.16, 2.22, 21.53, 162.41, 1.32, 52.80, 0.01, 66.00, 68.00, 0.70, 66.00, 66.00, 0.67, 66.00, 60.00, 0.61, 66.00, 70.00, 0.72, 41.07, -161.91, 1.00, 4.16, 0.01480, 0.06968
475837, 1, 0.50, 0.50, -0.35, 2.18, 24.05, 162.42, 1.32, 52.80, 0.01, 64.00, 64.00, 0.65, 64.00, 64.00, 0.65, 64.00, 64.00, 0.67, 64.00, 66.00, 0.67, 38.51, -161.92, 1.00, 4.10, 0.01467, 0.08229
475850, 1, 0.50, 0.50, -0.25, 2.17, 25.84, 162.43, 1.32, 52.80, 0.01, 64.00, 64.00, 0.65, 64.00, 60.00, 0.61, 64.00, 62.00, 0.63, 64.00, 76.00, 0.77, 35.76, -161.93, 1.00, 4.04, 0.01453, 0.09507
475864, 1, 0.50, 0.50, -0.26, 2.17, 28.16, 162.44, 1.32, 52.80, 0.01, 64.00, 62.00, 0.63, 64.00, 66.00, 0.67, 64.00, 64.00, 0.65, 64.00, 66.00, 0.68, 33.24, -161.94, 1.00, 4.02, 0.01444, 0.11146
475877, 1, 0.50, 0.50, -0.30, 2.11, 30.39, 162.45, 1.32, 52.80, 0.01, 64.00, 64.00, 0.67, 64.00, 70.00, 0.72, 64.00, 62.00, 0.63, 64.00, 70.00, 0.72, 31.46, -161.95, 1.00, 3.97, 0.01426, 0.13019
475890, 1, 0.50, 0.50, -0.20, 2.10, 32.38, 162.46, 1.32, 52.80, 0.01, 62.00, 64.00, 0.65, 62.00, 58.00, 0.60, 62.00, 64.00, 0.65, 62.00, 70.00, 0.72, 29.13, -161.96, 1.00, 3.92, 0.01405, 0.14723
475917, 1, 0.50, 0.50, -0.39, 2.07, 35.00, 162.47, 1.32, 52.80, 0.01, 62.00, 58.00, 0.60, 62.00, 58.00, 0.58, 62.00, 60.00, 0.61, 62.00, 66.00, 0.67, 26.90, -161.97, 1.00, 3.87, 0.01385, 0.15950
475930, 1, 0.50, 0.50, -0.14, 2.02, 37.36, 162.47, 1.32, 52.80, 0.01, 62.00, 60.00, 0.61, 62.00, 66.00, 0.68, 62.00, 68.00, 0.68, 62.00, 62.00, 0.65, 24.92, -161.97, 1.00, 3.79, 0.01351, 0.16611
475944, 1, 0.50, 0.50, -0.23, 1.95, 39.98, 162.48, 1.32, 52.80, 0.01, 60.00, 60.00, 0.61, 60.00, 76.00, 0.77, 60.00, 64.00, 0.67, 60.00, 56.00, 0.58, 22.30, -161.98, 1.00, 3.71, 0.01318, 0.17244
475959, 1, 0.50, 0.50, -0.35, 2.06, 42.35, 162.49, 1.32, 52.80, 0.01, 60.00, 58.00, 0.58, 60.00, 54.00, 0.54, 60.00, 60.00, 0.61, 60.00, 54.00, 0.54, 19.93, -161.99, 1.00, 3.61, 0.01276, 0.17857
475970, 1, 0.50, 0.50, -0.31, 1.89, 44.32, 162.50, 1.32, 52.80, 0.01, 58.00, 58.00, 0.58, 58.00, 46.00, 0.47, 58.00, 62.00, 0.63, 58.00, 58.00, 0.60, 17.31, -162.00, 1.00, 3.53, 0.01234, 0.18583
