timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
250258, 3, 0.50, 0.50, -1.11, -0.52, 46.59, 18.03, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.08, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 0.00, -17.53, 1.00, 0.19, -0.00004, 0.00002
250283, 3, 0.50, 0.50, -0.93, -0.45, 39.07, 18.05, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.08, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 57.30, -17.55, 1.00, 0.04, 0.00024, -0.00155
250291, 3, 0.50, 0.50, -0.81, -0.39, 27.26, 18.06, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.08, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 10.70, -17.56, 1.00, 0.07, 0.00015, -0.00169
250304, 3, 0.50, 0.50, -0.73, -0.34, 15.70, 18.07, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.08, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 18.23, -17.57, 1.00, 0.11, 0.00011, -0.00037
250312, 3, 0.50, 0.50, -0.67, -0.31, 8.43, 18.08, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.08, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 30.04, -17.58, 1.00, 0.16, 0.00032, 0.00534
250324, 3, 0.50, 0.50, -0.63, -0.28, 4.84, 18.09, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.08, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 41.60, -17.59, 1.00, 0.21, 0.00063, 0.02049
250338, 3, 0.50, 0.50, -0.60, -0.26, 3.03, 18.10, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.08, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 48.86, -17.60, 1.00, 0.23, 0.00081, 0.02488
250351, 3, 0.50, 0.50, -0.59, -0.24, 2.03, 18.10, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.08, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 52.45, -17.60, 1.00, 0.24, 0.00088, 0.01301
250364, 3, 0.50, 0.50, -0.57, -0.22, 1.48, 18.11, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.08, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 54.27, -17.61, 1.00, 0.24, 0.00089, 0.00112
250391, 3, 0.50, 0.50, -0.56, -0.21, 1.13, 18.12, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.08, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 55.27, -17.62, 1.00, 0.25, 0.00088, -0.00208
