timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
282284, 3, 0.50, 0.50, -0.86, -0.05, 49.16, 36.29, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 5.96, -35.79, 1.00, 0.01, 0.01046, -0.00720
282311, 3, 0.50, 0.50, -0.78, -0.06, 43.58, 36.30, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 5.82, -35.80, 1.00, -0.04, 0.01045, -0.07159
282319, 3, 0.50, 0.50, -0.72, -0.07, 33.15, 36.31, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 8.13, -35.81, 1.00, -0.08, 0.01037, -0.12699
282327, 3, 0.50, 0.50, -0.68, -0.08, 20.49, 36.32, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 13.72, -35.82, 1.00, 0.04, 0.01032, -0.04722
282339, 3, 0.50, 0.50, -0.65, -0.08, 11.05, 36.32, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 24.14, -35.82, 1.00, 0.31, 0.01055, 0.17621
282351, 3, 0.50, 0.50, -0.63, -0.09, 6.06, 36.33, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 36.80, -35.83, 1.00, 0.55, 0.01095, 0.38429
282364, 3, 0.50, 0.50, -0.61, -0.09, 3.65, 36.34, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 46.24, -35.84, 1.00, 0.58, 0.01120, 0.39088
282378, 3, 0.50, 0.50, -0.60, -0.09, 2.39, 36.35, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 51.23, -35.85, 1.00, 0.42, 0.01130, 0.21579
282391, 3, 0.50, 0.50, -0.59, -0.10, 1.68, 36.36, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 53.65, -35.86, 1.00, 0.27, 0.01131, 0.04374
282418, 3, 0.50, 0.50, -0.59, -0.10, 1.24, 36.36, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 54.91, -35.86, 1.00, 0.21, 0.01131, -0.01959
282431, 3, 0.50, 0.50, -0.58, -0.10, 0.93, 36.37, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 55.61, -35.87, 1.00, 0.22, 0.01130, -0.02932
282444, 3, 0.50, 0.50, -0.58, -0.10, 0.74, 36.38, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 56.06, -35.88, 1.00, 0.24, 0.01129, -0.01789
282458, 3, 0.50, 0.50, -0.57, -0.10, 0.60, 36.39, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 56.36, -35.89, 1.00, 0.26, 0.01129, -0.00655
282471, 3, 0.50, 0.50, -0.57, -0.10, 0.47, 36.40, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 56.55, -35.90, 1.00, 0.28, 0.01129, -0.00088
282484, 3, 0.50, 0.50, -0.56, -0.11, 0.39, 36.40, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 56.70, -35.90, 1.00, 0.29, 0.01129, 0.00123
282498, 3, 0.50, 0.50, -0.56, -0.11, 0.32, 36.41, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 56.83, -35.91, 1.00, 0.30, 0.01129, 0.00187
282511, 3, 0.50, 0.50, -0.56, -0.11, 0.26, 36.42, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 56.91, -35.92, 1.00, 0.31, 0.01129, 0.00194
282524, 3, 0.50, 0.50, -0.56, -0.11, 0.21, 36.43, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 56.98, -35.93, 1.00, 0.32, 0.01129, 0.00177
282538, 3, 0.50, 0.50, -0.55, -0.11, 0.17, 36.43, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 57.04, -35.93, 1.00, 0.33, 0.01129, 0.00153
282551, 3, 0.50, 0.50, -0.55, -0.11, 0.13, 36.44, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 57.09, -35.94, 1.00, 0.34, 0.01129, 0.00132
282564, 3, 0.50, 0.50, -0.55, -0.11, 0.10, 36.45, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 57.12, -35.95, 1.00, 0.35, 0.01129, 0.00114
282578, 3, 0.50, 0.50, -0.55, -0.11, 0.07, 36.46, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 57.16, -35.96, 1.00, 0.36, 0.01130, 0.00096
282591, 3, 0.50, 0.50, -0.54, -0.11, 0.05, 36.46, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 57.20, -35.96, 1.00, 0.37, 0.01130, 0.00079
282604, 3, 0.50, 0.50, -0.54, -0.11, 0.03, 36.47, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 57.23, -35.97, 1.00, 0.38, 0.01130, 0.00064
282618, 3, 0.50, 0.50, -0.54, -0.11, 0.01, 36.48, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 57.25, -35.98, 1.00, 0.39, 0.01130, 0.00047
282631, 3, 0.50, 0.50, -0.54, -0.11, -0.01, 36.49, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.00, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 57.27, -35.99, 1.00, 0.40, 0.01130, 0.00031
282644, 3, 0.50, 0.50, -0.54, -0.11, -0.02, 36.49, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.14, 0.61, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 57.28, -35.99, 1.00, 0.41, 0.01130, 0.00018
282658, 3, 0.50, 0.50, -0.53, -0.11, -0.03, 36.50, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.10, 1.88, 0.39, 0.08, 0.00, 0.56, 0.11, 0.00, 57.30, -36.00, 1.00, 0.42, 0.01130, 0.00008
282671, 3, 0.50, 0.50, -0.55, -0.09, 0.04, 36.51, 1.32, 52.80, 0.01, 0.48, 0.13, 0.00, 0.63, 0.31, 2.16, 0.39, 0.08, 0.00, 0.56, 0.11, 0.11, 57.30, -36.01, 1.00, 0.43, 0.01130, -0.00003
