timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
314378, 3, 0.50, 0.50, -0.86, -0.39, 48.20, 54.59, 1.32, 52.80, 0.01, 0.48, 0.08, 0.00, 0.63, 0.06, 0.00, 0.39, 0.08, 0.00, 0.56, 0.10, 0.00, 4.76, -54.09, 1.00, 0.00, 0.02096, -0.01414
314405, 3, 0.50, 0.50, -0.81, -0.35, 39.51, 54.60, 1.32, 52.80, 0.01, 0.48, 0.08, 0.00, 0.63, 0.06, 0.00, 0.39, 0.08, 0.00, 0.56, 0.10, 0.00, 5.11, -54.10, 1.00, -0.11, 0.02093, -0.13972
314418, 3, 0.50, 0.50, -0.76, -0.31, 26.41, 54.61, 1.32, 52.80, 0.01, 0.48, 0.08, 0.00, 0.63, 0.06, 0.00, 0.39, 0.08, 0.00, 0.56, 0.10, 0.00, 9.09, -54.11, 1.00, -0.18, 0.02083, -0.23973
314431, 3, 0.50, 0.50, -0.72, -0.29, 14.51, 54.62, 1.32, 52.80, 0.01, 0.48, 0.08, 0.00, 0.63, 0.06, 0.00, 0.39, 0.08, 0.00, 0.56, 0.10, 0.00, 17.78, -54.12, 1.00, 0.04, 0.02078, -0.06702
314444, 3, 0.50, 0.50, -0.68, -0.27, 7.62, 54.63, 1.32, 52.80, 0.01, 0.48, 0.08, 0.00, 0.63, 0.06, 0.00, 0.39, 0.08, 0.00, 0.56, 0.10, 0.00, 30.89, -54.13, 1.00, 0.52, 0.02102, 0.36875
314472, 3, 0.50, 0.50, -0.66, -0.25, 4.35, 54.64, 1.32, 52.80, 0.01, 0.48, 0.08, 0.00, 0.63, 0.06, 0.00, 0.39, 0.08, 0.00, 0.56, 0.10, 0.00, 42.79, -54.14, 1.00, 0.90, 0.02132, 0.71756
314484, 3, 0.50, 0.50, -0.63, -0.24, 2.71, 54.65, 1.32, 52.80, 0.01, 0.48, 0.08, 0.00, 0.63, 0.06, 0.00, 0.39, 0.08, 0.00, 0.56, 0.10, 0.00, 49.67, -54.15, 1.00, 0.86, 0.02150, 0.65894
314498, 3, 0.50, 0.50, -0.62, -0.23, 1.84, 54.66, 1.32, 52.80, 0.01, 0.48, 0.08, 0.00, 0.63, 0.06, 0.00, 0.39, 0.08, 0.00, 0.56, 0.10, 0.00, 52.94, -54.16, 1.00, 0.51, 0.02156, 0.29874
314512, 3, 0.50, 0.50, -0.60, -0.22, 1.34, 54.67, 1.32, 52.80, 0.01, 0.48, 0.08, 0.00, 0.63, 0.06, 0.00, 0.39, 0.08, 0.00, 0.56, 0.10, 0.00, 54.58, -54.17, 1.00, 0.23, 0.02156, 0.00328
314524, 3, 0.50, 0.50, -0.59, -0.21, 1.00, 54.67, 1.32, 52.80, 0.01, 0.48, 0.08, 0.00, 0.63, 0.06, 0.00, 0.39, 0.08, 0.00, 0.56, 0.10, 0.00, 55.45, -54.17, 1.00, 0.18, 0.02155, -0.06392
