timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
342484, 3, 0.50, 0.50, -1.08, -0.36, 48.76, 71.98, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 4.07, -71.48, 1.00, -0.01, 0.03110, -0.02123
342512, 3, 0.50, 0.50, -0.95, -0.32, 39.31, 71.99, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 4.15, -71.49, 1.00, -0.18, 0.03107, -0.20949
342524, 3, 0.50, 0.50, -0.85, -0.29, 25.61, 72.01, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 8.54, -71.51, 1.00, -0.30, 0.03096, -0.35734
342538, 3, 0.50, 0.50, -0.77, -0.27, 13.81, 72.02, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 17.99, -71.52, 1.00, 0.02, 0.03091, -0.09353
342551, 3, 0.50, 0.50, -0.72, -0.25, 7.19, 72.03, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 31.69, -71.53, 1.00, 0.71, 0.03115, 0.55859
342564, 3, 0.50, 0.50, -0.68, -0.24, 4.09, 72.04, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 43.49, -71.54, 1.00, 1.25, 0.03145, 1.06450
342578, 3, 0.50, 0.50, -0.65, -0.23, 2.58, 72.04, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 50.11, -71.54, 1.00, 1.16, 0.03162, 0.95936
342605, 3, 0.50, 0.50, -0.62, -0.22, 1.76, 72.05, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 53.20, -71.55, 1.00, 0.63, 0.03168, 0.41792
342618, 3, 0.50, 0.50, -0.60, -0.21, 1.27, 72.06, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 54.71, -71.56, 1.00, 0.22, 0.03168, -0.01316
342632, 3, 0.50, 0.50, -0.59, -0.21, 0.96, 72.07, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 55.54, -71.57, 1.00, 0.14, 0.03166, -0.10085
342644, 3, 0.50, 0.50, -0.58, -0.20, 0.74, 72.08, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 56.03, -71.58, 1.00, 0.18, 0.03166, -0.07279
342658, 3, 0.50, 0.50, -0.57, -0.20, 0.58, 72.09, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 56.34, -71.59, 1.00, 0.23, 0.03165, -0.03135
342671, 3, 0.50, 0.50, -0.56, -0.20, 0.46, 72.09, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 56.56, -71.59, 1.00, 0.26, 0.03165, -0.00782
342684, 3, 0.50, 0.50, -0.55, -0.19, 0.36, 72.10, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 56.71, -71.60, 1.00, 0.28, 0.03165, 0.00139
342698, 3, 0.50, 0.50, -0.55, -0.19, 0.28, 72.11, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 56.84, -71.61, 1.00, 0.30, 0.03165, 0.00433
342711, 3, 0.50, 0.50, -0.55, -0.19, 0.22, 72.12, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 56.93, -71.62, 1.00, 0.31, 0.03165, 0.00495
342724, 3, 0.50, 0.50, -0.54, -0.18, 0.17, 72.12, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 57.02, -71.62, 1.00, 0.32, 0.03165, 0.00467
342738, 3, 0.50, 0.50, -0.54, -0.18, 0.13, 72.13, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 57.08, -71.63, 1.00, 0.33, 0.03165, 0.00401
342751, 3, 0.50, 0.50, -0.54, -0.18, 0.09, 72.14, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 57.13, -71.64, 1.00, 0.34, 0.03166, 0.00321
342764, 3, 0.50, 0.50, -0.53, -0.18, 0.06, 72.15, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 57.16, -71.65, 1.00, 0.35, 0.03166, 0.00246
342778, 3, 0.50, 0.50, -0.53, -0.18, 0.04, 72.15, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 57.20, -71.65, 1.00, 0.36, 0.03166, 0.00193
342791, 3, 0.50, 0.50, -0.53, -0.18, 0.01, 72.16, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 57.24, -71.66, 1.00, 0.37, 0.03166, 0.00155
342804, 3, 0.50, 0.50, -0.53, -0.18, -0.01, 72.17, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 57.26, -71.67, 1.00, 0.37, 0.03166, 0.00117
342818, 3, 0.50, 0.50, -0.53, -0.17, -0.03, 72.18, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 57.28, -71.68, 1.00, 0.38, 0.03166, 0.00072
342831, 3, 0.50, 0.50, -0.53, -0.17, -0.05, 72.18, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.13, 0.14, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 57.30, -71.68, 1.00, 0.39, 0.03166, 0.00023
342844, 3, 0.50, 0.50, -0.53, -0.18, -0.06, 72.19, 1.32, 52.80, 0.01, 0.48, 0.10, 0.00, 0.63, 0.10, 1.46, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 57.30, -71.69, 1.00, 0.40, 0.03166, -0.00018
