timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
370591, 3, 0.50, 0.50, -0.82, -0.49, 48.51, 90.16, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.11, 0.00, 0.56, 0.13, 0.00, 4.22, -89.66, 1.00, -0.01, 0.04182, -0.02840
370622, 3, 0.50, 0.50, -0.76, -0.40, 38.65, 90.17, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.11, 0.00, 0.56, 0.13, 0.00, 4.13, -89.67, 1.00, -0.25, 0.04179, -0.28007
370631, 3, 0.50, 0.50, -0.71, -0.33, 24.79, 90.18, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.11, 0.00, 0.56, 0.13, 0.00, 8.78, -89.68, 1.00, -0.41, 0.04167, -0.47577
370644, 3, 0.50, 0.50, -0.68, -0.29, 13.27, 90.19, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.11, 0.00, 0.56, 0.13, 0.00, 18.64, -89.69, 1.00, -0.01, 0.04163, -0.11897
370658, 3, 0.50, 0.50, -0.65, -0.26, 6.98, 90.20, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.11, 0.00, 0.56, 0.13, 0.00, 32.51, -89.70, 1.00, 0.91, 0.04186, 0.75103
370671, 3, 0.50, 0.50, -0.62, -0.24, 4.00, 90.21, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.11, 0.00, 0.56, 0.13, 0.00, 44.02, -89.71, 1.00, 1.60, 0.04215, 1.41231
370684, 3, 0.50, 0.50, -0.60, -0.22, 2.52, 90.22, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.11, 0.00, 0.56, 0.13, 0.00, 50.32, -89.72, 1.00, 1.46, 0.04231, 1.25780
370698, 3, 0.50, 0.50, -0.59, -0.21, 1.71, 90.22, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.11, 0.00, 0.56, 0.13, 0.00, 53.29, -89.72, 1.00, 0.75, 0.04237, 0.53502
370711, 3, 0.50, 0.50, -0.58, -0.20, 1.21, 90.23, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.11, 0.00, 0.56, 0.13, 0.00, 54.78, -89.73, 1.00, 0.20, 0.04237, -0.02845
370724, 3, 0.50, 0.50, -0.57, -0.19, 0.89, 90.24, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.11, 0.00, 0.56, 0.13, 0.00, 55.59, -89.74, 1.00, 0.11, 0.04235, -0.13382
