timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
109372, 4, 0.50, 0.50, -0.50, -0.09, -0.28, 0.01, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 0.00, 0.49, 1.00, 0.19, 0.00000, 0.00000
109502, 4, 0.50, 0.50, -0.50, -0.09, -0.29, 0.01, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.49, 1.00, 0.20, 0.00000, 0.00000
109518, 4, 0.50, 0.50, -0.50, -0.10, -0.30, 0.02, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.48, 1.00, 0.21, 0.00000, 0.00000
109525, 4, 0.50, 0.50, -0.50, -0.09, -0.30, 0.03, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.47, 1.00, 0.22, 0.00000, 0.00000
109542, 4, 0.50, 0.50, -0.50, -0.09, -0.30, 0.03, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.47, 1.00, 0.23, 0.00000, 0.00000
109550, 4, 0.50, 0.50, -0.50, -0.09, -0.29, 0.04, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.46, 1.00, 0.24, 0.00000, 0.00000
109559, 4, 0.50, 0.50, -0.51, -0.09, -0.27, 0.05, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.45, 1.00, 0.25, 0.00000, 0.00000
109576, 4, 0.50, 0.50, -0.51, -0.10, -0.28, 0.05, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.45, 1.00, 0.26, 0.00000, 0.00000
109586, 4, 0.50, 0.50, -0.51, -0.10, -0.28, 0.06, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.44, 1.00, 0.27, 0.00000, 0.00000
109599, 4, 0.50, 0.50, -0.51, -0.10, -0.28, 0.07, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.43, 1.00, 0.28, 0.00000, 0.00000
109615, 4, 0.50, 0.50, -0.51, -0.10, -0.29, 0.08, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.42, 1.00, 0.29, 0.00000, 0.00000
109626, 4, 0.50, 0.50, -0.51, -0.10, -0.29, 0.08, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.42, 1.00, 0.30, 0.00000, 0.00000
109641, 4, 0.50, 0.50, -0.51, -0.10, -0.29, 0.09, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.41, 1.00, 0.31, 0.00000, 0.00000
109652, 4, 0.50, 0.50, -0.51, -0.10, -0.29, 0.10, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.40, 1.00, 0.32, 0.00000, 0.00000
109666, 4, 0.50, 0.50, -0.51, -0.10, -0.29, 0.10, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.40, 1.00, 0.33, 0.00000, 0.00000
109682, 4, 0.50, 0.50, -0.51, -0.10, -0.29, 0.11, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.39, 1.00, 0.34, 0.00000, 0.00000
109692, 4, 0.50, 0.50, -0.51, -0.10, -0.29, 0.12, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.38, 1.00, 0.35, 0.00000, 0.00000
109706, 4, 0.50, 0.50, -0.51, -0.10, -0.29, 0.12, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.38, 1.00, 0.36, 0.00000, 0.00000
109722, 4, 0.50, 0.50, -0.50, -0.10, -0.29, 0.13, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.37, 1.00, 0.37, 0.00000, 0.00000
109732, 4, 0.50, 0.50, -0.50, -0.10, -0.29, 0.14, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.36, 1.00, 0.38, 0.00000, 0.00000
109746, 4, 0.50, 0.50, -0.50, -0.10, -0.29, 0.14, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.36, 1.00, 0.39, 0.00000, 0.00000
109781, 4, 0.50, 0.50, -0.50, -0.10, -0.29, 0.15, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.35, 1.00, 0.40, 0.00000, 0.00000
109788, 4, 0.50, 0.50, -0.50, -0.10, -0.29, 0.16, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.34, 1.00, 0.41, 0.00000, 0.00000
109805, 4, 0.50, 0.50, -0.50, -0.10, -0.29, 0.16, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, 0.34, 1.00, 0.42, 0.00000, 0.00000
