timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
155159, 4, 0.50, 0.50, -1.02, -0.20, 62.93, 23.97, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -9.52, -23.47, 1.00, -0.00, -0.02970, 0.02616
155196, 4, 0.50, 0.50, -0.94, -0.19, 52.73, 23.98, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -9.43, -23.48, 1.00, 0.24, -0.02972, 0.25951
155208, 4, 0.50, 0.50, -0.87, -0.18, 34.46, 23.99, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -5.64, -23.49, 1.00, 0.47, -0.02987, 0.45320
155216, 4, 0.50, 0.50, -0.81, -0.18, 17.10, 24.00, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 4.57, -23.50, 1.00, 0.20, -0.02995, 0.12959
155227, 4, 0.50, 0.50, -0.75, -0.17, 7.91, 24.01, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 22.84, -23.51, 1.00, -0.55, -0.02953, -0.68786
155239, 4, 0.50, 0.50, -0.71, -0.17, 4.12, 24.02, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 40.20, -23.52, 1.00, -1.13, -0.02902, -1.30290
155252, 4, 0.50, 0.50, -0.68, -0.17, 2.47, 24.03, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 49.39, -23.53, 1.00, -0.98, -0.02877, -1.17123
155266, 4, 0.50, 0.50, -0.65, -0.17, 1.63, 24.04, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 53.18, -23.54, 1.00, -0.30, -0.02869, -0.50567
155279, 4, 0.50, 0.50, -0.63, -0.17, 1.16, 24.05, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 54.83, -23.55, 1.00, 0.26, -0.02869, 0.03916
155292, 4, 0.50, 0.50, -0.61, -0.17, 0.87, 24.06, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 55.67, -23.56, 1.00, 0.39, -0.02871, 0.15912
155319, 4, 0.50, 0.50, -0.60, -0.16, 0.66, 24.07, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 56.13, -23.57, 1.00, 0.36, -0.02873, 0.11410
155332, 4, 0.50, 0.50, -0.59, -0.16, 0.50, 24.07, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 56.43, -23.57, 1.00, 0.30, -0.02873, 0.04896
155346, 4, 0.50, 0.50, -0.58, -0.16, 0.40, 24.08, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 56.64, -23.58, 1.00, 0.28, -0.02873, 0.01381
155359, 4, 0.50, 0.50, -0.58, -0.16, 0.31, 24.09, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 4.00, 0.05, 26.00, 0.00, 0.00, 56.79, -23.59, 1.00, 0.27, -0.02873, 0.00101
155372, 4, 0.50, 0.50, -0.57, -0.16, 0.24, 24.10, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 10.00, 0.11, 26.00, 0.00, 0.00, 56.90, -23.60, 1.00, 0.28, -0.02873, -0.00279
155386, 4, 0.50, 0.50, -0.56, -0.16, 0.19, 24.11, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 16.00, 0.16, 26.00, 0.00, 0.00, 56.99, -23.61, 1.00, 0.29, -0.02873, -0.00353
