timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
200439, 4, 0.50, 0.50, -1.24, -0.09, 64.46, 46.24, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -10.37, -45.74, 1.00, 0.01, -0.04760, 0.04296
200464, 4, 0.50, 0.50, -1.11, -0.09, 55.65, 46.26, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -10.29, -45.76, 1.00, 0.40, -0.04763, 0.42697
200475, 4, 0.50, 0.50, -0.99, -0.09, 38.27, 46.27, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -7.16, -45.77, 1.00, 0.76, -0.04776, 0.75405
200483, 4, 0.50, 0.50, -0.88, -0.10, 19.66, 46.28, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 1.64, -45.78, 1.00, 0.30, -0.04784, 0.24152
200495, 4, 0.50, 0.50, -0.79, -0.10, 9.00, 46.29, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 19.03, -45.79, 1.00, -0.98, -0.04739, -1.10807
200506, 4, 0.50, 0.50, -0.73, -0.10, 4.58, 46.30, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 37.63, -45.80, 1.00, -2.01, -0.04681, -2.17885
200519, 4, 0.50, 0.50, -0.68, -0.10, 2.68, 46.31, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 48.30, -45.81, 1.00, -1.84, -0.04651, -2.02542
200532, 4, 0.50, 0.50, -0.64, -0.10, 1.75, 46.32, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 52.71, -45.82, 1.00, -0.74, -0.04642, -0.93908
200546, 4, 0.50, 0.50, -0.62, -0.10, 1.23, 46.33, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 54.61, -45.83, 1.00, 0.22, -0.04642, 0.00462
200559, 4, 0.50, 0.50, -0.60, -0.10, 0.89, 46.34, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 55.55, -45.84, 1.00, 0.49, -0.04644, 0.25724
