timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
225799, 4, 0.50, 0.50, -0.96, -0.11, 58.11, 67.32, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -5.25, -66.82, 1.00, 0.03, -0.06009, 0.04889
225826, 4, 0.50, 0.50, -0.88, -0.12, 47.22, 67.33, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -5.26, -66.83, 1.00, 0.48, -0.06013, 0.48349
225839, 4, 0.50, 0.50, -0.80, -0.13, 29.86, 67.34, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -0.81, -66.84, 1.00, 0.86, -0.06027, 0.83148
225852, 4, 0.50, 0.50, -0.75, -0.13, 14.89, 67.35, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 10.08, -66.85, 1.00, 0.30, -0.06034, 0.21400
225866, 4, 0.50, 0.50, -0.70, -0.14, 7.21, 67.36, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 27.44, -66.86, 1.00, -1.16, -0.05999, -1.30256
225879, 4, 0.50, 0.50, -0.66, -0.14, 3.94, 67.37, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 42.41, -66.87, 1.00, -2.25, -0.05959, -2.43082
225892, 4, 0.50, 0.50, -0.63, -0.14, 2.44, 67.38, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 50.09, -66.88, 1.00, -1.95, -0.05938, -2.14782
225906, 4, 0.50, 0.50, -0.61, -0.14, 1.64, 67.38, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 53.36, -66.88, 1.00, -0.68, -0.05931, -0.88758
225919, 4, 0.50, 0.50, -0.59, -0.15, 1.17, 67.39, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 54.85, -66.89, 1.00, 0.32, -0.05932, 0.10081
225932, 4, 0.50, 0.50, -0.57, -0.15, 0.86, 67.40, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 55.65, -66.90, 1.00, 0.52, -0.05933, 0.28363
225946, 4, 0.50, 0.50, -0.56, -0.15, 0.65, 67.41, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 56.12, -66.91, 1.00, 0.43, -0.05934, 0.18895
225959, 4, 0.50, 0.50, -0.55, -0.15, 0.50, 67.41, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 56.44, -66.91, 1.00, 0.33, -0.05935, 0.07651
225972, 4, 0.50, 0.50, -0.54, -0.15, 0.39, 67.42, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 4.00, 0.04, 26.00, 0.00, 0.00, 56.65, -66.92, 1.00, 0.29, -0.05935, 0.01959
225986, 4, 0.50, 0.50, -0.53, -0.16, 0.30, 67.43, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 12.00, 0.12, 26.00, 0.00, 0.00, 56.80, -66.93, 1.00, 0.28, -0.05935, -0.00017
