timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
251346, 4, 0.50, 0.50, -1.05, -0.20, 65.70, 87.55, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -11.64, -87.05, 1.00, 0.03, -0.07140, 0.06567
251385, 4, 0.50, 0.50, -0.94, -0.20, 56.54, 87.56, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -11.61, -87.06, 1.00, 0.62, -0.07142, 0.65245
251393, 4, 0.50, 0.50, -0.85, -0.19, 38.48, 87.57, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, -8.40, -87.07, 1.00, 1.15, -0.07156, 1.14945
251400, 4, 0.50, 0.50, -0.78, -0.19, 19.45, 87.58, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 0.75, -87.08, 1.00, 0.42, -0.07165, 0.36159
251413, 4, 0.50, 0.50, -0.72, -0.19, 8.80, 87.59, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 18.82, -87.09, 1.00, -1.58, -0.07118, -1.70531
251426, 4, 0.50, 0.50, -0.68, -0.19, 4.41, 87.60, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 37.85, -87.10, 1.00, -3.18, -0.07058, -3.34850
251439, 4, 0.50, 0.50, -0.65, -0.18, 2.60, 87.61, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 48.50, -87.11, 1.00, -2.91, -0.07028, -3.10147
251452, 4, 0.50, 0.50, -0.62, -0.18, 1.71, 87.62, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 52.89, -87.12, 1.00, -1.21, -0.07019, -1.41646
251466, 4, 0.50, 0.50, -0.60, -0.18, 1.20, 87.63, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 54.70, -87.13, 1.00, 0.25, -0.07019, 0.03575
251479, 4, 0.50, 0.50, -0.59, -0.18, 0.87, 87.64, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 55.58, -87.14, 1.00, 0.64, -0.07021, 0.41162
251492, 4, 0.50, 0.50, -0.58, -0.17, 0.66, 87.64, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 56.10, -87.14, 1.00, 0.56, -0.07023, 0.32088
251506, 4, 0.50, 0.50, -0.57, -0.17, 0.49, 87.65, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 56.42, -87.15, 1.00, 0.39, -0.07023, 0.14422
251519, 4, 0.50, 0.50, -0.56, -0.17, 0.37, 87.66, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 56.64, -87.16, 1.00, 0.30, -0.07023, 0.04216
251532, 4, 0.50, 0.50, -0.56, -0.17, 0.28, 87.67, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.02, 26.00, 0.00, 0.00, 56.80, -87.17, 1.00, 0.27, -0.07024, 0.00493
