timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
154417, 0, 0.75, 0.50, -1.38, -0.13, 73.08, 130.57, 1.32, 52.80, 0.01, 0.27, 0.11, 0.00, 0.35, 0.11, 0.00, 0.21, 0.11, 0.00, 0.31, 0.13, 0.00, 0.00, -129.82, 1.00, 0.28, -0.00009, 0.00009
154446, 0, 0.75, 0.50, -1.13, -0.14, 43.45, 130.59, 1.32, 52.80, 0.01, 0.03, 0.11, 0.00, 0.04, 0.11, 0.00, 0.03, 0.11, 0.00, 0.04, 0.13, 0.00, 85.94, -129.84, 1.00, 0.05, 0.00058, -0.00573
154459, 0, 0.75, 0.50, -0.95, -0.14, 17.54, 130.60, 1.32, 52.80, 0.01, 0.14, 0.11, 0.00, 0.18, 0.11, 0.00, 0.11, 0.11, 0.00, 0.15, 0.13, 0.00, 12.86, -129.85, 1.00, 0.15, 0.00013, -0.00197
154471, 0, 0.75, 0.50, -0.82, -0.14, 6.82, 130.61, 1.32, 52.80, 0.01, 0.23, 0.11, 0.00, 0.31, 0.11, 0.00, 0.18, 0.11, 0.00, 0.27, 0.13, 0.00, 42.49, -129.86, 1.00, 0.25, 0.00014, 0.00004
154484, 0, 0.75, 0.50, -0.74, -0.14, 3.31, 130.62, 1.32, 52.80, 0.01, 0.30, 0.11, 0.00, 0.38, 0.11, 0.00, 0.24, 0.11, 0.00, 0.34, 0.13, 0.00, 68.40, -129.87, 1.00, 0.31, 0.00056, 0.01656
154497, 0, 0.75, 0.50, -0.68, -0.14, 1.92, 130.63, 1.32, 52.80, 0.01, 0.35, 0.11, 0.00, 0.45, 0.11, 0.00, 0.28, 0.11, 0.00, 0.41, 0.13, 0.00, 79.13, -129.88, 1.00, 0.36, 0.00090, 0.04086
154511, 0, 0.75, 0.50, -0.64, -0.14, 1.23, 130.64, 1.32, 52.80, 0.01, 0.35, 0.11, 0.00, 0.46, 0.08, 0.16, 0.30, 0.11, 0.00, 0.42, 0.13, 0.00, 82.63, -129.89, 1.00, 0.37, 0.00108, 0.03416
154524, 0, 0.75, 0.50, -0.60, -0.14, 0.88, 130.65, 1.32, 52.80, 0.01, 0.35, 0.11, 0.00, 0.45, 0.08, 0.00, 0.28, 0.11, 0.00, 0.41, 0.13, 0.00, 84.02, -129.90, 1.00, 0.36, 0.00111, 0.00534
154537, 0, 0.75, 0.50, -0.59, -0.15, 0.66, 130.65, 1.32, 52.80, 0.01, 0.35, 0.11, 0.00, 0.45, 0.08, 0.00, 0.28, 0.11, 0.00, 0.41, 0.13, 0.00, 84.71, -129.90, 1.00, 0.36, 0.00106, -0.00962
154551, 0, 0.75, 0.50, -0.57, -0.15, 0.48, 130.66, 1.32, 52.80, 0.01, 0.37, 0.11, 0.00, 0.48, 0.08, 0.00, 0.30, 0.11, 0.00, 0.42, 0.13, 0.00, 85.06, -129.91, 1.00, 0.38, 0.00104, -0.00629
