timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
248764, 0, 0.75, 0.50, -1.38, -0.59, 76.63, 196.16, 1.32, 52.80, 0.01, 0.27, 0.11, 0.00, 0.35, 0.13, 0.00, 0.21, 0.10, 0.00, 0.31, 0.11, 0.00, 0.00, -195.41, 1.00, 0.28, -0.00009, 0.00010
248795, 0, 0.75, 0.50, -1.14, -0.45, 54.20, 196.18, 1.32, 52.80, 0.01, 0.01, 0.11, 0.00, 0.03, 0.13, 0.00, 0.01, 0.10, 0.00, 0.03, 0.11, 0.00, 85.94, -195.43, 1.00, 0.04, 0.00065, -0.00684
248804, 0, 0.75, 0.50, -0.95, -0.36, 25.77, 196.19, 1.32, 52.80, 0.01, 0.10, 0.11, 0.00, 0.13, 0.13, 0.00, 0.07, 0.10, 0.00, 0.11, 0.11, 0.00, 9.32, -195.44, 1.00, 0.12, 0.00027, -0.00457
248817, 0, 0.75, 0.50, -0.82, -0.30, 9.97, 196.20, 1.32, 52.80, 0.01, 0.20, 0.11, 0.00, 0.27, 0.13, 0.00, 0.15, 0.10, 0.00, 0.24, 0.11, 0.00, 31.75, -195.45, 1.00, 0.22, 0.00022, -0.00039
248831, 0, 0.75, 0.50, -0.74, -0.26, 4.43, 196.21, 1.32, 52.80, 0.01, 0.30, 0.11, 0.00, 0.38, 0.13, 0.00, 0.24, 0.10, 0.00, 0.34, 0.11, 0.00, 60.17, -195.46, 1.00, 0.31, 0.00079, 0.02435
248844, 0, 0.75, 0.50, -0.67, -0.24, 2.40, 196.22, 1.32, 52.80, 0.01, 0.37, 0.11, 0.00, 0.48, 0.13, 0.00, 0.30, 0.10, 0.00, 0.42, 0.11, 0.00, 75.97, -195.47, 1.00, 0.38, 0.00127, 0.06513
248857, 0, 0.75, 0.50, -0.64, -0.22, 1.50, 196.23, 1.32, 52.80, 0.01, 0.38, 0.11, 0.00, 0.49, 0.13, 0.00, 0.31, 0.10, 0.00, 0.44, 0.11, 0.00, 81.51, -195.48, 1.00, 0.39, 0.00152, 0.05990
248871, 0, 0.75, 0.50, -0.61, -0.20, 1.00, 196.24, 1.32, 52.80, 0.01, 0.35, 0.11, 0.00, 0.46, 0.13, 0.00, 0.28, 0.10, 0.00, 0.41, 0.11, 0.00, 83.55, -195.49, 1.00, 0.37, 0.00157, 0.01568
248884, 0, 0.75, 0.50, -0.59, -0.19, 0.71, 196.24, 1.32, 52.80, 0.01, 0.34, 0.11, 0.00, 0.44, 0.13, 0.00, 0.27, 0.10, 0.00, 0.39, 0.11, 0.00, 84.44, -195.49, 1.00, 0.36, 0.00153, -0.01273
248897, 0, 0.75, 0.50, -0.58, -0.18, 0.52, 196.25, 1.32, 52.80, 0.01, 0.35, 0.11, 0.00, 0.46, 0.13, 0.00, 0.28, 0.10, 0.00, 0.41, 0.11, 0.00, 84.94, -195.50, 1.00, 0.37, 0.00150, -0.01133
