timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
70097, 0, 0.75, 0.50, -1.08, -0.45, 76.67, 31.58, 1.32, 52.80, 0.01, 0.00, 0.01, 0.00, 0.00, 0.11, 0.00, 0.00, 0.04, 0.00, 0.00, 0.10, 0.00, -0.49, -30.83, 1.00, -0.01, 0.00491, -0.00527
70121, 0, 0.75, 0.50, -0.92, -0.39, 52.22, 31.59, 1.32, 52.80, 0.01, 0.00, 0.01, 0.00, 0.00, 0.11, 0.00, 0.00, 0.04, 0.00, 0.00, 0.10, 0.00, -0.59, -30.84, 1.00, -0.02, 0.00481, -0.05037
70129, 0, 0.75, 0.50, -0.80, -0.34, 23.70, 31.60, 1.32, 52.80, 0.01, 0.01, 0.01, 0.00, 0.03, 0.11, 0.00, 0.01, 0.04, 0.00, 0.03, 0.10, 0.00, 9.28, -30.85, 1.00, 0.04, 0.00440, -0.07353
70137, 0, 0.75, 0.50, -0.73, -0.30, 9.06, 31.61, 1.32, 52.80, 0.01, 0.18, 0.01, 0.00, 0.25, 0.11, 0.00, 0.15, 0.04, 0.00, 0.23, 0.10, 0.00, 33.73, -30.86, 1.00, 0.21, 0.00437, -0.00549
70151, 0, 0.75, 0.50, -0.67, -0.28, 4.09, 31.62, 1.32, 52.80, 0.01, 0.41, 0.01, 0.00, 0.54, 0.11, 0.00, 0.32, 0.04, 0.00, 0.48, 0.10, 0.00, 62.24, -30.87, 1.00, 0.42, 0.00491, 0.15198
70164, 0, 0.75, 0.50, -0.64, -0.27, 2.27, 31.63, 1.32, 52.80, 0.01, 0.55, 0.01, 0.00, 0.72, 0.11, 0.00, 0.45, 0.04, 0.00, 0.65, 0.10, 0.00, 76.88, -30.88, 1.00, 0.57, 0.00536, 0.26964
70177, 0, 0.75, 0.50, -0.61, -0.25, 1.45, 31.64, 1.32, 52.80, 0.01, 0.52, 0.01, 0.00, 0.68, 0.11, 0.00, 0.42, 0.04, 0.00, 0.61, 0.10, 0.00, 81.85, -30.89, 1.00, 0.53, 0.00559, 0.21119
70191, 0, 0.75, 0.50, -0.59, -0.24, 0.99, 31.65, 1.32, 52.80, 0.01, 0.37, 0.01, 0.00, 0.48, 0.11, 0.00, 0.30, 0.04, 0.00, 0.44, 0.10, 0.00, 83.68, -30.90, 1.00, 0.39, 0.00564, 0.04834
70204, 0, 0.75, 0.50, -0.57, -0.23, 0.70, 31.65, 1.32, 52.80, 0.01, 0.28, 0.01, 0.00, 0.38, 0.11, 0.00, 0.23, 0.04, 0.00, 0.34, 0.10, 0.00, 84.49, -30.90, 1.00, 0.31, 0.00559, -0.04905
70217, 0, 0.75, 0.50, -0.56, -0.23, 0.52, 31.66, 1.32, 52.80, 0.01, 0.31, 0.01, 0.00, 0.41, 0.11, 0.00, 0.25, 0.04, 0.00, 0.37, 0.10, 0.00, 84.95, -30.91, 1.00, 0.33, 0.00556, -0.04078
70245, 0, 0.75, 0.50, -0.55, -0.22, 0.39, 31.67, 1.32, 52.80, 0.01, 0.35, 0.01, 0.00, 0.46, 0.11, 0.00, 0.28, 0.04, 0.00, 0.41, 0.10, 0.00, 85.25, -30.92, 1.00, 0.37, 0.00554, -0.01699
70257, 0, 0.75, 0.50, -0.54, -0.22, 0.29, 31.68, 1.32, 52.80, 0.01, 0.38, 0.01, 0.00, 0.49, 0.11, 0.00, 0.31, 0.04, 0.00, 0.44, 0.10, 0.00, 85.42, -30.93, 1.00, 0.40, 0.00554, -0.00475
70271, 0, 0.75, 0.50, -0.54, -0.21, 0.21, 31.68, 1.32, 52.80, 0.01, 0.39, 0.01, 0.00, 0.52, 0.11, 0.00, 0.32, 0.04, 0.00, 0.46, 0.10, 0.00, 85.55, -30.93, 1.00, 0.42, 0.00554, -0.00087
70284, 0, 0.75, 0.50, -0.53, -0.21, 0.16, 31.69, 1.32, 52.80, 0.01, 0.42, 0.01, 0.00, 0.55, 0.11, 0.00, 0.34, 0.04, 0.00, 0.48, 0.10, 0.00, 85.65, -30.94, 1.00, 0.43, 0.00554, 0.00015
70297, 0, 0.75, 0.50, -0.53, -0.21, 0.11, 31.70, 1.32, 52.80, 0.01, 0.44, 0.01, 0.00, 0.56, 0.11, 0.00, 0.35, 0.04, 0.00, 0.51, 0.10, 0.00, 85.74, -30.95, 1.00, 0.45, 0.00554, 0.00039
70311, 0, 0.75, 0.50, -0.53, -0.20, 0.06, 31.71, 1.32, 52.80, 0.01, 0.45, 0.01, 0.00, 0.58, 0.11, 0.00, 0.37, 0.04, 0.00, 0.52, 0.10, 0.00, 85.79, -30.96, 1.00, 0.46, 0.00554, 0.00040
70324, 0, 0.75, 0.50, -0.52, -0.20, 0.03, 31.71, 1.32, 52.80, 0.01, 0.46, 0.01, 0.00, 0.61, 0.11, 0.00, 0.38, 0.04, 0.00, 0.54, 0.10, 0.00, 85.84, -30.96, 1.00, 0.48, 0.00554, 0.00034
70337, 0, 0.75, 0.50, -0.52, -0.20, -0.00, 31.72, 1.32, 52.80, 0.01, 0.48, 0.01, 0.00, 0.62, 0.11, 0.00, 0.39, 0.04, 0.00, 0.55, 0.10, 0.00, 85.88, -30.97, 1.00, 0.49, 0.00554, 0.00026
70416, 0, 0.75, 0.50, -0.52, -0.20, -0.03, 31.73, 1.32, 52.80, 0.01, 0.49, 0.01, 0.00, 0.65, 0.11, 0.00, 0.39, 0.04, 0.00, 0.58, 0.10, 0.00, 85.91, -30.98, 1.00, 0.51, 0.00554, 0.00018
70424, 0, 0.75, 0.50, -0.52, -0.20, -0.05, 31.73, 1.32, 52.80, 0.01, 0.51, 0.01, 0.00, 0.66, 0.11, 0.00, 0.41, 0.04, 0.00, 0.59, 0.10, 0.00, 85.94, -30.98, 1.00, 0.52, 0.00554, 0.00009
70432, 0, 0.75, 0.50, -0.51, -0.19, -0.06, 31.74, 1.32, 52.80, 0.01, 0.52, 0.01, 0.00, 0.68, 0.11, 0.00, 0.42, 0.04, 0.00, 0.61, 0.10, 0.00, 85.94, -30.99, 1.00, 0.54, 0.00554, -0.00002
70445, 0, 0.75, 0.50, -0.51, -0.19, -0.08, 31.75, 1.32, 52.80, 0.01, 0.54, 0.01, 0.00, 0.70, 0.11, 0.00, 0.44, 0.04, 0.00, 0.62, 0.10, 0.00, 85.94, -31.00, 1.00, 0.55, 0.00554, -0.00010
70457, 0, 0.75, 0.50, -0.51, -0.19, -0.09, 31.76, 1.32, 52.80, 0.01, 0.55, 0.01, 0.00, 0.72, 0.11, 0.00, 0.45, 0.04, 0.00, 0.65, 0.10, 0.00, 85.94, -31.01, 1.00, 0.57, 0.00554, -0.00011
70471, 0, 0.75, 0.50, -0.51, -0.19, -0.11, 31.76, 1.32, 52.80, 0.01, 0.56, 0.01, 0.00, 0.75, 0.11, 0.00, 0.46, 0.04, 0.00, 0.66, 0.10, 0.00, 85.94, -31.01, 1.00, 0.58, 0.00554, -0.00007
70484, 0, 0.75, 0.50, -0.51, -0.19, -0.11, 31.77, 1.32, 52.80, 0.01, 0.59, 0.01, 0.00, 0.76, 0.11, 0.00, 0.48, 0.04, 0.00, 0.68, 0.10, 0.00, 85.94, -31.02, 1.00, 0.60, 0.00554, -0.00003
70497, 0, 0.75, 0.50, -0.51, -0.19, -0.12, 31.78, 1.32, 52.80, 0.01, 0.61, 0.01, 0.00, 0.77, 0.11, 0.05, 0.49, 0.04, 0.00, 0.69, 0.10, 0.00, 85.94, -31.03, 1.00, 0.61, 0.00554, -0.00000
70511, 0, 0.75, 0.50, -0.50, -0.18, -0.13, 31.78, 1.32, 52.80, 0.01, 0.62, 0.01, 0.00, 0.80, 0.08, 1.44, 0.51, 0.04, 0.00, 0.72, 0.10, 0.00, 85.94, -31.03, 1.00, 0.63, 0.00554, 0.00000
70524, 0, 0.75, 0.50, -0.52, -0.15, -0.05, 31.79, 1.32, 52.80, 0.01, 0.63, 0.01, 0.00, 0.82, 0.14, 2.96, 0.51, 0.04, 0.00, 0.73, 0.10, 0.00, 85.94, -31.04, 1.00, 0.64, 0.00554, 0.00000
70537, 0, 0.75, 0.50, -0.50, -0.13, -0.01, 31.80, 1.32, 52.80, 0.01, 0.65, 0.01, 0.93, 0.85, 0.68, 1.67, 0.52, 0.04, 0.00, 0.75, 0.10, 0.37, 85.94, -31.05, 1.00, 0.66, 0.00554, 0.00000
70551, 0, 0.75, 0.50, -0.55, -0.03, 0.12, 31.80, 1.32, 52.80, 0.01, 0.66, 0.06, 2.44, 0.86, 0.75, 1.35, 0.54, 0.04, 0.00, 0.76, 0.10, 1.84, 85.94, -31.05, 1.00, 0.67, 0.00554, -0.00001
