timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
124271, 0, 0.75, 0.50, -1.67, -0.62, 76.71, 97.35, 1.32, 52.80, 0.01, 0.00, 0.11, 0.00, 0.00, 0.11, 0.00, 0.00, 0.10, 0.00, 0.00, 0.11, 0.00, -6.36, -96.60, 1.00, -0.02, 0.00394, -0.00423
124297, 0, 0.75, 0.50, -1.33, -0.46, 45.54, 97.37, 1.32, 52.80, 0.01, 0.00, 0.11, 0.00, 0.00, 0.11, 0.00, 0.00, 0.10, 0.00, 0.00, 0.11, 0.00, -5.36, -96.62, 1.00, -0.01, 0.00379, -0.03936
124304, 0, 0.75, 0.50, -1.07, -0.37, 17.90, 97.38, 1.32, 52.80, 0.01, 0.06, 0.11, 0.00, 0.08, 0.11, 0.00, 0.04, 0.10, 0.00, 0.07, 0.11, 0.00, 9.23, -96.63, 1.00, 0.08, 0.00330, -0.05208
124312, 0, 0.75, 0.50, -0.89, -0.32, 6.73, 97.39, 1.32, 52.80, 0.01, 0.21, 0.11, 0.00, 0.28, 0.11, 0.00, 0.17, 0.10, 0.00, 0.25, 0.11, 0.00, 40.40, -96.64, 1.00, 0.23, 0.00331, 0.00120
124324, 0, 0.75, 0.50, -0.79, -0.28, 3.19, 97.40, 1.32, 52.80, 0.01, 0.38, 0.11, 0.00, 0.49, 0.11, 0.00, 0.31, 0.10, 0.00, 0.44, 0.11, 0.00, 68.04, -96.65, 1.00, 0.40, 0.00377, 0.11778
124337, 0, 0.75, 0.50, -0.71, -0.26, 1.84, 97.41, 1.32, 52.80, 0.01, 0.49, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.10, 0.00, 0.56, 0.11, 0.00, 79.22, -96.66, 1.00, 0.50, 0.00413, 0.19633
124351, 0, 0.75, 0.50, -0.67, -0.25, 1.19, 97.42, 1.32, 52.80, 0.01, 0.45, 0.11, 0.00, 0.59, 0.11, 0.00, 0.37, 0.10, 0.00, 0.52, 0.11, 0.00, 82.76, -96.67, 1.00, 0.47, 0.00432, 0.14210
124364, 0, 0.75, 0.50, -0.64, -0.24, 0.84, 97.43, 1.32, 52.80, 0.01, 0.34, 0.11, 0.00, 0.45, 0.11, 0.00, 0.28, 0.10, 0.00, 0.39, 0.11, 0.00, 84.11, -96.68, 1.00, 0.36, 0.00434, 0.02042
124377, 0, 0.75, 0.50, -0.62, -0.23, 0.61, 97.44, 1.32, 52.80, 0.01, 0.30, 0.11, 0.00, 0.39, 0.11, 0.00, 0.24, 0.10, 0.00, 0.35, 0.11, 0.00, 84.75, -96.69, 1.00, 0.31, 0.00429, -0.04211
124391, 0, 0.75, 0.50, -0.61, -0.22, 0.45, 97.45, 1.32, 52.80, 0.01, 0.32, 0.11, 0.00, 0.42, 0.11, 0.00, 0.27, 0.10, 0.00, 0.38, 0.11, 0.00, 85.11, -96.70, 1.00, 0.34, 0.00426, -0.02780
124404, 0, 0.75, 0.50, -0.60, -0.22, 0.34, 97.46, 1.32, 52.80, 0.01, 0.37, 0.11, 0.00, 0.48, 0.11, 0.00, 0.30, 0.10, 0.00, 0.42, 0.11, 0.00, 85.33, -96.71, 1.00, 0.38, 0.00425, -0.00978
124417, 0, 0.75, 0.50, -0.59, -0.21, 0.24, 97.46, 1.32, 52.80, 0.01, 0.38, 0.11, 0.00, 0.51, 0.11, 0.00, 0.31, 0.10, 0.00, 0.45, 0.11, 0.00, 85.49, -96.71, 1.00, 0.40, 0.00425, -0.00240
124443, 0, 0.75, 0.50, -0.58, -0.21, 0.18, 97.47, 1.32, 52.80, 0.01, 0.41, 0.11, 0.00, 0.52, 0.11, 0.00, 0.32, 0.10, 0.00, 0.46, 0.11, 0.00, 85.61, -96.72, 1.00, 0.42, 0.00425, -0.00030
124452, 0, 0.75, 0.50, -0.58, -0.20, 0.13, 97.48, 1.32, 52.80, 0.01, 0.42, 0.11, 0.00, 0.55, 0.11, 0.00, 0.34, 0.10, 0.00, 0.49, 0.11, 0.00, 85.70, -96.73, 1.00, 0.43, 0.00425, 0.00023
124460, 0, 0.75, 0.50, -0.57, -0.20, 0.09, 97.49, 1.32, 52.80, 0.01, 0.44, 0.11, 0.00, 0.56, 0.11, 0.00, 0.35, 0.10, 0.00, 0.51, 0.11, 0.00, 85.76, -96.74, 1.00, 0.45, 0.00425, 0.00031
124475, 0, 0.75, 0.50, -0.57, -0.20, 0.05, 97.50, 1.32, 52.80, 0.01, 0.45, 0.11, 0.00, 0.59, 0.11, 0.00, 0.37, 0.10, 0.00, 0.52, 0.11, 0.00, 85.81, -96.75, 1.00, 0.46, 0.00425, 0.00026
124484, 0, 0.75, 0.50, -0.56, -0.20, 0.02, 97.50, 1.32, 52.80, 0.01, 0.46, 0.11, 0.00, 0.61, 0.11, 0.00, 0.38, 0.10, 0.00, 0.54, 0.11, 0.00, 85.85, -96.75, 1.00, 0.48, 0.00425, 0.00021
124497, 0, 0.75, 0.50, -0.56, -0.19, 0.01, 97.51, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.62, 0.11, 0.00, 0.39, 0.10, 0.00, 0.56, 0.11, 0.00, 85.90, -96.76, 1.00, 0.49, 0.00425, 0.00017
124511, 0, 0.75, 0.50, -0.56, -0.19, -0.01, 97.52, 1.32, 52.80, 0.01, 0.49, 0.11, 0.00, 0.65, 0.11, 0.00, 0.41, 0.10, 0.00, 0.58, 0.11, 0.00, 85.93, -96.77, 1.00, 0.51, 0.00425, 0.00012
124524, 0, 0.75, 0.50, -0.55, -0.19, -0.03, 97.53, 1.32, 52.80, 0.01, 0.51, 0.11, 0.00, 0.66, 0.11, 0.00, 0.41, 0.10, 0.00, 0.59, 0.11, 0.00, 85.94, -96.78, 1.00, 0.52, 0.00425, 0.00004
124537, 0, 0.75, 0.50, -0.55, -0.19, -0.05, 97.53, 1.32, 52.80, 0.01, 0.52, 0.11, 0.00, 0.69, 0.11, 0.00, 0.42, 0.10, 0.00, 0.61, 0.11, 0.00, 85.94, -96.78, 1.00, 0.54, 0.00425, -0.00004
124551, 0, 0.75, 0.50, -0.55, -0.19, -0.06, 97.54, 1.32, 52.80, 0.01, 0.54, 0.11, 0.00, 0.70, 0.11, 0.00, 0.44, 0.10, 0.00, 0.63, 0.11, 0.00, 85.94, -96.79, 1.00, 0.56, 0.00425, -0.00007
124564, 0, 0.75, 0.50, -0.55, -0.19, -0.08, 97.55, 1.32, 52.80, 0.01, 0.55, 0.11, 0.00, 0.72, 0.11, 0.00, 0.45, 0.10, 0.00, 0.65, 0.11, 0.00, 85.94, -96.80, 1.00, 0.57, 0.00425, -0.00006
124577, 0, 0.75, 0.50, -0.55, -0.19, -0.09, 97.56, 1.32, 52.80, 0.01, 0.58, 0.11, 0.00, 0.75, 0.11, 0.00, 0.46, 0.10, 0.00, 0.66, 0.11, 0.00, 85.94, -96.81, 1.00, 0.59, 0.00425, -0.00004
124591, 0, 0.75, 0.50, -0.55, -0.19, -0.10, 97.56, 1.32, 52.80, 0.01, 0.59, 0.11, 0.00, 0.76, 0.11, 0.00, 0.48, 0.10, 0.00, 0.68, 0.11, 0.00, 85.94, -96.81, 1.00, 0.60, 0.00425, -0.00001
124604, 0, 0.75, 0.50, -0.55, -0.19, -0.11, 97.57, 1.32, 52.80, 0.01, 0.61, 0.11, 0.00, 0.79, 0.11, 0.00, 0.49, 0.10, 0.00, 0.70, 0.11, 0.00, 85.94, -96.82, 1.00, 0.62, 0.00425, -0.00000
124617, 0, 0.75, 0.50, -0.55, -0.19, -0.12, 97.58, 1.32, 52.80, 0.01, 0.62, 0.11, 0.00, 0.80, 0.11, 0.00, 0.51, 0.10, 0.00, 0.72, 0.11, 0.00, 85.94, -96.83, 1.00, 0.63, 0.00425, -0.00000
124631, 0, 0.75, 0.50, -0.55, -0.19, -0.13, 97.59, 1.32, 52.80, 0.01, 0.63, 0.11, 0.00, 0.82, 0.11, 0.00, 0.52, 0.10, 0.00, 0.73, 0.11, 0.00, 85.94, -96.84, 1.00, 0.65, 0.00425, 0.00000
124644, 0, 0.75, 0.50, -0.54, -0.18, -0.14, 97.59, 1.32, 52.80, 0.01, 0.65, 0.11, 0.00, 0.85, 0.11, 0.00, 0.52, 0.10, 0.00, 0.75, 0.11, 0.00, 85.94, -96.84, 1.00, 0.66, 0.00425, 0.00000
124657, 0, 0.75, 0.50, -0.54, -0.18, -0.15, 97.60, 1.32, 52.80, 0.01, 0.66, 0.11, 0.00, 0.86, 0.11, 0.93, 0.54, 0.10, 0.00, 0.77, 0.11, 0.00, 85.94, -96.85, 1.00, 0.68, 0.00425, 0.00000
124671, 0, 0.75, 0.50, -0.54, -0.18, -0.15, 97.61, 1.32, 52.80, 0.01, 0.68, 0.11, 0.00, 0.89, 0.11, 2.88, 0.55, 0.10, 0.00, 0.79, 0.11, 0.00, 85.94, -96.86, 1.00, 0.69, 0.00425, 0.00000
124684, 0, 0.75, 0.50, -0.56, -0.17, -0.03, 97.62, 1.32, 52.80, 0.01, 0.69, 0.08, 0.00, 0.90, 0.52, 2.18, 0.56, 0.10, 0.00, 0.80, 0.11, 0.00, 85.94, -96.87, 1.00, 0.71, 0.00425, 0.00000
124697, 0, 0.75, 0.50, -0.51, -0.16, 0.03, 97.62, 1.32, 52.80, 0.01, 0.70, 0.08, 0.00, 0.92, 0.76, 2.04, 0.58, 0.10, 0.00, 0.82, 0.08, 0.79, 85.94, -96.87, 1.00, 0.72, 0.00425, -0.00000
124711, 0, 0.75, 0.50, -0.56, -0.15, 0.12, 97.63, 1.32, 52.80, 0.01, 0.72, 0.08, 0.00, 0.94, 0.99, 0.95, 0.59, 0.10, 0.00, 0.85, 0.14, 2.70, 85.94, -96.88, 1.00, 0.74, 0.00425, -0.00002
124738, 0, 0.75, 0.50, -0.52, -0.12, 0.41, 97.64, 1.32, 52.80, 0.01, 0.73, 0.08, 0.04, 0.96, 0.79, 2.05, 0.61, 0.07, 0.00, 0.86, 0.76, 1.37, 85.91, -96.89, 1.00, 0.75, 0.00425, -0.00011
