timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
214631, 0, 0.75, 0.50, -1.59, -0.13, 80.89, 162.73, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 0.00, 0.11, 0.00, 0.00, 0.08, 0.00, 0.00, 0.10, 0.00, -0.49, -161.98, 1.00, -0.01, 0.00317, -0.00359
214659, 0, 0.75, 0.50, -1.38, -0.14, 63.96, 162.75, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 0.00, 0.11, 0.00, 0.00, 0.08, 0.00, 0.00, 0.10, 0.00, -0.53, -162.00, 1.00, -0.02, 0.00311, -0.03470
214671, 0, 0.75, 0.50, -1.17, -0.15, 35.14, 162.77, 1.32, 52.80, 0.01, 0.00, 0.00, 0.00, 0.00, 0.11, 0.00, 0.00, 0.08, 0.00, 0.00, 0.10, 0.00, 5.05, -162.02, 1.00, 0.02, 0.00279, -0.05266
214684, 0, 0.75, 0.50, -0.99, -0.15, 14.00, 162.78, 1.32, 52.80, 0.01, 0.14, 0.00, 0.00, 0.18, 0.11, 0.00, 0.11, 0.08, 0.00, 0.17, 0.10, 0.00, 21.98, -162.03, 1.00, 0.16, 0.00268, -0.01018
214697, 0, 0.75, 0.50, -0.85, -0.16, 5.81, 162.79, 1.32, 52.80, 0.01, 0.34, 0.00, 0.00, 0.45, 0.11, 0.00, 0.28, 0.08, 0.00, 0.39, 0.10, 0.00, 50.80, -162.04, 1.00, 0.36, 0.00342, 0.10863
214711, 0, 0.75, 0.50, -0.76, -0.16, 3.00, 162.80, 1.32, 52.80, 0.01, 0.51, 0.00, 0.00, 0.66, 0.11, 0.00, 0.41, 0.08, 0.00, 0.59, 0.10, 0.00, 71.94, -162.05, 1.00, 0.52, 0.00409, 0.23257
214724, 0, 0.75, 0.50, -0.69, -0.17, 1.81, 162.81, 1.32, 52.80, 0.01, 0.51, 0.00, 0.00, 0.66, 0.11, 0.00, 0.41, 0.08, 0.00, 0.59, 0.10, 0.00, 80.13, -162.06, 1.00, 0.52, 0.00442, 0.20945
214737, 0, 0.75, 0.50, -0.65, -0.17, 1.22, 162.82, 1.32, 52.80, 0.01, 0.38, 0.00, 0.00, 0.51, 0.11, 0.00, 0.31, 0.08, 0.00, 0.45, 0.10, 0.00, 82.94, -162.07, 1.00, 0.40, 0.00451, 0.07066
214775, 0, 0.75, 0.50, -0.62, -0.17, 0.84, 162.83, 1.32, 52.80, 0.01, 0.30, 0.00, 0.00, 0.39, 0.11, 0.00, 0.24, 0.08, 0.00, 0.35, 0.10, 0.00, 84.14, -162.08, 1.00, 0.32, 0.00448, -0.03120
214783, 0, 0.75, 0.50, -0.60, -0.17, 0.61, 162.84, 1.32, 52.80, 0.01, 0.31, 0.00, 0.00, 0.41, 0.11, 0.00, 0.25, 0.08, 0.00, 0.35, 0.10, 0.00, 84.73, -162.09, 1.00, 0.32, 0.00443, -0.03927
214791, 0, 0.75, 0.50, -0.58, -0.17, 0.46, 162.84, 1.32, 52.80, 0.01, 0.34, 0.00, 0.00, 0.45, 0.11, 0.00, 0.28, 0.08, 0.00, 0.39, 0.10, 0.00, 85.10, -162.09, 1.00, 0.36, 0.00441, -0.02076
214805, 0, 0.75, 0.50, -0.57, -0.17, 0.33, 162.85, 1.32, 52.80, 0.01, 0.37, 0.00, 0.00, 0.48, 0.11, 0.00, 0.30, 0.08, 0.00, 0.44, 0.10, 0.00, 85.33, -162.10, 1.00, 0.39, 0.00440, -0.00689
214817, 0, 0.75, 0.50, -0.56, -0.18, 0.25, 162.86, 1.32, 52.80, 0.01, 0.39, 0.00, 0.00, 0.51, 0.11, 0.00, 0.32, 0.08, 0.00, 0.45, 0.10, 0.00, 85.49, -162.11, 1.00, 0.41, 0.00440, -0.00159
214831, 0, 0.75, 0.50, -0.55, -0.18, 0.18, 162.87, 1.32, 52.80, 0.01, 0.41, 0.00, 0.00, 0.54, 0.11, 0.00, 0.34, 0.08, 0.00, 0.48, 0.10, 0.00, 85.61, -162.12, 1.00, 0.43, 0.00440, -0.00010
214844, 0, 0.75, 0.50, -0.55, -0.18, 0.13, 162.87, 1.32, 52.80, 0.01, 0.42, 0.00, 0.00, 0.55, 0.11, 0.00, 0.34, 0.08, 0.00, 0.49, 0.10, 0.00, 85.70, -162.12, 1.00, 0.44, 0.00440, 0.00026
214857, 0, 0.75, 0.50, -0.54, -0.18, 0.09, 162.88, 1.32, 52.80, 0.01, 0.44, 0.00, 0.00, 0.58, 0.11, 0.00, 0.35, 0.08, 0.00, 0.51, 0.10, 0.00, 85.76, -162.13, 1.00, 0.46, 0.00440, 0.00031
