timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
280857, 0, 0.75, 0.50, -1.54, -0.04, 78.76, 229.55, 1.32, 52.80, 0.01, 0.00, 0.11, 0.00, 0.00, 0.11, 0.00, 0.00, 0.10, 0.00, 0.00, 0.13, 0.00, -0.18, -228.80, 1.00, -0.00, 0.00256, -0.00283
280887, 0, 0.75, 0.50, -1.25, -0.07, 58.51, 229.57, 1.32, 52.80, 0.01, 0.00, 0.11, 0.00, 0.00, 0.11, 0.00, 0.00, 0.10, 0.00, 0.00, 0.13, 0.00, -0.10, -228.82, 1.00, -0.00, 0.00248, -0.02689
280897, 0, 0.75, 0.50, -1.02, -0.09, 29.40, 229.58, 1.32, 52.80, 0.01, 0.03, 0.11, 0.00, 0.04, 0.11, 0.00, 0.03, 0.10, 0.00, 0.04, 0.13, 0.00, 7.18, -228.83, 1.00, 0.05, 0.00212, -0.03788
280911, 0, 0.75, 0.50, -0.87, -0.09, 11.42, 229.60, 1.32, 52.80, 0.01, 0.17, 0.11, 0.00, 0.23, 0.11, 0.00, 0.13, 0.10, 0.00, 0.20, 0.13, 0.00, 27.44, -228.85, 1.00, 0.19, 0.00205, -0.00528
280924, 0, 0.75, 0.50, -0.77, -0.10, 4.91, 229.61, 1.32, 52.80, 0.01, 0.32, 0.11, 0.00, 0.42, 0.11, 0.00, 0.27, 0.10, 0.00, 0.38, 0.13, 0.00, 56.54, -228.86, 1.00, 0.34, 0.00269, 0.08460
280937, 0, 0.75, 0.50, -0.70, -0.11, 2.61, 229.62, 1.32, 52.80, 0.01, 0.45, 0.11, 0.00, 0.59, 0.11, 0.00, 0.37, 0.10, 0.00, 0.52, 0.13, 0.00, 74.53, -228.87, 1.00, 0.47, 0.00325, 0.17453
280951, 0, 0.75, 0.50, -0.66, -0.11, 1.61, 229.62, 1.32, 52.80, 0.01, 0.45, 0.11, 0.00, 0.59, 0.11, 0.00, 0.37, 0.10, 0.00, 0.52, 0.13, 0.00, 81.03, -228.87, 1.00, 0.47, 0.00353, 0.15061
280964, 0, 0.75, 0.50, -0.62, -0.12, 1.10, 229.63, 1.32, 52.80, 0.01, 0.37, 0.11, 0.00, 0.48, 0.11, 0.00, 0.30, 0.10, 0.00, 0.42, 0.13, 0.00, 83.33, -228.88, 1.00, 0.38, 0.00359, 0.04353
280977, 0, 0.75, 0.50, -0.60, -0.12, 0.78, 229.64, 1.32, 52.80, 0.01, 0.31, 0.11, 0.00, 0.39, 0.11, 0.00, 0.24, 0.10, 0.00, 0.35, 0.13, 0.00, 84.33, -228.89, 1.00, 0.32, 0.00355, -0.02836
280991, 0, 0.75, 0.50, -0.59, -0.12, 0.57, 229.65, 1.32, 52.80, 0.01, 0.32, 0.11, 0.00, 0.42, 0.11, 0.00, 0.25, 0.10, 0.00, 0.38, 0.13, 0.00, 84.84, -228.90, 1.00, 0.34, 0.00351, -0.02877
281004, 0, 0.75, 0.50, -0.57, -0.12, 0.45, 229.66, 1.32, 52.80, 0.01, 0.35, 0.11, 0.00, 0.46, 0.11, 0.00, 0.28, 0.10, 0.00, 0.41, 0.13, 0.00, 85.16, -228.91, 1.00, 0.37, 0.00350, -0.01362
281017, 0, 0.75, 0.50, -0.57, -0.12, 0.35, 229.66, 1.32, 52.80, 0.01, 0.38, 0.11, 0.00, 0.49, 0.11, 0.00, 0.31, 0.10, 0.00, 0.44, 0.13, 0.00, 85.37, -228.91, 1.00, 0.39, 0.00349, -0.00420
281031, 0, 0.75, 0.50, -0.56, -0.12, 0.26, 229.67, 1.32, 52.80, 0.01, 0.39, 0.11, 0.00, 0.52, 0.11, 0.00, 0.32, 0.10, 0.00, 0.46, 0.13, 0.00, 85.50, -228.92, 1.00, 0.41, 0.00349, -0.00089
281044, 0, 0.75, 0.50, -0.55, -0.12, 0.20, 229.68, 1.32, 52.80, 0.01, 0.41, 0.11, 0.00, 0.54, 0.11, 0.00, 0.34, 0.10, 0.00, 0.48, 0.13, 0.00, 85.60, -228.93, 1.00, 0.43, 0.00349, 0.00002
281057, 0, 0.75, 0.50, -0.55, -0.13, 0.15, 229.69, 1.32, 52.80, 0.01, 0.42, 0.11, 0.00, 0.56, 0.11, 0.00, 0.35, 0.10, 0.00, 0.49, 0.13, 0.00, 85.68, -228.94, 1.00, 0.44, 0.00349, 0.00026
281071, 0, 0.75, 0.50, -0.54, -0.13, 0.11, 229.69, 1.32, 52.80, 0.01, 0.45, 0.11, 0.00, 0.58, 0.11, 0.00, 0.37, 0.10, 0.00, 0.52, 0.13, 0.00, 85.74, -228.94, 1.00, 0.46, 0.00349, 0.00031
281084, 0, 0.75, 0.50, -0.54, -0.13, 0.08, 229.70, 1.32, 52.80, 0.01, 0.46, 0.11, 0.00, 0.59, 0.11, 0.00, 0.37, 0.10, 0.00, 0.54, 0.13, 0.00, 85.80, -228.95, 1.00, 0.47, 0.00349, 0.00029
281132, 0, 0.75, 0.50, -0.54, -0.13, 0.05, 229.71, 1.32, 52.80, 0.01, 0.48, 0.11, 0.00, 0.62, 0.11, 0.00, 0.38, 0.10, 0.00, 0.55, 0.13, 0.00, 85.83, -228.96, 1.00, 0.49, 0.00349, 0.00024
281140, 0, 0.75, 0.50, -0.54, -0.13, 0.03, 229.72, 1.32, 52.80, 0.01, 0.49, 0.11, 0.00, 0.63, 0.11, 0.00, 0.39, 0.10, 0.00, 0.56, 0.13, 0.00, 85.87, -228.97, 1.00, 0.50, 0.00349, 0.00017
281151, 0, 0.75, 0.50, -0.54, -0.13, 0.01, 229.72, 1.32, 52.80, 0.01, 0.51, 0.11, 0.00, 0.66, 0.11, 0.00, 0.41, 0.10, 0.00, 0.59, 0.13, 0.00, 85.89, -228.97, 1.00, 0.52, 0.00349, 0.00012
281166, 0, 0.75, 0.50, -0.53, -0.13, -0.02, 229.73, 1.32, 52.80, 0.01, 0.52, 0.11, 0.00, 0.68, 0.11, 0.00, 0.42, 0.10, 0.00, 0.61, 0.13, 0.00, 85.91, -228.98, 1.00, 0.53, 0.00349, 0.00009
281177, 0, 0.75, 0.50, -0.53, -0.13, -0.04, 229.74, 1.32, 52.80, 0.01, 0.54, 0.11, 0.00, 0.69, 0.11, 0.00, 0.44, 0.10, 0.00, 0.62, 0.13, 0.00, 85.94, -228.99, 1.00, 0.55, 0.00349, 0.00006
281191, 0, 0.75, 0.50, -0.53, -0.13, -0.05, 229.74, 1.32, 52.80, 0.01, 0.55, 0.11, 0.00, 0.72, 0.11, 0.00, 0.45, 0.10, 0.00, 0.63, 0.13, 0.00, 85.94, -228.99, 1.00, 0.56, 0.00349, 0.00002
281204, 0, 0.75, 0.50, -0.53, -0.13, -0.07, 229.75, 1.32, 52.80, 0.01, 0.56, 0.11, 0.00, 0.73, 0.11, 0.00, 0.46, 0.10, 0.00, 0.66, 0.13, 0.00, 85.94, -229.00, 1.00, 0.58, 0.00349, -0.00002
281217, 0, 0.75, 0.50, -0.53, -0.13, -0.08, 229.76, 1.32, 52.80, 0.01, 0.58, 0.11, 0.00, 0.76, 0.11, 0.00, 0.48, 0.10, 0.00, 0.68, 0.13, 0.00, 85.94, -229.01, 1.00, 0.60, 0.00349, -0.00004
281231, 0, 0.75, 0.50, -0.53, -0.13, -0.10, 229.77, 1.32, 52.80, 0.01, 0.59, 0.11, 0.00, 0.77, 0.11, 0.00, 0.48, 0.10, 0.00, 0.69, 0.13, 0.00, 85.94, -229.02, 1.00, 0.61, 0.00349, -0.00004
281244, 0, 0.75, 0.50, -0.53, -0.13, -0.11, 229.77, 1.32, 52.80, 0.01, 0.61, 0.11, 0.00, 0.79, 0.11, 0.00, 0.49, 0.10, 0.00, 0.70, 0.13, 0.00, 85.94, -229.02, 1.00, 0.63, 0.00349, -0.00002
281257, 0, 0.75, 0.50, -0.52, -0.13, -0.12, 229.78, 1.32, 52.80, 0.01, 0.63, 0.11, 0.00, 0.82, 0.11, 0.00, 0.51, 0.10, 0.00, 0.73, 0.13, 0.00, 85.94, -229.03, 1.00, 0.64, 0.00349, -0.00001
