timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
64511, 0, 0.75, 0.50, -1.64, -0.01, 76.14, 32.74, 1.32, 52.80, 0.01, 0.00, 0.06, 0.00, 0.00, 0.08, 0.00, 0.00, 0.07, 0.00, 0.00, 0.03, 0.00, 1.00, -31.99, 1.00, -0.00, 0.00424, -0.00452
64545, 0, 0.75, 0.50, -1.26, -0.05, 53.05, 32.75, 1.32, 52.80, 0.01, 0.00, 0.06, 0.00, 0.00, 0.08, 0.00, 0.00, 0.07, 0.00, 0.00, 0.03, 0.00, 0.68, -32.00, 1.00, -0.01, 0.00415, -0.04321
64553, 0, 0.75, 0.50, -0.99, -0.07, 24.79, 32.77, 1.32, 52.80, 0.01, 0.03, 0.06, 0.00, 0.04, 0.08, 0.00, 0.01, 0.07, 0.00, 0.03, 0.03, 0.00, 9.81, -32.02, 1.00, 0.05, 0.00376, -0.06301
64564, 0, 0.75, 0.50, -0.83, -0.08, 9.61, 32.78, 1.32, 52.80, 0.01, 0.18, 0.06, 0.00, 0.24, 0.08, 0.00, 0.14, 0.07, 0.00, 0.21, 0.03, 0.00, 32.89, -32.03, 1.00, 0.20, 0.00371, -0.00583
64578, 0, 0.75, 0.50, -0.74, -0.10, 4.35, 32.79, 1.32, 52.80, 0.01, 0.38, 0.06, 0.00, 0.51, 0.08, 0.00, 0.31, 0.07, 0.00, 0.45, 0.03, 0.00, 61.16, -32.04, 1.00, 0.40, 0.00427, 0.13074
64591, 0, 0.75, 0.50, -0.68, -0.11, 2.42, 32.80, 1.32, 52.80, 0.01, 0.52, 0.06, 0.00, 0.68, 0.08, 0.00, 0.42, 0.07, 0.00, 0.61, 0.03, 0.00, 76.33, -32.05, 1.00, 0.54, 0.00473, 0.23869
64604, 0, 0.75, 0.50, -0.65, -0.12, 1.53, 32.80, 1.32, 52.80, 0.01, 0.49, 0.06, 0.00, 0.65, 0.08, 0.00, 0.41, 0.07, 0.00, 0.58, 0.03, 0.00, 81.60, -32.05, 1.00, 0.51, 0.00497, 0.19116
64618, 0, 0.75, 0.50, -0.62, -0.12, 1.06, 32.81, 1.32, 52.80, 0.01, 0.37, 0.06, 0.00, 0.48, 0.08, 0.00, 0.30, 0.07, 0.00, 0.42, 0.03, 0.00, 83.52, -32.06, 1.00, 0.38, 0.00502, 0.04700
64631, 0, 0.75, 0.50, -0.60, -0.13, 0.74, 32.82, 1.32, 52.80, 0.01, 0.30, 0.06, 0.00, 0.38, 0.08, 0.00, 0.24, 0.07, 0.00, 0.34, 0.03, 0.00, 84.42, -32.07, 1.00, 0.31, 0.00498, -0.04173
64644, 0, 0.75, 0.50, -0.59, -0.13, 0.57, 32.83, 1.32, 52.80, 0.01, 0.31, 0.06, 0.00, 0.41, 0.08, 0.00, 0.25, 0.07, 0.00, 0.37, 0.03, 0.00, 84.89, -32.08, 1.00, 0.33, 0.00494, -0.03640
64658, 0, 0.75, 0.50, -0.58, -0.14, 0.44, 32.84, 1.32, 52.80, 0.01, 0.35, 0.06, 0.00, 0.46, 0.08, 0.00, 0.28, 0.07, 0.00, 0.41, 0.03, 0.00, 85.20, -32.09, 1.00, 0.37, 0.00493, -0.01565
64671, 0, 0.75, 0.50, -0.57, -0.14, 0.34, 32.84, 1.32, 52.80, 0.01, 0.38, 0.06, 0.00, 0.49, 0.08, 0.00, 0.31, 0.07, 0.00, 0.44, 0.03, 0.00, 85.37, -32.09, 1.00, 0.40, 0.00493, -0.00449
64684, 0, 0.75, 0.50, -0.57, -0.14, 0.26, 32.85, 1.32, 52.80, 0.01, 0.39, 0.06, 0.00, 0.52, 0.08, 0.00, 0.32, 0.07, 0.00, 0.46, 0.03, 0.00, 85.50, -32.10, 1.00, 0.42, 0.00493, -0.00085
64698, 0, 0.75, 0.50, -0.56, -0.14, 0.19, 32.86, 1.32, 52.80, 0.01, 0.42, 0.06, 0.00, 0.54, 0.08, 0.00, 0.34, 0.07, 0.00, 0.48, 0.03, 0.00, 85.60, -32.11, 1.00, 0.43, 0.00493, 0.00014
64711, 0, 0.75, 0.50, -0.56, -0.14, 0.15, 32.87, 1.32, 52.80, 0.01, 0.44, 0.06, 0.00, 0.56, 0.08, 0.00, 0.35, 0.07, 0.00, 0.51, 0.03, 0.00, 85.69, -32.12, 1.00, 0.45, 0.00493, 0.00042
64724, 0, 0.75, 0.50, -0.56, -0.15, 0.10, 32.88, 1.32, 52.80, 0.01, 0.45, 0.06, 0.00, 0.58, 0.08, 0.00, 0.37, 0.07, 0.00, 0.52, 0.03, 0.00, 85.75, -32.13, 1.00, 0.46, 0.00493, 0.00047
64738, 0, 0.75, 0.50, -0.55, -0.15, 0.07, 32.88, 1.32, 52.80, 0.01, 0.46, 0.06, 0.00, 0.61, 0.08, 0.00, 0.38, 0.07, 0.00, 0.54, 0.03, 0.00, 85.80, -32.13, 1.00, 0.48, 0.00493, 0.00042
64765, 0, 0.75, 0.50, -0.55, -0.15, 0.03, 32.89, 1.32, 52.80, 0.01, 0.48, 0.06, 0.00, 0.62, 0.08, 0.00, 0.39, 0.07, 0.00, 0.55, 0.03, 0.00, 85.84, -32.14, 1.00, 0.49, 0.00493, 0.00033
64778, 0, 0.75, 0.50, -0.55, -0.15, -0.00, 32.90, 1.32, 52.80, 0.01, 0.49, 0.06, 0.00, 0.65, 0.08, 0.00, 0.39, 0.07, 0.00, 0.58, 0.03, 0.00, 85.88, -32.15, 1.00, 0.51, 0.00493, 0.00025
64791, 0, 0.75, 0.50, -0.55, -0.15, -0.02, 32.91, 1.32, 52.80, 0.01, 0.51, 0.06, 0.00, 0.66, 0.08, 0.00, 0.41, 0.07, 0.00, 0.59, 0.03, 0.00, 85.91, -32.16, 1.00, 0.52, 0.00493, 0.00019
64805, 0, 0.75, 0.50, -0.55, -0.15, -0.04, 32.91, 1.32, 52.80, 0.01, 0.52, 0.06, 0.00, 0.68, 0.08, 0.00, 0.42, 0.07, 0.00, 0.61, 0.03, 0.00, 85.94, -32.16, 1.00, 0.54, 0.00493, 0.00011
64818, 0, 0.75, 0.50, -0.55, -0.16, -0.05, 32.92, 1.32, 52.80, 0.01, 0.54, 0.06, 0.00, 0.70, 0.08, 0.00, 0.44, 0.07, 0.00, 0.62, 0.03, 0.00, 85.94, -32.17, 1.00, 0.55, 0.00493, 0.00001
64831, 0, 0.75, 0.50, -0.54, -0.16, -0.07, 32.93, 1.32, 52.80, 0.01, 0.55, 0.06, 0.00, 0.72, 0.08, 0.00, 0.45, 0.07, 0.00, 0.65, 0.03, 0.00, 85.94, -32.18, 1.00, 0.57, 0.00493, -0.00008
64844, 0, 0.75, 0.50, -0.54, -0.16, -0.08, 32.94, 1.32, 52.80, 0.01, 0.56, 0.06, 0.00, 0.75, 0.08, 0.00, 0.46, 0.07, 0.00, 0.66, 0.03, 0.00, 85.94, -32.19, 1.00, 0.58, 0.00493, -0.00010
64858, 0, 0.75, 0.50, -0.54, -0.16, -0.09, 32.94, 1.32, 52.80, 0.01, 0.58, 0.06, 0.00, 0.76, 0.08, 0.00, 0.48, 0.07, 0.00, 0.68, 0.03, 0.00, 85.94, -32.19, 1.00, 0.60, 0.00493, -0.00007
64871, 0, 0.75, 0.50, -0.54, -0.16, -0.09, 32.95, 1.32, 52.80, 0.01, 0.61, 0.06, 0.00, 0.77, 0.08, 0.00, 0.49, 0.07, 0.00, 0.69, 0.03, 0.00, 85.94, -32.20, 1.00, 0.61, 0.00493, -0.00002
64884, 0, 0.75, 0.50, -0.54, -0.16, -0.10, 32.96, 1.32, 52.80, 0.01, 0.62, 0.06, 0.00, 0.80, 0.08, 0.00, 0.51, 0.07, 0.00, 0.72, 0.03, 0.00, 85.94, -32.21, 1.00, 0.63, 0.00493, -0.00000
64898, 0, 0.75, 0.50, -0.54, -0.16, -0.11, 32.96, 1.32, 52.80, 0.01, 0.63, 0.06, 0.00, 0.82, 0.08, 0.44, 0.51, 0.07, 0.00, 0.73, 0.03, 0.00, 85.94, -32.21, 1.00, 0.64, 0.00493, 0.00000
64911, 0, 0.75, 0.50, -0.53, -0.16, -0.12, 32.97, 1.32, 52.80, 0.01, 0.65, 0.06, 0.00, 0.85, 0.07, 2.18, 0.52, 0.07, 0.00, 0.75, 0.03, 0.84, 85.94, -32.22, 1.00, 0.66, 0.00493, 0.00000
64924, 0, 0.75, 0.50, -0.52, -0.14, -0.10, 32.98, 1.32, 52.80, 0.01, 0.66, 0.06, 0.00, 0.86, 0.49, 2.37, 0.54, 0.07, 0.00, 0.76, 0.01, 2.49, 85.94, -32.23, 1.00, 0.67, 0.00493, 0.00000
64938, 0, 0.75, 0.50, -0.49, 0.05, -0.04, 32.99, 1.32, 52.80, 0.01, 0.68, 0.06, 0.00, 0.87, 0.77, 0.75, 0.55, 0.07, 0.00, 0.79, 0.01, 3.56, 85.94, -32.24, 1.00, 0.69, 0.00493, 0.00000
64951, 0, 0.75, 0.50, -0.43, -0.01, 0.31, 32.99, 1.32, 52.80, 0.01, 0.69, 0.04, 0.05, 0.90, 0.93, 0.74, 0.56, 0.07, 0.00, 0.80, 0.32, 2.74, 85.94, -32.24, 1.00, 0.70, 0.00493, -0.00002
64964, 0, 0.75, 0.50, -0.39, 0.14, 1.03, 33.00, 1.32, 52.80, 0.01, 0.70, 0.04, 0.09, 0.92, 0.76, 1.56, 0.58, 0.04, 0.00, 0.82, 0.73, 2.46, 85.94, -32.25, 1.00, 0.72, 0.00493, -0.00027
