timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
94231, 0, 0.75, 0.50, -1.22, -0.09, 75.91, 64.14, 1.32, 52.80, 0.01, 0.27, 0.10, 0.00, 0.35, 0.13, 0.00, 0.21, 0.08, 0.00, 0.31, 0.10, 0.00, 0.00, -63.39, 1.00, 0.28, -0.00009, 0.00010
94256, 0, 0.75, 0.50, -1.04, -0.11, 56.53, 64.15, 1.32, 52.80, 0.01, 0.01, 0.10, 0.00, 0.03, 0.13, 0.00, 0.01, 0.08, 0.00, 0.03, 0.10, 0.00, 85.94, -63.40, 1.00, 0.04, 0.00064, -0.00669
94268, 0, 0.75, 0.50, -0.89, -0.11, 28.89, 64.17, 1.32, 52.80, 0.01, 0.08, 0.10, 0.00, 0.13, 0.13, 0.00, 0.07, 0.08, 0.00, 0.10, 0.10, 0.00, 10.03, -63.42, 1.00, 0.11, 0.00030, -0.00524
94276, 0, 0.75, 0.50, -0.79, -0.12, 11.50, 64.18, 1.32, 52.80, 0.01, 0.18, 0.10, 0.00, 0.25, 0.13, 0.00, 0.15, 0.08, 0.00, 0.23, 0.10, 0.00, 29.42, -63.43, 1.00, 0.21, 0.00023, -0.00059
94284, 0, 0.75, 0.50, -0.71, -0.12, 5.05, 64.19, 1.32, 52.80, 0.01, 0.28, 0.10, 0.00, 0.37, 0.13, 0.00, 0.23, 0.08, 0.00, 0.34, 0.10, 0.00, 57.05, -63.44, 1.00, 0.30, 0.00084, 0.02520
94297, 0, 0.75, 0.50, -0.66, -0.12, 2.73, 64.20, 1.32, 52.80, 0.01, 0.37, 0.10, 0.00, 0.48, 0.13, 0.00, 0.30, 0.08, 0.00, 0.42, 0.10, 0.00, 74.44, -63.45, 1.00, 0.38, 0.00137, 0.07079
94311, 0, 0.75, 0.50, -0.63, -0.12, 1.73, 64.20, 1.32, 52.80, 0.01, 0.38, 0.10, 0.00, 0.51, 0.13, 0.00, 0.31, 0.08, 0.00, 0.45, 0.10, 0.00, 80.89, -63.45, 1.00, 0.40, 0.00164, 0.06781
94324, 0, 0.75, 0.50, -0.60, -0.12, 1.18, 64.21, 1.32, 52.80, 0.01, 0.35, 0.10, 0.00, 0.46, 0.13, 0.00, 0.28, 0.08, 0.00, 0.41, 0.10, 0.00, 83.21, -63.46, 1.00, 0.37, 0.00170, 0.02057
94337, 0, 0.75, 0.50, -0.58, -0.13, 0.81, 64.22, 1.32, 52.80, 0.01, 0.34, 0.10, 0.00, 0.44, 0.13, 0.00, 0.27, 0.08, 0.00, 0.39, 0.10, 0.00, 84.21, -63.47, 1.00, 0.35, 0.00167, -0.01225
94351, 0, 0.75, 0.50, -0.57, -0.13, 0.58, 64.23, 1.32, 52.80, 0.01, 0.35, 0.10, 0.00, 0.46, 0.13, 0.00, 0.28, 0.08, 0.00, 0.41, 0.10, 0.00, 84.77, -63.48, 1.00, 0.37, 0.00163, -0.01257
