timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
26804, 0, 0.75, 0.50, -0.52, -0.13, -0.28, 0.01, 1.32, 52.80, 0.01, 0.27, 1.00, 0.00, 0.35, 1.00, 0.00, 0.21, 1.00, 0.00, 0.31, 1.00, 0.00, 0.00, 0.74, 1.00, 0.28, 0.00000, 0.00000
26877, 0, 0.75, 0.50, -0.35, 0.74, 3.47, 0.01, 1.32, 52.80, 0.01, 0.28, 0.37, 0.14, 0.37, 0.41, 0.18, 0.23, 0.34, 0.53, 0.32, 0.35, 0.49, 85.94, 0.74, 1.00, 0.30, -0.00000, 0.00000
26885, 0, 0.75, 0.50, -0.31, 0.40, 6.57, 0.02, 1.32, 52.80, 0.01, 0.28, 0.30, 0.18, 0.37, 0.34, 0.19, 0.23, 0.32, 0.46, 0.32, 0.28, 0.63, 85.94, 0.73, 1.00, 0.30, -0.00000, 0.00000
26904, 0, 0.75, 0.50, -0.26, 0.79, 10.10, 0.03, 1.32, 52.80, 0.01, 0.28, 0.23, 0.28, 0.38, 0.24, 0.98, 0.23, 0.30, 0.46, 0.34, 0.23, 1.33, 82.48, 0.72, 1.00, 0.30, -0.00000, 0.00000
26912, 0, 0.75, 0.50, -0.24, 1.10, 13.78, 0.04, 1.32, 52.80, 0.01, 0.30, 0.18, 0.35, 0.38, 0.25, 1.16, 0.24, 0.25, 0.47, 0.34, 0.30, 1.21, 79.37, 0.71, 1.00, 0.31, -0.00000, 0.00001
26924, 0, 0.75, 0.50, -0.44, 0.95, 17.31, 0.06, 1.32, 52.80, 0.01, 0.30, 0.20, 0.79, 0.38, 0.41, 0.82, 0.24, 0.23, 0.75, 0.34, 0.32, 1.07, 75.84, 0.69, 1.00, 0.31, -0.00000, 0.00001
26941, 0, 0.75, 0.50, -0.50, 1.64, 19.99, 0.08, 1.32, 52.80, 0.01, 0.30, 0.25, 0.67, 0.38, 0.44, 0.09, 0.24, 0.20, 1.05, 0.34, 0.32, 1.21, 72.16, 0.67, 1.00, 0.31, -0.00000, -0.00000
26951, 0, 0.75, 0.50, -0.56, 1.90, 22.25, 0.11, 1.32, 52.80, 0.01, 0.30, 0.30, 0.58, 0.38, 0.42, 0.16, 0.24, 0.23, 0.91, 0.34, 0.34, 1.23, 68.64, 0.64, 1.00, 0.31, -0.00000, -0.00000
26964, 0, 0.75, 0.50, -0.74, 1.81, 24.13, 0.13, 1.32, 52.80, 0.01, 0.30, 0.30, 0.54, 0.39, 0.35, 0.56, 0.24, 0.25, 0.88, 0.35, 0.38, 1.02, 65.96, 0.62, 1.00, 0.32, 0.00001, 0.00003
26981, 0, 0.75, 0.50, -0.70, 1.58, 25.42, 0.16, 1.32, 52.80, 0.01, 0.31, 0.31, 0.47, 0.39, 0.44, 0.18, 0.24, 0.27, 0.70, 0.35, 0.39, 0.91, 63.70, 0.59, 1.00, 0.32, 0.00002, 0.00014
26991, 0, 0.75, 0.50, -0.78, 1.45, 26.55, 0.18, 1.32, 52.80, 0.01, 0.31, 0.34, 0.46, 0.41, 0.48, 0.12, 0.25, 0.27, 0.60, 0.37, 0.39, 0.74, 61.82, 0.57, 1.00, 0.33, 0.00004, 0.00035
27004, 0, 0.75, 0.50, -0.85, 1.27, 28.17, 0.20, 1.32, 52.80, 0.01, 0.32, 0.34, 0.26, 0.42, 0.42, 0.14, 0.25, 0.28, 0.56, 0.37, 0.41, 0.65, 60.53, 0.55, 1.00, 0.34, 0.00006, 0.00062
27043, 0, 0.75, 0.50, -0.85, 0.80, 29.94, 0.21, 1.32, 52.80, 0.01, 0.32, 0.35, 0.16, 0.42, 0.46, 0.12, 0.27, 0.30, 0.18, 0.38, 0.39, 0.54, 59.39, 0.54, 1.00, 0.34, 0.00008, 0.00086
27052, 0, 0.75, 0.50, -0.86, 0.54, 31.49, 0.22, 1.32, 52.80, 0.01, 0.32, 0.35, 0.14, 0.44, 0.42, 0.07, 0.27, 0.31, 0.14, 0.38, 0.41, 0.56, 57.77, 0.53, 1.00, 0.35, 0.00009, 0.00106
