timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
36071, 0, 0.75, 0.50, -0.49, -0.15, -0.23, 0.01, 1.32, 52.80, 0.01, 0.27, 1.00, 0.00, 0.35, 1.00, 0.00, 0.21, 1.00, 0.00, 0.31, 1.00, 0.00, 0.00, 0.74, 1.00, 0.28, 0.00000, 0.00000
36188, 0, 0.75, 0.50, -0.90, 1.19, 11.75, 0.02, 1.32, 52.80, 0.01, 0.28, 0.18, 1.07, 0.37, 0.30, 0.86, 0.23, 0.20, 0.11, 0.32, 0.37, 1.09, 85.94, 0.73, 1.00, 0.30, -0.00000, 0.00000
36205, 0, 0.75, 0.50, -0.71, 1.47, 19.41, 0.04, 1.32, 52.80, 0.01, 0.25, 0.24, 1.02, 0.34, 0.42, 0.30, 0.21, 0.13, 0.23, 0.30, 0.37, 1.00, 85.94, 0.71, 1.00, 0.27, 0.00001, -0.00002
36217, 0, 0.75, 0.50, -0.85, 1.61, 24.14, 0.07, 1.32, 52.80, 0.01, 0.24, 0.27, 0.82, 0.32, 0.39, 0.14, 0.20, 0.18, 0.25, 0.28, 0.34, 0.84, 74.20, 0.68, 1.00, 0.26, 0.00003, -0.00012
36234, 0, 0.75, 0.50, -0.83, 1.38, 26.12, 0.09, 1.32, 52.80, 0.01, 0.24, 0.28, 0.46, 0.31, 0.34, 0.35, 0.20, 0.24, 0.09, 0.28, 0.31, 0.86, 66.53, 0.66, 1.00, 0.26, 0.00003, -0.00015
36244, 0, 0.75, 0.50, -0.73, 1.32, 27.32, 0.11, 1.32, 52.80, 0.01, 0.24, 0.28, 0.40, 0.32, 0.35, 0.16, 0.20, 0.25, 0.11, 0.28, 0.32, 0.63, 61.81, 0.64, 1.00, 0.26, 0.00003, -0.00000
36257, 0, 0.75, 0.50, -0.85, 1.05, 28.38, 0.13, 1.32, 52.80, 0.01, 0.25, 0.28, 0.28, 0.32, 0.35, 0.14, 0.20, 0.24, 0.12, 0.30, 0.32, 0.56, 59.82, 0.62, 1.00, 0.27, 0.00005, 0.00035
36275, 0, 0.75, 0.50, -0.85, 0.65, 29.53, 0.14, 1.32, 52.80, 0.01, 0.25, 0.28, 0.23, 0.34, 0.35, 0.04, 0.21, 0.23, 0.12, 0.30, 0.34, 0.47, 58.63, 0.61, 1.00, 0.28, 0.00007, 0.00100
36284, 0, 0.75, 0.50, -0.83, 0.47, 30.20, 0.15, 1.32, 52.80, 0.01, 0.27, 0.30, 0.12, 0.35, 0.35, 0.12, 0.21, 0.23, 0.14, 0.31, 0.35, 0.28, 57.57, 0.60, 1.00, 0.28, 0.00010, 0.00156
36297, 0, 0.75, 0.50, -0.86, 0.18, 30.53, 0.16, 1.32, 52.80, 0.01, 0.27, 0.30, 0.14, 0.35, 0.35, 0.18, 0.23, 0.24, 0.16, 0.32, 0.34, 0.35, 56.41, 0.59, 1.00, 0.29, 0.00014, 0.00195
36327, 0, 0.75, 0.50, -0.82, 0.05, 30.63, 0.17, 1.32, 52.80, 0.01, 0.28, 0.28, 0.14, 0.37, 0.37, 0.07, 0.23, 0.23, 0.16, 0.32, 0.32, 0.46, 55.74, 0.58, 1.00, 0.30, 0.00017, 0.00235
36337, 0, 0.75, 0.50, -0.69, 0.02, 30.69, 0.18, 1.32, 52.80, 0.01, 0.30, 0.28, 0.16, 0.38, 0.35, 0.23, 0.24, 0.23, 0.16, 0.34, 0.32, 0.47, 55.42, 0.57, 1.00, 0.31, 0.00021, 0.00289
36351, 0, 0.75, 0.50, -0.84, -0.14, 30.79, 0.18, 1.32, 52.80, 0.01, 0.31, 0.30, 0.23, 0.39, 0.38, 0.25, 0.24, 0.23, 0.12, 0.35, 0.32, 0.68, 55.31, 0.57, 1.00, 0.32, 0.00025, 0.00353
36367, 0, 0.75, 0.50, -0.77, 0.01, 30.83, 0.19, 1.32, 52.80, 0.01, 0.31, 0.31, 0.26, 0.41, 0.39, 0.26, 0.25, 0.23, 0.14, 0.37, 0.35, 0.67, 55.25, 0.56, 1.00, 0.33, 0.00029, 0.00415
36377, 0, 0.75, 0.50, -0.75, 0.08, 30.93, 0.20, 1.32, 52.80, 0.01, 0.32, 0.30, 0.33, 0.42, 0.37, 0.47, 0.27, 0.23, 0.09, 0.38, 0.35, 0.74, 55.15, 0.55, 1.00, 0.34, 0.00033, 0.00471
36391, 0, 0.75, 0.50, -0.68, 0.02, 31.02, 0.21, 1.32, 52.80, 0.01, 0.34, 0.31, 0.37, 0.44, 0.37, 0.86, 0.27, 0.23, 0.05, 0.39, 0.38, 0.79, 55.12, 0.54, 1.00, 0.35, 0.00037, 0.00521
36407, 0, 0.75, 0.50, -0.73, 0.24, 31.22, 0.22, 1.32, 52.80, 0.01, 0.34, 0.34, 0.40, 0.45, 0.41, 0.84, 0.28, 0.25, 0.09, 0.39, 0.39, 0.58, 55.02, 0.53, 1.00, 0.36, 0.00041, 0.00572
36417, 0, 0.75, 0.50, -0.70, 0.35, 31.40, 0.23, 1.32, 52.80, 0.01, 0.35, 0.32, 0.44, 0.46, 0.45, 0.81, 0.28, 0.25, 0.14, 0.41, 0.39, 0.81, 54.92, 0.52, 1.00, 0.37, 0.00045, 0.00623
36435, 0, 0.75, 0.50, -0.87, 0.44, 31.86, 0.24, 1.32, 52.80, 0.01, 0.37, 0.34, 0.58, 0.48, 0.45, 0.86, 0.30, 0.28, 0.12, 0.42, 0.44, 0.58, 54.73, 0.51, 1.00, 0.38, 0.00049, 0.00675
36444, 0, 0.75, 0.50, -1.00, 0.59, 32.10, 0.25, 1.32, 52.80, 0.01, 0.37, 0.39, 0.33, 0.48, 0.45, 0.93, 0.30, 0.30, 0.19, 0.44, 0.41, 0.67, 54.54, 0.50, 1.00, 0.39, 0.00052, 0.00721
36457, 0, 0.75, 0.50, -0.91, 0.67, 32.27, 0.27, 1.32, 52.80, 0.01, 0.38, 0.39, 0.25, 0.49, 0.49, 0.82, 0.31, 0.31, 0.09, 0.44, 0.42, 0.86, 54.09, 0.48, 1.00, 0.40, 0.00056, 0.00774
