timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
308181, 1, 0.75, 0.50, -0.70, 1.69, 83.67, 170.25, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 0.00, -169.50, 1.00, 0.28, -0.00010, 0.00012
308211, 1, 0.75, 0.50, -0.44, 1.68, 64.83, 170.27, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 85.94, -169.52, 1.00, 0.01, 0.00080, -0.00919
308223, 1, 0.75, 0.50, -0.21, 1.67, 34.03, 170.29, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 2.28, -169.54, 1.00, 0.08, 0.00044, -0.00845
308234, 1, 0.75, 0.50, -0.05, 1.67, 13.04, 170.30, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 21.11, -169.55, 1.00, 0.19, 0.00033, -0.00113
308247, 1, 0.75, 0.50, 0.05, 1.66, 5.35, 170.32, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 51.91, -169.57, 1.00, 0.30, 0.00110, 0.03664
308261, 1, 0.75, 0.50, 0.13, 1.66, 2.75, 170.33, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 72.90, -169.58, 1.00, 0.41, 0.00177, 0.10306
308274, 1, 0.75, 0.50, 0.18, 1.66, 1.66, 170.34, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 80.60, -169.59, 1.00, 0.43, 0.00209, 0.09946
308287, 1, 0.75, 0.50, 0.21, 1.66, 1.11, 170.36, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 83.20, -169.61, 1.00, 0.38, 0.00217, 0.03174
308301, 1, 0.75, 0.50, 0.24, 1.66, 0.79, 170.37, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.28, -169.62, 1.00, 0.35, 0.00213, -0.01725
308314, 1, 0.75, 0.50, 0.25, 1.65, 0.58, 170.38, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.84, -169.63, 1.00, 0.36, 0.00209, -0.01929
