timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
181421, 1, 0.75, 0.50, -0.57, 1.56, 77.26, 78.30, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, -1.02, -77.55, 1.00, 0.01, -0.01251, 0.01353
181446, 1, 0.75, 0.50, -0.33, 1.57, 53.72, 78.31, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, -0.54, -77.56, 1.00, 0.16, -0.01261, 0.13316
181457, 1, 0.75, 0.50, -0.13, 1.58, 24.89, 78.32, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 8.69, -77.57, 1.00, 0.33, -0.01301, 0.22087
181465, 1, 0.75, 0.50, 0.01, 1.58, 9.49, 78.33, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 32.23, -77.58, 1.00, 0.23, -0.01305, 0.02010
181474, 1, 0.75, 0.50, 0.11, 1.59, 4.23, 78.33, 0.90, 36.00, 0.01, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 61.06, -77.58, 1.00, -0.12, -0.01248, -0.38851
181487, 1, 0.75, 0.50, 0.17, 1.59, 2.32, 78.34, 0.90, 36.00, 0.01, 16.00, 0.00, 0.00, 16.00, 0.00, 0.00, 16.00, 0.00, 0.00, 16.00, 0.00, 0.00, 76.46, -77.59, 1.00, -0.32, -0.01201, -0.61437
181501, 1, 0.75, 0.50, 0.22, 1.60, 1.48, 78.34, 0.90, 36.00, 0.01, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 81.72, -77.59, 1.00, -0.14, -0.01177, -0.45766
181514, 1, 0.75, 0.50, 0.24, 1.60, 1.03, 78.35, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 83.62, -77.60, 1.00, 0.23, -0.01172, -0.10888
181527, 1, 0.75, 0.50, 0.27, 1.60, 0.75, 78.35, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.46, -77.60, 1.00, 0.46, -0.01176, 0.10222
181541, 1, 0.75, 0.50, 0.28, 1.60, 0.55, 78.35, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.92, -77.60, 1.00, 0.46, -0.01180, 0.08934
