timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
255327, 1, 0.75, 0.50, -0.65, 1.55, 79.77, 136.62, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, -3.14, -135.87, 1.00, 0.00, -0.00807, 0.00901
255356, 1, 0.75, 0.50, -0.43, 1.56, 56.31, 136.63, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, -2.66, -135.88, 1.00, 0.11, -0.00816, 0.08911
255367, 1, 0.75, 0.50, -0.24, 1.56, 26.23, 136.65, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 6.17, -135.90, 1.00, 0.25, -0.00857, 0.15132
255381, 1, 0.75, 0.50, -0.09, 1.57, 9.88, 136.66, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 29.63, -135.91, 1.00, 0.22, -0.00863, 0.01524
255394, 1, 0.75, 0.50, 0.03, 1.57, 4.36, 136.68, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 59.71, -135.93, 1.00, 0.01, -0.00801, -0.25759
255407, 1, 0.75, 0.50, 0.11, 1.57, 2.40, 136.69, 0.90, 36.00, 0.01, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 18.00, 0.00, 0.00, 76.06, -135.94, 1.00, -0.10, -0.00751, -0.39938
255421, 1, 0.75, 0.50, 0.16, 1.58, 1.52, 136.70, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 81.59, -135.95, 1.00, 0.02, -0.00726, -0.29519
255434, 1, 0.75, 0.50, 0.20, 1.58, 1.03, 136.71, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 83.55, -135.96, 1.00, 0.26, -0.00720, -0.07147
255447, 1, 0.75, 0.50, 0.22, 1.58, 0.74, 136.72, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.42, -135.97, 1.00, 0.42, -0.00725, 0.06513
255461, 1, 0.75, 0.50, 0.24, 1.58, 0.55, 136.73, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.91, -135.98, 1.00, 0.43, -0.00729, 0.05814
255486, 1, 0.75, 0.50, 0.26, 1.59, 0.41, 136.74, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.20, -135.99, 1.00, 0.41, -0.00730, 0.02516
255494, 1, 0.75, 0.50, 0.27, 1.59, 0.31, 136.75, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.39, -136.00, 1.00, 0.41, -0.00731, 0.00713
255502, 1, 0.75, 0.50, 0.28, 1.59, 0.24, 136.76, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.53, -136.01, 1.00, 0.42, -0.00731, 0.00133
