timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
357034, 1, 0.75, 0.50, -0.84, 1.60, 81.25, 203.22, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, -1.35, -202.47, 1.00, 0.00, -0.00614, 0.00698
357090, 1, 0.75, 0.50, -0.61, 1.61, 63.01, 203.24, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, -1.42, -202.49, 1.00, 0.08, -0.00621, 0.06950
357103, 1, 0.75, 0.50, -0.38, 1.61, 33.46, 203.26, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 4.69, -202.51, 1.00, 0.20, -0.00655, 0.12301
357114, 1, 0.75, 0.50, -0.18, 1.61, 13.08, 203.28, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.94, -202.53, 1.00, 0.20, -0.00665, 0.02271
357127, 1, 0.75, 0.50, -0.04, 1.62, 5.44, 203.30, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 52.49, -202.55, 1.00, 0.06, -0.00592, -0.19012
357141, 1, 0.75, 0.50, 0.06, 1.62, 2.78, 203.31, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 72.86, -202.56, 1.00, -0.01, -0.00528, -0.29847
357154, 1, 0.75, 0.50, 0.13, 1.62, 1.68, 203.32, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 80.51, -202.57, 1.00, 0.08, -0.00496, -0.22981
357167, 1, 0.75, 0.50, 0.17, 1.62, 1.12, 203.34, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 83.16, -202.59, 1.00, 0.26, -0.00488, -0.07084
357181, 1, 0.75, 0.50, 0.21, 1.63, 0.79, 203.35, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.26, -202.60, 1.00, 0.39, -0.00492, 0.03723
357194, 1, 0.75, 0.50, 0.23, 1.63, 0.60, 203.37, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.82, -202.62, 1.00, 0.41, -0.00496, 0.04390
357207, 1, 0.75, 0.50, 0.25, 1.63, 0.44, 203.38, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.16, -202.63, 1.00, 0.40, -0.00498, 0.02260
357221, 1, 0.75, 0.50, 0.27, 1.63, 0.33, 203.39, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.35, -202.64, 1.00, 0.40, -0.00499, 0.00742
357234, 1, 0.75, 0.50, 0.28, 1.63, 0.26, 203.41, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.50, -202.66, 1.00, 0.41, -0.00499, 0.00172
357247, 1, 0.75, 0.50, 0.29, 1.63, 0.20, 203.42, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.61, -202.67, 1.00, 0.43, -0.00499, 0.00008
357261, 1, 0.75, 0.50, 0.29, 1.63, 0.15, 203.43, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.69, -202.68, 1.00, 0.44, -0.00499, -0.00034
357274, 1, 0.75, 0.50, 0.30, 1.63, 0.10, 203.44, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.75, -202.69, 1.00, 0.46, -0.00499, -0.00041
357287, 1, 0.75, 0.50, 0.30, 1.63, 0.06, 203.46, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.79, -202.71, 1.00, 0.47, -0.00499, -0.00036
357301, 1, 0.75, 0.50, 0.31, 1.63, 0.04, 203.47, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.84, -202.72, 1.00, 0.49, -0.00499, -0.00031
357314, 1, 0.75, 0.50, 0.31, 1.63, 0.00, 203.48, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.88, -202.73, 1.00, 0.50, -0.00499, -0.00027
357327, 1, 0.75, 0.50, 0.31, 1.63, -0.02, 203.50, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.91, -202.75, 1.00, 0.52, -0.00499, -0.00020
357357, 1, 0.75, 0.50, 0.32, 1.63, -0.04, 203.51, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -202.76, 1.00, 0.53, -0.00499, -0.00011
357367, 1, 0.75, 0.50, 0.32, 1.63, -0.06, 203.52, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -202.77, 1.00, 0.55, -0.00499, -0.00001
357381, 1, 0.75, 0.50, 0.32, 1.63, -0.07, 203.53, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -202.78, 1.00, 0.56, -0.00499, 0.00006
357399, 1, 0.75, 0.50, 0.32, 1.63, -0.08, 203.55, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -202.80, 1.00, 0.58, -0.00499, 0.00009
357407, 1, 0.75, 0.50, 0.33, 1.63, -0.09, 203.56, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -202.81, 1.00, 0.59, -0.00499, 0.00007
357421, 1, 0.75, 0.50, 0.33, 1.63, -0.10, 203.57, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -202.82, 1.00, 0.61, -0.00499, 0.00003
357497, 1, 0.75, 0.50, 0.33, 1.63, -0.11, 203.59, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -202.84, 1.00, 0.62, -0.00499, 0.00001
357504, 1, 0.75, 0.50, 0.33, 1.63, -0.11, 203.60, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -202.85, 1.00, 0.64, -0.00499, 0.00000
357516, 1, 0.75, 0.50, 0.33, 1.63, -0.12, 203.61, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -202.86, 1.00, 0.65, -0.00499, 0.00000
357527, 1, 0.75, 0.50, 0.33, 1.63, -0.13, 203.62, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -202.87, 1.00, 0.67, -0.00499, 0.00000
357541, 1, 0.75, 0.50, 0.33, 1.63, -0.14, 203.64, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -202.89, 1.00, 0.68, -0.00499, 0.00000
357554, 1, 0.75, 0.50, 0.33, 1.63, -0.14, 203.65, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -202.90, 1.00, 0.70, -0.00499, 0.00000
357567, 1, 0.75, 0.50, 0.33, 1.63, -0.15, 203.66, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -202.91, 1.00, 0.71, -0.00499, 0.00000
357581, 1, 0.75, 0.50, 0.33, 1.63, -0.15, 203.67, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -202.92, 1.00, 0.73, -0.00499, 0.00000
357594, 1, 0.75, 0.50, 0.33, 1.63, -0.16, 203.69, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -202.94, 1.00, 0.74, -0.00499, 0.00000
357607, 1, 0.75, 0.50, 0.33, 1.63, -0.16, 203.70, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -202.95, 1.00, 0.76, -0.00499, 0.00000
357621, 1, 0.75, 0.50, 0.33, 1.63, -0.17, 203.71, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -202.96, 1.00, 0.77, -0.00499, 0.00000
357634, 1, 0.75, 0.50, 0.33, 1.63, -0.18, 203.73, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -202.98, 1.00, 0.79, -0.00499, 0.00000
357647, 1, 0.75, 0.50, 0.33, 1.63, -0.18, 203.74, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -202.99, 1.00, 0.80, -0.00499, 0.00000
357661, 1, 0.75, 0.50, 0.34, 1.63, -0.18, 203.75, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -203.00, 1.00, 0.82, -0.00499, 0.00000
357674, 1, 0.75, 0.50, 0.34, 1.63, -0.18, 203.76, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -203.01, 1.00, 0.83, -0.00499, 0.00000
357687, 1, 0.75, 0.50, 0.34, 1.63, -0.18, 203.78, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -203.03, 1.00, 0.85, -0.00499, 0.00000
357714, 1, 0.75, 0.50, 0.34, 1.63, -0.19, 203.79, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -203.04, 1.00, 0.86, -0.00499, 0.00000
357727, 1, 0.75, 0.50, 0.34, 1.63, -0.19, 203.80, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -203.05, 1.00, 0.88, -0.00499, 0.00000
357741, 1, 0.75, 0.50, 0.34, 1.63, -0.20, 203.81, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -203.06, 1.00, 0.89, -0.00499, 0.00000
357754, 1, 0.75, 0.50, 0.34, 1.63, -0.20, 203.83, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -203.08, 1.00, 0.91, -0.00499, 0.00000
357767, 1, 0.75, 0.50, 0.34, 1.63, -0.20, 203.84, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -203.09, 1.00, 0.92, -0.00499, 0.00000
