timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
423287, 1, 0.75, 0.50, -0.36, 1.85, 61.46, 271.07, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 17.66, -270.32, 1.00, 0.06, -0.00131, 0.00113
423322, 1, 0.75, 0.50, -0.25, 1.81, 45.09, 271.09, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 17.30, -270.34, 1.00, 0.09, -0.00138, 0.01162
423330, 1, 0.75, 0.50, -0.13, 1.77, 24.24, 271.11, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 24.48, -270.36, 1.00, 0.16, -0.00162, 0.02245
423341, 1, 0.75, 0.50, -0.03, 1.75, 10.86, 271.13, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 40.86, -270.38, 1.00, 0.22, -0.00167, 0.00356
423354, 1, 0.75, 0.50, 0.05, 1.72, 5.24, 271.15, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 61.71, -270.40, 1.00, 0.24, -0.00127, -0.03058
423367, 1, 0.75, 0.50, 0.11, 1.70, 2.95, 271.16, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 75.08, -270.41, 1.00, 0.27, -0.00088, -0.03648
423394, 1, 0.75, 0.50, 0.15, 1.69, 1.87, 271.18, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 80.70, -270.43, 1.00, 0.30, -0.00066, -0.02221
423407, 1, 0.75, 0.50, 0.19, 1.67, 1.26, 271.19, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 83.00, -270.44, 1.00, 0.34, -0.00061, -0.00641
423421, 1, 0.75, 0.50, 0.21, 1.66, 0.91, 271.21, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.08, -270.46, 1.00, 0.36, -0.00063, 0.00299
423434, 1, 0.75, 0.50, 0.23, 1.65, 0.68, 271.22, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.68, -270.47, 1.00, 0.38, -0.00066, 0.00354
423447, 1, 0.75, 0.50, 0.25, 1.65, 0.51, 271.24, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.03, -270.49, 1.00, 0.39, -0.00067, 0.00182
423461, 1, 0.75, 0.50, 0.26, 1.64, 0.39, 271.25, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.27, -270.50, 1.00, 0.41, -0.00067, 0.00061
423474, 1, 0.75, 0.50, 0.27, 1.63, 0.31, 271.27, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.43, -270.52, 1.00, 0.42, -0.00067, 0.00013
423487, 1, 0.75, 0.50, 0.28, 1.63, 0.23, 271.28, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.55, -270.53, 1.00, 0.44, -0.00067, -0.00002
423501, 1, 0.75, 0.50, 0.29, 1.62, 0.18, 271.29, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 4.00, 0.04, 24.00, 0.00, 0.00, 85.64, -270.54, 1.00, 0.45, -0.00067, -0.00006
423514, 1, 0.75, 0.50, 0.30, 1.62, 0.13, 271.31, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 10.00, 0.11, 24.00, 0.00, 0.00, 85.71, -270.56, 1.00, 0.47, -0.00067, -0.00007
