timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
608594, 1, 0.75, 0.50, -0.53, 2.04, 79.95, 422.00, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, -0.23, -421.25, 1.00, 0.01, -0.00572, 0.00641
608632, 1, 0.75, 0.50, -0.30, 2.04, 61.71, 422.03, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, -0.24, -421.28, 1.00, 0.08, -0.00579, 0.06379
608640, 1, 0.75, 0.50, -0.06, 2.05, 32.69, 422.05, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 5.99, -421.30, 1.00, 0.19, -0.00613, 0.11302
608648, 1, 0.75, 0.50, 0.13, 2.05, 12.84, 422.07, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 24.24, -421.32, 1.00, 0.20, -0.00622, 0.02050
608661, 1, 0.75, 0.50, 0.27, 2.05, 5.38, 422.09, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 53.25, -421.34, 1.00, 0.08, -0.00552, -0.17447
608674, 1, 0.75, 0.50, 0.36, 2.05, 2.83, 422.11, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 73.11, -421.36, 1.00, 0.02, -0.00490, -0.27200
608687, 1, 0.75, 0.50, 0.42, 2.05, 1.72, 422.13, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 80.56, -421.38, 1.00, 0.11, -0.00459, -0.20840
608701, 1, 0.75, 0.50, 0.47, 2.05, 1.17, 422.15, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 83.12, -421.40, 1.00, 0.27, -0.00451, -0.06382
608714, 1, 0.75, 0.50, 0.50, 2.05, 0.84, 422.17, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.22, -421.42, 1.00, 0.38, -0.00455, 0.03389
608727, 1, 0.75, 0.50, 0.52, 2.06, 0.62, 422.19, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.78, -421.44, 1.00, 0.40, -0.00459, 0.03955
608741, 1, 0.75, 0.50, 0.54, 2.06, 0.45, 422.21, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.10, -421.46, 1.00, 0.40, -0.00461, 0.02015
608754, 1, 0.75, 0.50, 0.55, 2.06, 0.34, 422.23, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.33, -421.48, 1.00, 0.40, -0.00462, 0.00646
608767, 1, 0.75, 0.50, 0.57, 2.06, 0.24, 422.25, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.49, -421.50, 1.00, 0.41, -0.00462, 0.00138
608781, 1, 0.75, 0.50, 0.58, 2.06, 0.18, 422.26, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.61, -421.51, 1.00, 0.43, -0.00462, -0.00004
