timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
136034, 1, 0.75, 0.50, -1.15, 0.15, 80.65, 56.58, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 0.00, -55.83, 1.00, 0.28, -0.00010, 0.00011
136060, 1, 0.75, 0.50, -0.77, 0.61, 64.89, 56.59, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 85.94, -55.84, 1.00, 0.02, 0.00074, -0.00823
136072, 1, 0.75, 0.50, -0.41, 0.97, 36.79, 56.60, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 5.29, -55.85, 1.00, 0.08, 0.00044, -0.00833
136080, 1, 0.75, 0.50, -0.14, 1.20, 14.93, 56.60, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 21.05, -55.85, 1.00, 0.18, 0.00032, -0.00133
136091, 1, 0.75, 0.50, 0.01, 1.33, 6.12, 56.60, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 49.16, -55.85, 1.00, 0.29, 0.00108, 0.03380
136101, 1, 0.75, 0.50, 0.11, 1.41, 3.12, 56.59, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 71.01, -55.84, 1.00, 0.40, 0.00178, 0.10183
136114, 1, 0.75, 0.50, 0.17, 1.46, 1.89, 56.59, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 79.82, -55.84, 1.00, 0.43, 0.00213, 0.10295
136127, 1, 0.75, 0.50, 0.22, 1.50, 1.27, 56.59, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 82.82, -55.84, 1.00, 0.38, 0.00222, 0.03733
136141, 1, 0.75, 0.50, 0.24, 1.52, 0.88, 56.58, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.06, -55.83, 1.00, 0.35, 0.00219, -0.01403
136154, 1, 0.75, 0.50, 0.26, 1.53, 0.64, 56.57, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.68, -55.82, 1.00, 0.36, 0.00215, -0.01915
136167, 1, 0.75, 0.50, 0.28, 1.54, 0.48, 56.57, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.07, -55.82, 1.00, 0.38, 0.00212, -0.01049
136181, 1, 0.75, 0.50, 0.29, 1.55, 0.37, 56.56, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.30, -55.81, 1.00, 0.41, 0.00212, -0.00356
136206, 1, 0.75, 0.50, 0.30, 1.56, 0.28, 56.56, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.47, -55.81, 1.00, 0.42, 0.00211, -0.00083
136214, 1, 0.75, 0.50, 0.30, 1.57, 0.20, 56.55, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.58, -55.80, 1.00, 0.44, 0.00211, -0.00007
136222, 1, 0.75, 0.50, 0.31, 1.57, 0.15, 56.55, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.67, -55.80, 1.00, 0.46, 0.00211, 0.00012
136236, 1, 0.75, 0.50, 0.31, 1.57, 0.10, 56.54, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.74, -55.79, 1.00, 0.47, 0.00212, 0.00017
136247, 1, 0.75, 0.50, 0.32, 1.58, 0.07, 56.53, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.80, -55.78, 1.00, 0.49, 0.00212, 0.00016
136261, 1, 0.75, 0.50, 0.32, 1.58, 0.04, 56.53, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.84, -55.78, 1.00, 0.50, 0.00212, 0.00014
136274, 1, 0.75, 0.50, 0.32, 1.58, 0.02, 56.52, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.87, -55.77, 1.00, 0.52, 0.00212, 0.00010
