timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
218741, 1, 0.75, 0.50, -0.58, 1.59, 79.68, 104.68, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 0.00, -103.93, 1.00, 0.28, -0.00009, 0.00011
218769, 1, 0.75, 0.50, -0.40, 1.59, 60.77, 104.70, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 85.94, -103.95, 1.00, 0.03, 0.00072, -0.00784
218781, 1, 0.75, 0.50, -0.24, 1.60, 31.67, 104.71, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 6.27, -103.96, 1.00, 0.09, 0.00037, -0.00675
218794, 1, 0.75, 0.50, -0.09, 1.60, 12.37, 104.72, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 25.17, -103.97, 1.00, 0.20, 0.00028, -0.00085
218807, 1, 0.75, 0.50, 0.02, 1.60, 5.19, 104.73, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 54.27, -103.98, 1.00, 0.30, 0.00097, 0.03056
218821, 1, 0.75, 0.50, 0.09, 1.60, 2.74, 104.74, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 73.58, -103.99, 1.00, 0.39, 0.00157, 0.08635
218834, 1, 0.75, 0.50, 0.15, 1.61, 1.70, 104.75, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 80.75, -104.00, 1.00, 0.41, 0.00187, 0.08321
218847, 1, 0.75, 0.50, 0.19, 1.61, 1.12, 104.76, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 83.20, -104.01, 1.00, 0.37, 0.00194, 0.02616
218861, 1, 0.75, 0.50, 0.22, 1.61, 0.81, 104.77, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.25, -104.02, 1.00, 0.35, 0.00190, -0.01456
218887, 1, 0.75, 0.50, 0.25, 1.61, 0.60, 104.78, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.82, -104.03, 1.00, 0.36, 0.00186, -0.01583
218901, 1, 0.75, 0.50, 0.26, 1.61, 0.45, 104.79, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.14, -104.04, 1.00, 0.39, 0.00184, -0.00778
218914, 1, 0.75, 0.50, 0.28, 1.61, 0.35, 104.79, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.34, -104.04, 1.00, 0.41, 0.00183, -0.00245
218927, 1, 0.75, 0.50, 0.29, 1.61, 0.28, 104.80, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.49, -104.05, 1.00, 0.43, 0.00183, -0.00053
218941, 1, 0.75, 0.50, 0.29, 1.61, 0.22, 104.81, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.60, -104.06, 1.00, 0.44, 0.00183, -0.00001
218954, 1, 0.75, 0.50, 0.30, 1.61, 0.17, 104.82, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.67, -104.07, 1.00, 0.46, 0.00183, 0.00013
218967, 1, 0.75, 0.50, 0.31, 1.61, 0.13, 104.83, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.73, -104.08, 1.00, 0.47, 0.00183, 0.00015
218981, 1, 0.75, 0.50, 0.31, 1.61, 0.09, 104.83, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.78, -104.08, 1.00, 0.49, 0.00183, 0.00015
218994, 1, 0.75, 0.50, 0.31, 1.61, 0.06, 104.84, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.82, -104.09, 1.00, 0.50, 0.00183, 0.00013
219007, 1, 0.75, 0.50, 0.32, 1.61, 0.04, 104.85, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.86, -104.10, 1.00, 0.52, 0.00183, 0.00011
219021, 1, 0.75, 0.50, 0.32, 1.61, 0.01, 104.86, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.88, -104.11, 1.00, 0.53, 0.00183, 0.00009
219034, 1, 0.75, 0.50, 0.32, 1.61, -0.02, 104.87, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.90, -104.12, 1.00, 0.55, 0.00183, 0.00006
219047, 1, 0.75, 0.50, 0.33, 1.61, -0.03, 104.87, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -104.12, 1.00, 0.56, 0.00183, 0.00004
