timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
393234, 1, 0.75, 0.50, -0.67, 1.43, 78.32, 236.38, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 0.00, -235.63, 1.00, 0.28, -0.00009, 0.00010
393267, 1, 0.75, 0.50, -0.38, 1.45, 60.96, 236.40, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 85.94, -235.65, 1.00, 0.03, 0.00069, -0.00745
393275, 1, 0.75, 0.50, -0.15, 1.47, 32.97, 236.42, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 7.62, -235.67, 1.00, 0.09, 0.00037, -0.00676
393287, 1, 0.75, 0.50, 0.02, 1.49, 13.28, 236.43, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 24.99, -235.68, 1.00, 0.19, 0.00027, -0.00094
393301, 1, 0.75, 0.50, 0.12, 1.50, 5.65, 236.45, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 52.97, -235.70, 1.00, 0.30, 0.00096, 0.02946
393314, 1, 0.75, 0.50, 0.19, 1.51, 2.96, 236.46, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 72.67, -235.71, 1.00, 0.39, 0.00157, 0.08590
393341, 1, 0.75, 0.50, 0.24, 1.52, 1.76, 236.47, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 80.30, -235.72, 1.00, 0.41, 0.00188, 0.08481
393354, 1, 0.75, 0.50, 0.27, 1.53, 1.15, 236.49, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 82.98, -235.74, 1.00, 0.38, 0.00196, 0.02857
393367, 1, 0.75, 0.50, 0.29, 1.53, 0.81, 236.50, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.19, -235.75, 1.00, 0.35, 0.00193, -0.01319
393381, 1, 0.75, 0.50, 0.31, 1.54, 0.59, 236.51, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.79, -235.76, 1.00, 0.36, 0.00189, -0.01572
