timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
575381, 1, 0.75, 0.50, -1.21, 1.89, 97.82, 381.80, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 0.00, -381.05, 1.00, 0.28, -0.00012, 0.00016
575420, 1, 0.75, 0.50, -0.69, 1.92, 72.93, 381.83, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 85.94, -381.08, 1.00, -0.04, 0.00112, -0.01500
575428, 1, 0.75, 0.50, -0.22, 1.94, 33.91, 381.85, 0.90, 36.00, 0.01, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, 20.00, 0.00, 0.00, -11.88, -381.10, 1.00, 0.04, 0.00059, -0.01302
575439, 1, 0.75, 0.50, 0.11, 1.96, 11.38, 381.87, 0.90, 36.00, 0.01, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 22.00, 0.00, 0.00, 13.01, -381.12, 1.00, 0.18, 0.00048, -0.00136
575447, 1, 0.75, 0.50, 0.30, 1.98, 4.44, 381.89, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 52.04, -381.14, 1.00, 0.33, 0.00146, 0.05820
575461, 1, 0.75, 0.50, 0.41, 1.99, 2.27, 381.91, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 74.56, -381.16, 1.00, 0.45, 0.00219, 0.14672
575474, 1, 0.75, 0.50, 0.46, 2.00, 1.40, 381.92, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 81.50, -381.17, 1.00, 0.46, 0.00252, 0.13153
575487, 1, 0.75, 0.50, 0.50, 2.01, 0.94, 381.94, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 83.67, -381.19, 1.00, 0.38, 0.00259, 0.03375
575501, 1, 0.75, 0.50, 0.53, 2.01, 0.68, 381.96, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 84.55, -381.21, 1.00, 0.33, 0.00253, -0.03017
575514, 1, 0.75, 0.50, 0.55, 2.02, 0.50, 381.98, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.00, -381.23, 1.00, 0.35, 0.00248, -0.02766
575527, 1, 0.75, 0.50, 0.56, 2.02, 0.37, 381.99, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.27, -381.24, 1.00, 0.38, 0.00246, -0.01209
575541, 1, 0.75, 0.50, 0.56, 2.02, 0.26, 382.01, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.44, -381.26, 1.00, 0.40, 0.00245, -0.00337
575554, 1, 0.75, 0.50, 0.57, 2.03, 0.20, 382.03, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.58, -381.28, 1.00, 0.42, 0.00245, -0.00065
575567, 1, 0.75, 0.50, 0.58, 2.03, 0.15, 382.05, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.68, -381.30, 1.00, 0.44, 0.00245, 0.00002
575581, 1, 0.75, 0.50, 0.58, 2.03, 0.11, 382.06, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.75, -381.31, 1.00, 0.45, 0.00245, 0.00015
575594, 1, 0.75, 0.50, 0.59, 2.04, 0.07, 382.08, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.80, -381.33, 1.00, 0.47, 0.00245, 0.00015
575621, 1, 0.75, 0.50, 0.59, 2.04, 0.04, 382.10, 0.90, 36.00, 0.01, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 24.00, 0.00, 0.00, 85.83, -381.35, 1.00, 0.48, 0.00245, 0.00011
575634, 1, 0.75, 0.50, 0.59, 2.04, 0.01, 382.12, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.87, -381.37, 1.00, 0.50, 0.00245, 0.00010
575647, 1, 0.75, 0.50, 0.59, 2.04, -0.01, 382.13, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.91, -381.38, 1.00, 0.51, 0.00245, 0.00008
575661, 1, 0.75, 0.50, 0.60, 2.04, -0.03, 382.15, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.93, -381.40, 1.00, 0.53, 0.00245, 0.00006
575674, 1, 0.75, 0.50, 0.60, 2.04, -0.05, 382.17, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -381.42, 1.00, 0.54, 0.00245, 0.00002
575687, 1, 0.75, 0.50, 0.60, 2.05, -0.07, 382.19, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -381.44, 1.00, 0.56, 0.00245, -0.00002
575701, 1, 0.75, 0.50, 0.60, 2.05, -0.08, 382.20, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -381.45, 1.00, 0.57, 0.00245, -0.00004
575714, 1, 0.75, 0.50, 0.61, 2.05, -0.10, 382.22, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -381.47, 1.00, 0.59, 0.00245, -0.00003
575727, 1, 0.75, 0.50, 0.61, 2.05, -0.11, 382.24, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -381.49, 1.00, 0.60, 0.00245, -0.00002
575741, 1, 0.75, 0.50, 0.61, 2.05, -0.12, 382.26, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -381.51, 1.00, 0.62, 0.00245, -0.00001
575754, 1, 0.75, 0.50, 0.61, 2.05, -0.12, 382.27, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -381.52, 1.00, 0.63, 0.00245, -0.00000
575767, 1, 0.75, 0.50, 0.61, 2.05, -0.13, 382.29, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -381.54, 1.00, 0.65, 0.00245, 0.00000
575781, 1, 0.75, 0.50, 0.61, 2.05, -0.14, 382.31, 0.90, 36.00, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 85.94, -381.56, 1.00, 0.66, 0.00245, 0.00000
575794, 1, 0.75, 0.50, 0.61, 2.05, -0.14, 382.33, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -381.58, 1.00, 0.68, 0.00245, 0.00000
575807, 1, 0.75, 0.50, 0.61, 2.05, -0.15, 382.34, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -381.59, 1.00, 0.69, 0.00245, 0.00000
575821, 1, 0.75, 0.50, 0.61, 2.05, -0.16, 382.36, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -381.61, 1.00, 0.71, 0.00245, 0.00000
575834, 1, 0.75, 0.50, 0.61, 2.05, -0.16, 382.38, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -381.63, 1.00, 0.72, 0.00245, 0.00000
575847, 1, 0.75, 0.50, 0.61, 2.05, -0.16, 382.40, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -381.65, 1.00, 0.74, 0.00245, 0.00000
575861, 1, 0.75, 0.50, 0.61, 2.05, -0.17, 382.41, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -381.66, 1.00, 0.75, 0.00245, 0.00000
575874, 1, 0.75, 0.50, 0.61, 2.05, -0.17, 382.43, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -381.68, 1.00, 0.77, 0.00245, 0.00000
575887, 1, 0.75, 0.50, 0.61, 2.05, -0.18, 382.45, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -381.70, 1.00, 0.79, 0.00245, 0.00000
575901, 1, 0.75, 0.50, 0.61, 2.06, -0.18, 382.47, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -381.72, 1.00, 0.80, 0.00245, 0.00000
575926, 1, 0.75, 0.50, 0.61, 2.06, -0.19, 382.48, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -381.73, 1.00, 0.82, 0.00245, 0.00000
575934, 1, 0.75, 0.50, 0.61, 2.06, -0.19, 382.50, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -381.75, 1.00, 0.83, 0.00245, 0.00000
575949, 1, 0.75, 0.50, 0.61, 2.06, -0.20, 382.52, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -381.77, 1.00, 0.85, 0.00245, 0.00000
575957, 1, 0.75, 0.50, 0.61, 2.06, -0.20, 382.54, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -381.79, 1.00, 0.86, 0.00245, 0.00000
575967, 1, 0.75, 0.50, 0.61, 2.06, -0.20, 382.55, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -381.80, 1.00, 0.88, 0.00245, 0.00000
575981, 1, 0.75, 0.50, 0.62, 2.06, -0.21, 382.57, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -381.82, 1.00, 0.89, 0.00245, 0.00000
575994, 1, 0.75, 0.50, 0.62, 2.06, -0.21, 382.59, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -381.84, 1.00, 0.91, 0.00245, 0.00000
576007, 1, 0.75, 0.50, 0.62, 2.06, -0.21, 382.61, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -381.86, 1.00, 0.92, 0.00245, 0.00000
576021, 1, 0.75, 0.50, 0.62, 2.06, -0.21, 382.62, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -381.87, 1.00, 0.94, 0.00245, 0.00000
576034, 1, 0.75, 0.50, 0.62, 2.06, -0.22, 382.64, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -381.89, 1.00, 0.95, 0.00245, 0.00000
576047, 1, 0.75, 0.50, 0.62, 2.06, -0.22, 382.66, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -381.91, 1.00, 0.97, 0.00245, 0.00000
576061, 1, 0.75, 0.50, 0.62, 2.06, -0.22, 382.68, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -381.93, 1.00, 0.98, 0.00245, 0.00000
576074, 1, 0.75, 0.50, 0.62, 2.06, -0.22, 382.69, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -381.94, 1.00, 1.00, 0.00245, 0.00000
576087, 1, 0.75, 0.50, 0.62, 2.06, -0.22, 382.71, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -381.96, 1.00, 1.01, 0.00245, 0.00000
576101, 1, 0.75, 0.50, 0.62, 2.06, -0.22, 382.73, 0.90, 36.00, 0.01, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 30.00, 0.00, 0.00, 85.94, -381.98, 1.00, 1.03, 0.00245, 0.00000
576114, 1, 0.75, 0.50, 0.62, 2.06, -0.23, 382.75, 0.90, 36.00, 0.01, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 85.94, -382.00, 1.00, 1.04, 0.00245, 0.00000
576127, 1, 0.75, 0.50, 0.62, 2.06, -0.23, 382.76, 0.90, 36.00, 0.01, 32.00, 2.00, 0.02, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 85.94, -382.01, 1.00, 1.06, 0.00245, 0.00000
576141, 1, 0.75, 0.50, 0.62, 2.06, -0.23, 382.78, 0.90, 36.00, 0.01, 32.00, 12.00, 0.12, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 85.94, -382.03, 1.00, 1.07, 0.00245, 0.00000
576154, 1, 0.75, 0.50, 0.62, 2.06, -0.23, 382.80, 0.90, 36.00, 0.01, 32.00, 18.00, 0.19, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 85.94, -382.05, 1.00, 1.09, 0.00245, 0.00000
576167, 1, 0.75, 0.50, 0.62, 2.06, -0.23, 382.82, 0.90, 36.00, 0.01, 32.00, 22.00, 0.23, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 85.94, -382.07, 1.00, 1.10, 0.00245, 0.00000
576181, 1, 0.75, 0.50, 0.62, 2.07, -0.22, 382.83, 0.90, 36.00, 0.01, 32.00, 28.00, 0.28, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 85.94, -382.08, 1.00, 1.12, 0.00245, 0.00000
