timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
106103, 3, 0.75, 0.50, -0.99, -0.36, 68.77, 26.20, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.08, 0.00, 0.61, 0.08, 0.00, 0.86, 0.10, 0.00, 9.28, -25.45, 1.00, -0.38, 3.00000, -2.88832
106129, 3, 0.75, 0.50, -0.84, -0.31, 50.11, 26.21, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.08, 0.00, 0.61, 0.08, 0.00, 0.86, 0.10, 0.00, 9.58, -25.46, 1.00, -16.58, 2.24827, -21.21286
106137, 3, 0.75, 0.50, -0.75, -0.27, 25.72, 26.22, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.08, 0.00, 0.61, 0.08, 0.00, 0.86, 0.10, 0.00, 17.17, -25.47, 1.00, 21.00, -0.72672, 11.23310
106150, 3, 0.75, 0.50, -0.69, -0.25, 10.75, 26.23, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.08, 0.00, 0.61, 0.08, 0.00, 0.86, 0.10, 0.00, 35.84, -25.48, 1.00, 19.41, -1.28176, 2.75216
106159, 3, 0.75, 0.50, -0.66, -0.23, 4.90, 26.24, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.08, 0.00, 0.61, 0.08, 0.00, 0.86, 0.10, 0.00, 60.22, -25.49, 1.00, 103.03, 3.00000, 81.59937
106170, 3, 0.75, 0.50, -0.63, -0.22, 2.67, 26.25, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.08, 0.00, 0.61, 0.08, 0.00, 0.86, 0.10, 0.00, 75.19, -25.50, 1.00, 163.10, 3.00000, 139.07703
106183, 3, 0.75, 0.50, -0.61, -0.21, 1.69, 26.26, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.08, 0.00, 0.61, 0.08, 0.00, 0.86, 0.10, 0.00, 81.04, -25.51, 1.00, 136.39, 3.00000, 110.64939
106197, 3, 0.75, 0.50, -0.59, -0.20, 1.16, 26.27, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.08, 0.00, 0.61, 0.08, 0.00, 0.86, 0.10, 0.00, 83.27, -25.52, 1.00, 59.48, 3.00000, 32.31089
106210, 3, 0.75, 0.50, -0.58, -0.19, 0.83, 26.27, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.08, 0.00, 0.61, 0.08, 0.00, 0.86, 0.10, 0.00, 84.25, -25.52, 1.00, 11.51, 2.68566, -16.98521
106223, 3, 0.75, 0.50, -0.57, -0.19, 0.62, 26.28, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.08, 0.00, 0.61, 0.08, 0.00, 0.86, 0.10, 0.00, 84.79, -25.53, 1.00, 14.19, 2.37086, -15.58081
