timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
135957, 3, 0.75, 0.50, -1.14, 0.17, 65.91, 53.24, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.13, 0.00, 12.84, -52.49, 1.00, 0.53, 3.00000, -2.76815
135984, 3, 0.75, 0.50, -0.94, 0.10, 48.11, 53.25, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.13, 0.00, 12.57, -52.50, 1.00, -15.17, 2.27700, -20.59284
135997, 3, 0.75, 0.50, -0.81, 0.05, 25.11, 53.27, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.13, 0.00, 20.04, -52.52, 1.00, 17.41, -0.47421, 7.03328
136010, 3, 0.75, 0.50, -0.73, 0.01, 10.76, 53.27, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.13, 0.00, 37.84, -52.52, 1.00, 19.06, -0.99889, 2.13131
136023, 3, 0.75, 0.50, -0.68, -0.02, 5.02, 53.28, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.13, 0.00, 60.83, -52.53, 1.00, 99.41, 3.00000, 77.86784
136037, 3, 0.75, 0.50, -0.64, -0.03, 2.84, 53.29, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.13, 0.00, 75.18, -52.54, 1.00, 157.34, 3.00000, 133.23036
136050, 3, 0.75, 0.50, -0.62, -0.05, 1.79, 53.30, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.13, 0.00, 80.92, -52.55, 1.00, 132.41, 3.00000, 106.58930
136063, 3, 0.75, 0.50, -0.60, -0.06, 1.23, 53.31, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.13, 0.00, 83.10, -52.56, 1.00, 59.25, 3.00000, 31.98800
136077, 3, 0.75, 0.50, -0.58, -0.06, 0.87, 53.32, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.13, 0.00, 84.15, -52.57, 1.00, 13.05, 2.71421, -15.54087
136090, 3, 0.75, 0.50, -0.57, -0.07, 0.64, 53.32, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.13, 0.00, 84.72, -52.57, 1.00, 15.13, 2.42082, -14.74532
136103, 3, 0.75, 0.50, -0.56, -0.08, 0.50, 53.33, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.13, 0.00, 85.07, -52.58, 1.00, 24.37, 2.28152, -6.75486
