timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
167717, 3, 0.75, 0.50, -1.30, -0.40, 65.09, 80.68, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 14.06, -79.93, 1.00, 1.07, 3.00000, -2.73376
167745, 3, 0.75, 0.50, -1.14, -0.34, 49.46, 80.70, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 14.52, -79.95, 1.00, -15.60, 2.37389, -21.26715
167758, 3, 0.75, 0.50, -1.00, -0.30, 27.43, 80.71, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 20.85, -79.96, 1.00, 11.31, -0.08373, 1.25024
167770, 3, 0.75, 0.50, -0.88, -0.27, 12.13, 80.72, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 36.48, -79.97, 1.00, 18.30, -0.72247, 1.95823
167783, 3, 0.75, 0.50, -0.79, -0.25, 5.66, 80.73, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 58.51, -79.98, 1.00, 97.12, 3.00000, 75.94476
167797, 3, 0.75, 0.50, -0.72, -0.23, 3.09, 80.74, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 73.81, -79.99, 1.00, 157.75, 3.00000, 133.84479
167810, 3, 0.75, 0.50, -0.67, -0.22, 1.93, 80.75, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 80.29, -80.00, 1.00, 136.36, 3.00000, 110.65255
167838, 3, 0.75, 0.50, -0.64, -0.21, 1.31, 80.76, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 82.85, -80.01, 1.00, 64.23, 3.00000, 37.05026
167850, 3, 0.75, 0.50, -0.62, -0.20, 0.94, 80.77, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 84.02, -80.02, 1.00, 15.36, 2.75974, -13.16454
167863, 3, 0.75, 0.50, -0.60, -0.20, 0.69, 80.78, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 84.64, -80.03, 1.00, 14.86, 2.46727, -14.95301
167878, 3, 0.75, 0.50, -0.58, -0.19, 0.52, 80.79, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 85.01, -80.04, 1.00, 23.58, 2.31454, -7.49096
167890, 3, 0.75, 0.50, -0.57, -0.19, 0.39, 80.79, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 85.25, -80.04, 1.00, 29.78, 2.26249, -2.52731
167903, 3, 0.75, 0.50, -0.56, -0.18, 0.30, 80.80, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 85.42, -80.05, 1.00, 32.98, 2.25087, -0.56480
167917, 3, 0.75, 0.50, -0.56, -0.18, 0.23, 80.81, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.13, 0.18, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 85.55, -80.06, 1.00, 34.82, 2.25177, 0.04415
167930, 3, 0.75, 0.50, -0.54, -0.17, 0.18, 80.82, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.08, 2.21, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 85.65, -80.07, 1.00, 36.19, 2.25583, 0.20026
167943, 3, 0.75, 0.50, -0.57, -0.07, 0.37, 80.82, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.24, 3.18, 0.61, 0.10, 0.00, 0.86, 0.11, 0.04, 85.71, -80.07, 1.00, 37.41, 2.25995, 0.20357
167957, 3, 0.75, 0.50, -0.58, -0.07, 0.67, 80.83, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.76, 1.79, 0.61, 0.10, 0.00, 0.86, 0.08, 1.46, 85.76, -80.08, 1.00, 38.46, 2.26179, 0.09638
167970, 3, 0.75, 0.50, -0.58, 0.17, 0.91, 80.84, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.92, 1.07, 0.61, 0.10, 0.00, 0.86, 0.23, 2.93, 85.57, -80.09, 1.00, 39.39, 2.25984, -0.10498
167983, 3, 0.75, 0.50, -0.57, 0.39, 1.24, 80.85, 1.32, 52.80, 0.01, 0.73, 0.07, 0.05, 0.96, 0.93, 1.02, 0.61, 0.10, 0.00, 0.86, 0.83, 1.44, 85.27, -80.10, 1.00, 40.37, 2.25506, -0.25334
167997, 3, 0.75, 0.50, -0.50, 0.43, 1.79, 80.85, 1.32, 52.80, 0.01, 0.73, 0.07, 0.84, 0.96, 1.01, 0.84, 0.61, 0.07, 0.00, 0.86, 0.86, 1.23, 85.03, -80.10, 1.00, 41.55, 2.25160, -0.18720
168010, 3, 0.75, 0.50, -0.54, 0.75, 2.94, 80.86, 1.32, 52.80, 0.01, 0.73, 0.18, 1.98, 0.96, 0.90, 1.67, 0.61, 0.07, 0.02, 0.86, 0.87, 0.60, 84.70, -80.11, 1.00, 42.82, 2.25237, 0.04438
168023, 3, 0.75, 0.50, -0.49, 1.03, 4.78, 80.87, 1.32, 52.80, 0.01, 0.73, 0.61, 0.93, 0.96, 0.94, 1.42, 0.61, 0.07, 0.04, 0.86, 0.82, 1.07, 84.15, -80.12, 1.00, 43.80, 2.25437, 0.13608
168037, 3, 0.75, 0.50, -0.50, 1.23, 7.90, 80.87, 1.32, 52.80, 0.01, 0.73, 0.69, 0.56, 0.96, 1.08, 1.05, 0.61, 0.06, 0.05, 0.86, 0.79, 1.00, 83.00, -80.12, 1.00, 44.20, 2.25269, -0.14728
168050, 3, 0.75, 0.50, -0.58, 1.56, 13.16, 80.88, 1.32, 52.80, 0.01, 0.73, 0.68, 0.81, 0.96, 0.90, 1.82, 0.61, 0.06, 0.05, 0.86, 0.94, 0.74, 81.16, -80.13, 1.00, 43.91, 2.24858, -0.76207
168063, 3, 0.75, 0.50, -0.62, 1.37, 19.65, 80.88, 1.32, 52.80, 0.01, 0.73, 0.68, 0.98, 0.96, 1.01, 1.07, 0.61, 0.07, 1.12, 0.86, 0.82, 1.28, 78.04, -80.13, 1.00, 42.87, 2.25571, -1.52180
168077, 3, 0.75, 0.50, -0.59, 1.76, 26.75, 80.89, 1.32, 52.80, 0.01, 0.73, 0.83, 0.21, 0.96, 0.93, 1.81, 0.61, 0.30, 1.35, 0.86, 0.75, 1.09, 72.78, -80.14, 1.00, 41.91, 2.27587, -1.80263
168090, 3, 0.75, 0.50, -0.69, 1.97, 33.56, 80.90, 1.32, 52.80, 0.01, 0.73, 0.69, 0.74, 0.96, 0.96, 1.16, 0.61, 0.56, 0.42, 0.86, 0.87, 1.02, 66.29, -80.15, 1.00, 42.51, 2.27996, -0.26791
168103, 3, 0.75, 0.50, -0.72, 2.19, 38.43, 80.90, 1.32, 52.80, 0.01, 0.73, 0.73, 0.56, 0.96, 0.96, 1.70, 0.61, 0.54, 0.72, 0.86, 0.83, 1.39, 59.19, -80.15, 1.00, 46.17, 2.20987, 4.33728
168117, 3, 0.75, 0.50, -0.80, 2.60, 42.13, 80.91, 1.32, 52.80, 0.01, 0.73, 0.69, 1.00, 0.96, 0.96, 0.68, 0.61, 0.45, 1.46, 0.86, 0.87, 1.21, 52.39, -80.16, 1.00, 53.18, 2.09471, 11.88859
168143, 3, 0.75, 0.50, -0.75, 2.65, 46.79, 80.92, 1.32, 52.80, 0.01, 0.73, 0.73, 0.81, 0.96, 1.01, 1.14, 0.61, 0.56, 1.14, 0.86, 0.85, 1.47, 47.51, -80.17, 1.00, 61.59, 1.97724, 20.60316
168157, 3, 0.75, 0.50, -0.70, 2.93, 50.78, 80.92, 1.32, 52.80, 0.01, 0.73, 0.72, 0.88, 0.96, 0.99, 0.33, 0.61, 0.63, 1.09, 0.86, 0.86, 1.26, 43.82, -80.17, 1.00, 64.65, 1.64004, 24.27118
168170, 3, 0.75, 0.50, -0.63, 3.00, 54.63, 80.93, 1.32, 52.80, 0.01, 0.73, 0.72, 0.98, 0.96, 0.90, 1.44, 0.61, 0.69, 0.54, 0.86, 0.85, 1.19, 39.15, -80.18, 1.00, 63.17, 1.30979, 23.29003
168186, 3, 0.75, 0.50, -0.68, 2.94, 57.99, 80.93, 1.32, 52.80, 0.01, 0.73, 0.73, 1.05, 0.96, 0.97, 0.60, 0.61, 0.59, 0.88, 0.86, 0.79, 0.75, 35.16, -80.18, 1.00, 57.59, 0.93458, 18.22074
168197, 3, 0.75, 0.50, -0.85, 3.06, 60.96, 80.94, 1.32, 52.80, 0.01, 0.73, 0.86, 0.44, 0.96, 1.08, 0.26, 0.61, 0.59, 1.00, 0.86, 0.80, 1.49, 31.32, -80.19, 1.00, 51.25, 0.59044, 12.32285
