timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
197450, 3, 0.75, 0.50, -1.24, 0.12, 69.87, 105.12, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 9.49, -104.37, 1.00, -0.38, 3.00000, -2.93467
197478, 3, 0.75, 0.50, -1.03, 0.05, 53.32, 105.13, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 9.74, -104.38, 1.00, -18.28, 2.35172, -22.62445
197490, 3, 0.75, 0.50, -0.88, 0.00, 29.01, 105.15, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 16.07, -104.40, 1.00, 15.26, -0.39541, 6.34698
197503, 3, 0.75, 0.50, -0.78, -0.03, 12.36, 105.16, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 32.62, -104.41, 1.00, 18.99, -1.13114, 3.25029
197517, 3, 0.75, 0.50, -0.70, -0.05, 5.55, 105.16, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 56.93, -104.41, 1.00, 102.95, 3.00000, 82.04208
197530, 3, 0.75, 0.50, -0.66, -0.07, 2.98, 105.17, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 73.58, -104.42, 1.00, 167.98, 3.00000, 144.25996
197543, 3, 0.75, 0.50, -0.62, -0.09, 1.82, 105.18, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 80.39, -104.43, 1.00, 144.18, 3.00000, 118.65831
197557, 3, 0.75, 0.50, -0.60, -0.10, 1.24, 105.19, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 82.96, -104.44, 1.00, 65.64, 3.00000, 38.64079
197570, 3, 0.75, 0.50, -0.58, -0.11, 0.90, 105.20, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 84.12, -104.45, 1.00, 13.01, 2.71819, -15.31848
197583, 3, 0.75, 0.50, -0.57, -0.12, 0.67, 105.21, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 84.70, -104.46, 1.00, 13.19, 2.38813, -16.41664
197597, 3, 0.75, 0.50, -0.56, -0.12, 0.50, 105.21, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 85.04, -104.46, 1.00, 22.85, 2.21783, -8.01344
197610, 3, 0.75, 0.50, -0.55, -0.13, 0.38, 105.22, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 85.28, -104.47, 1.00, 29.45, 2.16061, -2.65551
197623, 3, 0.75, 0.50, -0.55, -0.13, 0.29, 105.23, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 85.44, -104.48, 1.00, 32.75, 2.14790, -0.59035
197637, 3, 0.75, 0.50, -0.54, -0.13, 0.23, 105.24, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.10, 0.00, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 85.56, -104.49, 1.00, 34.60, 2.14871, 0.03748
197664, 3, 0.75, 0.50, -0.52, -0.13, 0.17, 105.24, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.07, 2.12, 0.61, 0.08, 0.00, 0.86, 0.11, 0.00, 85.65, -104.49, 1.00, 35.98, 2.15281, 0.19319
197677, 3, 0.75, 0.50, -0.56, -0.07, 0.33, 105.25, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.25, 3.26, 0.61, 0.08, 0.00, 0.86, 0.08, 0.25, 85.72, -104.50, 1.00, 37.20, 2.15693, 0.19429
197690, 3, 0.75, 0.50, -0.44, -0.02, 0.47, 105.26, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 0.72, 1.86, 0.61, 0.08, 0.00, 0.86, 0.10, 2.11, 85.77, -104.51, 1.00, 38.28, 2.15910, 0.10764
197704, 3, 0.75, 0.50, -0.43, 0.10, 0.74, 105.26, 1.32, 52.80, 0.01, 0.73, 0.10, 0.00, 0.96, 1.01, 1.30, 0.61, 0.08, 0.02, 0.86, 0.45, 2.68, 85.61, -104.51, 1.00, 39.30, 2.15848, -0.03078
197717, 3, 0.75, 0.50, -0.41, 0.28, 1.04, 105.27, 1.32, 52.80, 0.01, 0.73, 0.07, 0.02, 0.96, 1.14, 0.56, 0.61, 0.08, 0.00, 0.86, 0.76, 1.02, 85.47, -104.52, 1.00, 40.32, 2.15564, -0.14449
197730, 3, 0.75, 0.50, -0.37, 0.46, 1.87, 105.27, 1.32, 52.80, 0.01, 0.73, 0.07, 0.77, 0.96, 0.89, 1.35, 0.61, 0.08, 0.02, 0.86, 0.77, 1.32, 85.21, -104.52, 1.00, 41.43, 2.15260, -0.15580
197743, 3, 0.75, 0.50, -0.41, 0.93, 3.20, 105.28, 1.32, 52.80, 0.01, 0.73, 0.17, 2.09, 0.96, 0.99, 1.28, 0.61, 0.08, 0.02, 0.86, 0.87, 1.14, 84.90, -104.53, 1.00, 42.40, 2.14982, -0.16332
197757, 3, 0.75, 0.50, -0.38, 1.42, 5.26, 105.28, 1.32, 52.80, 0.01, 0.73, 0.55, 1.33, 0.96, 0.99, 1.12, 0.61, 0.06, 0.02, 0.86, 0.85, 1.09, 84.07, -104.53, 1.00, 43.06, 2.14491, -0.33780
197770, 3, 0.75, 0.50, -0.59, 1.49, 9.08, 105.28, 1.32, 52.80, 0.01, 0.73, 0.66, 0.86, 0.96, 1.11, 0.26, 0.61, 0.06, 0.04, 0.86, 0.90, 0.98, 82.74, -104.53, 1.00, 43.31, 2.13721, -0.70389
197783, 3, 0.75, 0.50, -0.38, 1.25, 13.87, 105.29, 1.32, 52.80, 0.01, 0.73, 0.75, 0.96, 0.96, 0.90, 1.32, 0.61, 0.04, 0.19, 0.86, 0.96, 0.70, 80.68, -104.54, 1.00, 42.93, 2.13439, -1.21519
197797, 3, 0.75, 0.50, -0.42, 1.49, 19.75, 105.29, 1.32, 52.80, 0.01, 0.73, 0.80, 0.70, 0.96, 0.85, 1.51, 0.61, 0.10, 1.40, 0.86, 0.99, 0.51, 76.86, -104.54, 1.00, 42.46, 2.13900, -1.51439
197810, 3, 0.75, 0.50, -0.58, 1.97, 27.07, 105.30, 1.32, 52.80, 0.01, 0.73, 0.82, 0.39, 0.96, 0.96, 1.30, 0.61, 0.54, 1.00, 0.86, 0.73, 1.49, 72.08, -104.55, 1.00, 42.54, 2.14740, -0.90976
197823, 3, 0.75, 0.50, -0.77, 1.99, 33.02, 105.31, 1.32, 52.80, 0.01, 0.73, 0.75, 0.60, 0.96, 0.99, 1.05, 0.61, 0.65, 0.28, 0.86, 0.89, 1.23, 66.19, -104.56, 1.00, 43.74, 2.12516, 1.27799
197837, 3, 0.75, 0.50, -0.95, 2.03, 37.40, 105.32, 1.32, 52.80, 0.01, 0.73, 0.75, 0.51, 0.96, 0.86, 1.58, 0.61, 0.58, 0.28, 0.86, 0.89, 1.18, 58.88, -104.57, 1.00, 47.37, 2.04938, 5.64385
197850, 3, 0.75, 0.50, -0.64, 1.90, 39.81, 105.32, 1.32, 52.80, 0.01, 0.73, 0.82, 0.14, 0.96, 1.01, 1.11, 0.61, 0.38, 1.21, 0.86, 0.85, 0.74, 52.92, -104.57, 1.00, 53.61, 1.95425, 12.28689
197863, 3, 0.75, 0.50, -0.37, 2.20, 42.77, 105.32, 1.32, 52.80, 0.01, 0.73, 0.70, 0.58, 0.96, 0.93, 1.60, 0.61, 0.32, 2.02, 0.86, 0.85, 1.00, 48.54, -104.57, 1.00, 62.83, 1.97511, 21.46041
197877, 3, 0.75, 0.50, -0.59, 2.68, 45.58, 105.33, 1.32, 52.80, 0.01, 0.73, 0.66, 0.93, 0.96, 1.17, 0.98, 0.61, 0.55, 1.40, 0.86, 0.85, 0.86, 46.13, -104.58, 1.00, 70.25, 1.90279, 29.00756
