timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
26207, 4, 0.75, 0.50, -0.49, -0.15, -0.28, 0.01, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 0.00, 0.74, 1.00, 0.28, 0.00000, 0.00000
26305, 4, 0.75, 0.50, -0.48, -0.08, -0.06, 0.01, 0.90, 36.00, 0.01, 28.00, 24.00, 0.26, 28.00, 26.00, 0.26, 28.00, 28.00, 0.28, 28.00, 22.00, 0.21, 85.94, 0.74, 1.00, 0.30, 0.00000, 0.00000
26324, 4, 0.75, 0.50, -0.43, 0.01, 0.16, 0.02, 0.90, 36.00, 0.01, 28.00, 26.00, 0.26, 28.00, 22.00, 0.23, 28.00, 30.00, 0.32, 28.00, 28.00, 0.28, 85.94, 0.73, 1.00, 0.31, -0.00000, 0.00000
26332, 4, 0.75, 0.50, -0.49, -0.04, 0.49, 0.03, 0.90, 36.00, 0.01, 28.00, 22.00, 0.23, 28.00, 20.00, 0.21, 28.00, 26.00, 0.26, 28.00, 20.00, 0.19, 85.94, 0.72, 1.00, 0.33, -0.00000, 0.00000
26349, 4, 0.75, 0.50, -0.58, -0.02, 0.78, 0.03, 0.90, 36.00, 0.01, 28.00, 26.00, 0.28, 28.00, 26.00, 0.28, 28.00, 26.00, 0.28, 28.00, 26.00, 0.26, 85.78, 0.72, 1.00, 0.34, -0.00000, 0.00000
26357, 4, 0.75, 0.50, -0.64, -0.01, 0.98, 0.04, 0.90, 36.00, 0.01, 28.00, 22.00, 0.23, 28.00, 20.00, 0.21, 28.00, 20.00, 0.21, 28.00, 26.00, 0.26, 85.45, 0.71, 1.00, 0.35, -0.00000, 0.00000
26367, 4, 0.75, 0.50, -0.55, 0.00, 1.17, 0.05, 0.90, 36.00, 0.01, 28.00, 28.00, 0.28, 28.00, 34.00, 0.35, 28.00, 26.00, 0.26, 28.00, 20.00, 0.21, 85.16, 0.70, 1.00, 0.37, -0.00000, 0.00000
26384, 4, 0.75, 0.50, -0.55, -0.01, 1.36, 0.06, 0.90, 36.00, 0.01, 28.00, 26.00, 0.28, 28.00, 26.00, 0.28, 28.00, 28.00, 0.28, 28.00, 26.00, 0.26, 84.96, 0.69, 1.00, 0.38, -0.00000, -0.00000
26394, 4, 0.75, 0.50, -0.57, 0.04, 1.57, 0.06, 0.90, 36.00, 0.01, 28.00, 30.00, 0.30, 28.00, 20.00, 0.19, 28.00, 28.00, 0.23, 28.00, 24.00, 0.25, 84.78, 0.69, 1.00, 0.40, -0.00000, -0.00000
26407, 4, 0.75, 0.50, -0.51, 0.05, 1.73, 0.07, 0.90, 36.00, 0.01, 28.00, 34.00, 0.35, 28.00, 22.00, 0.23, 28.00, 24.00, 0.26, 28.00, 26.00, 0.28, 84.58, 0.68, 1.00, 0.41, 0.00000, 0.00000
26424, 4, 0.75, 0.50, -0.51, 0.10, 1.98, 0.08, 0.90, 36.00, 0.01, 28.00, 28.00, 0.28, 28.00, 26.00, 0.26, 28.00, 28.00, 0.28, 28.00, 22.00, 0.30, 84.37, 0.67, 1.00, 0.43, 0.00000, 0.00000
26434, 4, 0.75, 0.50, -0.47, 0.12, 2.20, 0.08, 0.90, 36.00, 0.01, 28.00, 28.00, 0.28, 28.00, 22.00, 0.21, 28.00, 28.00, 0.28, 28.00, 34.00, 0.32, 84.22, 0.67, 1.00, 0.44, 0.00001, 0.00000
26450, 4, 0.75, 0.50, -0.43, 0.13, 2.46, 0.09, 0.90, 36.00, 0.01, 28.00, 26.00, 0.26, 28.00, 24.00, 0.25, 28.00, 32.00, 0.32, 28.00, 26.00, 0.26, 83.97, 0.66, 1.00, 0.45, 0.00001, 0.00001
26460, 4, 0.75, 0.50, -0.45, 0.13, 2.75, 0.10, 0.90, 36.00, 0.01, 28.00, 26.00, 0.26, 28.00, 20.00, 0.21, 28.00, 32.00, 0.33, 28.00, 26.00, 0.26, 83.74, 0.65, 1.00, 0.47, 0.00001, 0.00001
26474, 4, 0.75, 0.50, -0.48, 0.15, 3.10, 0.10, 0.90, 36.00, 0.01, 28.00, 34.00, 0.35, 28.00, 24.00, 0.25, 28.00, 36.00, 0.35, 28.00, 28.00, 0.30, 83.49, 0.65, 1.00, 0.48, 0.00002, 0.00001
26490, 4, 0.75, 0.50, -0.51, 0.15, 3.43, 0.11, 0.90, 36.00, 0.01, 28.00, 32.00, 0.32, 28.00, 24.00, 0.25, 28.00, 28.00, 0.28, 28.00, 32.00, 0.32, 83.19, 0.64, 1.00, 0.49, 0.00002, 0.00002
26500, 4, 0.75, 0.50, -0.50, 0.14, 3.76, 0.12, 0.90, 36.00, 0.01, 28.00, 22.00, 0.23, 28.00, 28.00, 0.30, 28.00, 26.00, 0.26, 28.00, 30.00, 0.33, 82.84, 0.63, 1.00, 0.51, 0.00002, 0.00002
26514, 4, 0.75, 0.50, -0.49, 0.14, 4.18, 0.12, 0.90, 36.00, 0.01, 28.00, 28.00, 0.28, 28.00, 24.00, 0.25, 28.00, 28.00, 0.28, 28.00, 32.00, 0.32, 82.52, 0.63, 1.00, 0.52, 0.00003, 0.00003
26531, 4, 0.75, 0.50, -0.49, 0.11, 4.67, 0.13, 0.90, 36.00, 0.01, 28.00, 26.00, 0.26, 28.00, 28.00, 0.28, 28.00, 26.00, 0.28, 28.00, 32.00, 0.32, 82.19, 0.62, 1.00, 0.53, 0.00003, 0.00004
26540, 4, 0.75, 0.50, -0.47, 0.15, 5.16, 0.14, 0.90, 36.00, 0.01, 28.00, 24.00, 0.25, 28.00, 22.00, 0.23, 28.00, 30.00, 0.30, 28.00, 24.00, 0.25, 81.76, 0.61, 1.00, 0.55, 0.00004, 0.00005
26576, 4, 0.75, 0.50, -0.49, 0.13, 5.79, 0.14, 0.90, 36.00, 0.01, 28.00, 24.00, 0.25, 28.00, 28.00, 0.30, 28.00, 28.00, 0.28, 28.00, 24.00, 0.25, 81.27, 0.61, 1.00, 0.56, 0.00004, 0.00007
26585, 4, 0.75, 0.50, -0.47, 0.17, 6.38, 0.15, 0.90, 36.00, 0.01, 28.00, 18.00, 0.19, 28.00, 22.00, 0.23, 28.00, 26.00, 0.26, 28.00, 22.00, 0.23, 80.78, 0.60, 1.00, 0.57, 0.00005, 0.00008
26594, 4, 0.75, 0.50, -0.51, 0.15, 7.12, 0.16, 0.90, 36.00, 0.01, 28.00, 26.00, 0.26, 28.00, 26.00, 0.26, 28.00, 34.00, 0.35, 28.00, 20.00, 0.19, 80.15, 0.59, 1.00, 0.58, 0.00006, 0.00011
26612, 4, 0.75, 0.50, -0.49, 0.18, 7.94, 0.16, 0.90, 36.00, 0.01, 28.00, 26.00, 0.28, 28.00, 28.00, 0.30, 28.00, 20.00, 0.21, 28.00, 26.00, 0.26, 79.57, 0.59, 1.00, 0.60, 0.00006, 0.00013
26620, 4, 0.75, 0.50, -0.51, 0.18, 8.70, 0.17, 0.90, 36.00, 0.01, 28.00, 24.00, 0.25, 28.00, 30.00, 0.30, 28.00, 22.00, 0.23, 28.00, 22.00, 0.23, 78.82, 0.58, 1.00, 0.61, 0.00007, 0.00017
