timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
75954, 4, 0.75, 0.50, -1.55, -0.20, 82.32, 28.48, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, -0.38, -27.73, 1.00, -0.00, 0.00248, -0.00286
75995, 4, 0.75, 0.50, -1.32, -0.20, 69.14, 28.49, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, -0.40, -27.74, 1.00, -0.02, 0.00244, -0.02782
76071, 4, 0.75, 0.50, -1.10, -0.19, 42.29, 28.51, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 3.62, -27.76, 1.00, 0.01, 0.00217, -0.04311
76079, 4, 0.75, 0.50, -0.93, -0.19, 17.89, 28.52, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 16.81, -27.77, 1.00, 0.14, 0.00203, -0.01069
76087, 4, 0.75, 0.50, -0.81, -0.18, 7.17, 28.53, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 43.66, -27.78, 1.00, 0.32, 0.00286, 0.08990
76100, 4, 0.75, 0.50, -0.73, -0.18, 3.51, 28.54, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 68.06, -27.79, 1.00, 0.50, 0.00370, 0.21987
76114, 4, 0.75, 0.50, -0.67, -0.17, 2.05, 28.55, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 78.77, -27.80, 1.00, 0.52, 0.00410, 0.21506
76127, 4, 0.75, 0.50, -0.63, -0.17, 1.35, 28.56, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 82.43, -27.81, 1.00, 0.41, 0.00422, 0.08584
76140, 4, 0.75, 0.50, -0.60, -0.17, 0.96, 28.57, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 83.90, -27.82, 1.00, 0.32, 0.00420, -0.02097
76154, 4, 0.75, 0.50, -0.58, -0.16, 0.69, 28.58, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 84.59, -27.83, 1.00, 0.32, 0.00415, -0.03860
76167, 4, 0.75, 0.50, -0.56, -0.16, 0.53, 28.58, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 84.99, -27.83, 1.00, 0.35, 0.00412, -0.02371
76180, 4, 0.75, 0.50, -0.55, -0.16, 0.40, 28.59, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.25, -27.84, 1.00, 0.38, 0.00411, -0.00880
76194, 4, 0.75, 0.50, -0.54, -0.16, 0.29, 28.60, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.42, -27.85, 1.00, 0.40, 0.00411, -0.00223
76207, 4, 0.75, 0.50, -0.53, -0.16, 0.21, 28.60, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.55, -27.85, 1.00, 0.42, 0.00411, -0.00023
76220, 4, 0.75, 0.50, -0.53, -0.16, 0.15, 28.61, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.65, -27.86, 1.00, 0.44, 0.00411, 0.00029
76234, 4, 0.75, 0.50, -0.52, -0.15, 0.11, 28.62, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.73, -27.87, 1.00, 0.45, 0.00411, 0.00039
76247, 4, 0.75, 0.50, -0.52, -0.15, 0.07, 28.63, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.79, -27.88, 1.00, 0.47, 0.00411, 0.00035
76260, 4, 0.75, 0.50, -0.51, -0.15, 0.03, 28.63, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.84, -27.88, 1.00, 0.48, 0.00411, 0.00026
76274, 4, 0.75, 0.50, -0.51, -0.15, 0.01, 28.64, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.87, -27.89, 1.00, 0.50, 0.00411, 0.00017
76287, 4, 0.75, 0.50, -0.51, -0.15, -0.02, 28.65, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.91, -27.90, 1.00, 0.51, 0.00411, 0.00012
76300, 4, 0.75, 0.50, -0.50, -0.15, -0.04, 28.65, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.93, -27.90, 1.00, 0.53, 0.00411, 0.00007
76326, 4, 0.75, 0.50, -0.50, -0.15, -0.05, 28.66, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -27.91, 1.00, 0.54, 0.00411, 0.00001
76334, 4, 0.75, 0.50, -0.50, -0.15, -0.06, 28.67, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -27.92, 1.00, 0.56, 0.00411, -0.00004
76342, 4, 0.75, 0.50, -0.50, -0.15, -0.08, 28.67, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -27.92, 1.00, 0.57, 0.00411, -0.00007
76357, 4, 0.75, 0.50, -0.50, -0.15, -0.08, 28.68, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -27.93, 1.00, 0.59, 0.00411, -0.00006
76367, 4, 0.75, 0.50, -0.50, -0.15, -0.10, 28.69, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -27.94, 1.00, 0.60, 0.00411, -0.00003
76380, 4, 0.75, 0.50, -0.49, -0.15, -0.11, 28.69, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -27.94, 1.00, 0.62, 0.00411, -0.00001
