timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
120420, 4, 0.75, 0.50, -1.35, -0.16, 74.63, 56.14, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 6.98, -55.39, 1.00, 0.00, 0.01794, -0.01874
120446, 4, 0.75, 0.50, -1.20, -0.16, 61.66, 56.15, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 6.97, -55.40, 1.00, -0.15, 0.01789, -0.18499
120454, 4, 0.75, 0.50, -1.05, -0.16, 37.58, 56.17, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 11.31, -55.42, 1.00, -0.23, 0.01765, -0.31481
120467, 4, 0.75, 0.50, -0.92, -0.15, 16.58, 56.18, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 24.28, -55.43, 1.00, 0.09, 0.01754, -0.07984
120474, 4, 0.75, 0.50, -0.82, -0.15, 7.02, 56.19, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 48.36, -55.44, 1.00, 0.76, 0.01820, 0.51773
120487, 4, 0.75, 0.50, -0.74, -0.15, 3.53, 56.20, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 69.37, -55.45, 1.00, 1.29, 0.01889, 1.00749
120500, 4, 0.75, 0.50, -0.68, -0.15, 2.12, 56.21, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 78.93, -55.46, 1.00, 1.21, 0.01925, 0.90014
120514, 4, 0.75, 0.50, -0.64, -0.15, 1.38, 56.22, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 82.41, -55.47, 1.00, 0.68, 0.01935, 0.35129
120527, 4, 0.75, 0.50, -0.61, -0.15, 0.96, 56.23, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 83.83, -55.48, 1.00, 0.27, 0.01933, -0.08051
120564, 4, 0.75, 0.50, -0.58, -0.15, 0.70, 56.24, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 84.57, -55.49, 1.00, 0.21, 0.01929, -0.15125
120572, 4, 0.75, 0.50, -0.57, -0.15, 0.52, 56.24, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 84.98, -55.49, 1.00, 0.29, 0.01927, -0.09375
120596, 4, 0.75, 0.50, -0.55, -0.15, 0.40, 56.25, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.24, -55.50, 1.00, 0.36, 0.01926, -0.03558
120607, 4, 0.75, 0.50, -0.54, -0.14, 0.31, 56.26, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.42, -55.51, 1.00, 0.40, 0.01926, -0.00935
120620, 4, 0.75, 0.50, -0.53, -0.14, 0.25, 56.27, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.54, -55.52, 1.00, 0.43, 0.01926, -0.00120
120634, 4, 0.75, 0.50, -0.52, -0.14, 0.18, 56.27, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.63, -55.52, 1.00, 0.44, 0.01926, 0.00104
120647, 4, 0.75, 0.50, -0.52, -0.14, 0.13, 56.28, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.70, -55.53, 1.00, 0.46, 0.01926, 0.00163
120660, 4, 0.75, 0.50, -0.51, -0.14, 0.09, 56.29, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.76, -55.54, 1.00, 0.47, 0.01926, 0.00170
120674, 4, 0.75, 0.50, -0.51, -0.14, 0.06, 56.29, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.81, -55.54, 1.00, 0.49, 0.01926, 0.00157
120687, 4, 0.75, 0.50, -0.50, -0.14, 0.03, 56.30, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.85, -55.55, 1.00, 0.50, 0.01926, 0.00130
120700, 4, 0.75, 0.50, -0.50, -0.14, 0.01, 56.31, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.89, -55.56, 1.00, 0.52, 0.01926, 0.00095
120714, 4, 0.75, 0.50, -0.50, -0.14, -0.01, 56.31, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.91, -55.56, 1.00, 0.53, 0.01926, 0.00061
120727, 4, 0.75, 0.50, -0.50, -0.14, -0.03, 56.32, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -55.57, 1.00, 0.55, 0.01926, 0.00032
120740, 4, 0.75, 0.50, -0.49, -0.14, -0.05, 56.33, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.94, -55.58, 1.00, 0.56, 0.01926, 0.00004
120754, 4, 0.75, 0.50, -0.49, -0.14, -0.06, 56.34, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 8.00, 0.09, 28.00, 0.00, 0.00, 85.94, -55.59, 1.00, 0.58, 0.01926, -0.00018
120767, 4, 0.75, 0.50, -0.49, -0.14, -0.07, 56.34, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 16.00, 0.16, 28.00, 0.00, 0.00, 85.94, -55.59, 1.00, 0.59, 0.01926, -0.00028
120780, 4, 0.75, 0.50, -0.49, -0.14, -0.09, 56.35, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 20.00, 0.21, 28.00, 0.00, 0.00, 85.94, -55.60, 1.00, 0.61, 0.01926, -0.00023
120794, 4, 0.75, 0.50, -0.49, -0.15, -0.10, 56.36, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 24.00, 0.25, 28.00, 0.00, 0.00, 85.94, -55.61, 1.00, 0.62, 0.01926, -0.00012
120807, 4, 0.75, 0.50, -0.48, -0.13, -0.10, 56.36, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 28.00, 0.28, 28.00, 0.00, 0.00, 85.94, -55.61, 1.00, 0.64, 0.01926, -0.00003
120820, 4, 0.75, 0.50, -0.49, -0.14, -0.11, 56.37, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 26.00, 0.26, 28.00, 0.00, 0.00, 85.94, -55.62, 1.00, 0.65, 0.01926, -0.00000
120834, 4, 0.75, 0.50, -0.49, -0.14, -0.12, 56.38, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 26.00, 0.26, 28.00, 0.00, 0.00, 85.94, -55.63, 1.00, 0.67, 0.01926, 0.00000
120860, 4, 0.75, 0.50, -0.49, -0.14, -0.12, 56.38, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 28.00, 0.28, 28.00, 0.00, 0.00, 85.94, -55.63, 1.00, 0.68, 0.01926, 0.00000
120868, 4, 0.75, 0.50, -0.49, -0.14, -0.13, 56.39, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 28.00, 0.30, 28.00, 0.00, 0.00, 85.94, -55.64, 1.00, 0.70, 0.01926, 0.00000
120875, 4, 0.75, 0.50, -0.49, -0.15, -0.14, 56.40, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 32.00, 0.33, 28.00, 0.00, 0.00, 85.94, -55.65, 1.00, 0.71, 0.01926, 0.00000
120890, 4, 0.75, 0.50, -0.49, -0.14, -0.14, 56.40, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 32.00, 0.33, 28.00, 0.00, 0.00, 85.94, -55.65, 1.00, 0.73, 0.01926, 0.00000
