timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
163034, 4, 0.75, 0.50, -1.45, -0.25, 71.79, 79.40, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 9.05, -78.65, 1.00, -0.03, 0.05634, -0.05663
163062, 4, 0.75, 0.50, -1.24, -0.23, 57.13, 79.41, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 8.90, -78.66, 1.00, -0.51, 0.05628, -0.55819
163074, 4, 0.75, 0.50, -1.06, -0.22, 32.95, 79.43, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 14.15, -78.68, 1.00, -0.84, 0.05603, -0.94323
163087, 4, 0.75, 0.50, -0.91, -0.21, 14.25, 79.44, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.81, -78.69, 1.00, -0.02, 0.05594, -0.20537
163100, 4, 0.75, 0.50, -0.80, -0.20, 6.22, 79.45, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 52.99, -78.70, 1.00, 1.82, 0.05652, 1.56886
163114, 4, 0.75, 0.50, -0.73, -0.20, 3.27, 79.46, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 71.69, -78.71, 1.00, 3.17, 0.05711, 2.87784
163127, 4, 0.75, 0.50, -0.67, -0.19, 1.97, 79.47, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 79.72, -78.72, 1.00, 2.77, 0.05742, 2.45856
163140, 4, 0.75, 0.50, -0.64, -0.19, 1.31, 79.48, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 82.67, -78.73, 1.00, 1.22, 0.05750, 0.88043
163154, 4, 0.75, 0.50, -0.61, -0.18, 0.94, 79.49, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 83.98, -78.74, 1.00, 0.07, 0.05748, -0.28388
163167, 4, 0.75, 0.50, -0.59, -0.18, 0.70, 79.50, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 84.63, -78.75, 1.00, -0.05, 0.05744, -0.41956
163180, 4, 0.75, 0.50, -0.58, -0.18, 0.53, 79.50, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.00, -78.75, 1.00, 0.14, 0.05742, -0.23936
163194, 4, 0.75, 0.50, -0.57, -0.17, 0.39, 79.51, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.24, -78.76, 1.00, 0.31, 0.05741, -0.08622
163207, 4, 0.75, 0.50, -0.56, -0.17, 0.30, 79.52, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.42, -78.77, 1.00, 0.39, 0.05741, -0.02119
163220, 4, 0.75, 0.50, -0.55, -0.17, 0.22, 79.53, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.55, -78.78, 1.00, 0.43, 0.05741, -0.00060
163234, 4, 0.75, 0.50, -0.55, -0.17, 0.16, 79.53, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.65, -78.78, 1.00, 0.45, 0.05741, 0.00509
163247, 4, 0.75, 0.50, -0.54, -0.16, 0.12, 79.54, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.72, -78.79, 1.00, 0.47, 0.05741, 0.00573
163260, 4, 0.75, 0.50, -0.54, -0.16, 0.08, 79.55, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.79, -78.80, 1.00, 0.48, 0.05741, 0.00485
163274, 4, 0.75, 0.50, -0.54, -0.16, 0.05, 79.56, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.83, -78.81, 1.00, 0.49, 0.05741, 0.00378
163287, 4, 0.75, 0.50, -0.53, -0.16, 0.02, 79.56, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 2.00, 0.04, 28.00, 0.00, 0.00, 85.87, -78.81, 1.00, 0.51, 0.05742, 0.00283
163300, 4, 0.75, 0.50, -0.53, -0.16, 0.00, 79.57, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 10.00, 0.11, 28.00, 0.00, 0.00, 85.89, -78.82, 1.00, 0.52, 0.05742, 0.00202
163327, 4, 0.75, 0.50, -0.53, -0.16, -0.02, 79.58, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 20.00, 0.21, 28.00, 0.00, 0.00, 85.92, -78.83, 1.00, 0.54, 0.05742, 0.00135
163340, 4, 0.75, 0.50, -0.54, -0.14, -0.06, 79.59, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 26.00, 0.26, 28.00, 0.00, 0.00, 85.94, -78.84, 1.00, 0.55, 0.05742, 0.00067
163354, 4, 0.75, 0.50, -0.50, -0.14, -0.11, 79.59, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 24.00, 0.25, 28.00, 0.00, 0.00, 85.94, -78.84, 1.00, 0.57, 0.05742, -0.00010
163367, 4, 0.75, 0.50, -0.47, -0.13, -0.13, 79.60, 0.90, 36.00, 0.01, 28.00, 2.00, 0.04, 28.00, 0.00, 0.00, 28.00, 30.00, 0.32, 28.00, 0.00, 0.00, 85.94, -78.85, 1.00, 0.58, 0.05742, -0.00072
163380, 4, 0.75, 0.50, -0.49, -0.11, -0.13, 79.61, 0.90, 36.00, 0.01, 28.00, 10.00, 0.11, 28.00, 0.00, 0.00, 28.00, 30.00, 0.30, 28.00, 0.00, 0.00, 85.94, -78.86, 1.00, 0.60, 0.05742, -0.00086
163394, 4, 0.75, 0.50, -0.48, -0.11, -0.15, 79.61, 0.90, 36.00, 0.01, 28.00, 16.00, 0.18, 28.00, 0.00, 0.00, 28.00, 26.00, 0.26, 28.00, 0.00, 0.00, 85.94, -78.86, 1.00, 0.61, 0.05742, -0.00058
163407, 4, 0.75, 0.50, -0.50, -0.12, -0.13, 79.62, 0.90, 36.00, 0.01, 28.00, 22.00, 0.23, 28.00, 0.00, 0.00, 28.00, 30.00, 0.30, 28.00, 0.00, 0.00, 85.94, -78.87, 1.00, 0.63, 0.05742, -0.00021
163420, 4, 0.75, 0.50, -0.51, -0.12, -0.14, 79.63, 0.90, 36.00, 0.01, 28.00, 26.00, 0.26, 28.00, 0.00, 0.00, 28.00, 34.00, 0.33, 28.00, 0.00, 0.00, 85.94, -78.88, 1.00, 0.64, 0.05742, -0.00003
163434, 4, 0.75, 0.50, -0.50, -0.11, -0.16, 79.63, 0.90, 36.00, 0.01, 28.00, 30.00, 0.30, 28.00, 8.00, 0.07, 28.00, 32.00, 0.33, 28.00, 0.00, 0.00, 85.94, -78.88, 1.00, 0.66, 0.05742, -0.00000
163447, 4, 0.75, 0.50, -0.51, -0.11, -0.15, 79.64, 0.90, 36.00, 0.01, 28.00, 30.00, 0.30, 28.00, 14.00, 0.14, 28.00, 24.00, 0.26, 28.00, 8.00, 0.07, 85.94, -78.89, 1.00, 0.67, 0.05742, 0.00000
163460, 4, 0.75, 0.50, -0.51, -0.11, -0.15, 79.65, 0.90, 36.00, 0.01, 28.00, 28.00, 0.28, 28.00, 20.00, 0.21, 28.00, 22.00, 0.23, 28.00, 14.00, 0.14, 85.94, -78.90, 1.00, 0.69, 0.05742, 0.00000
163474, 4, 0.75, 0.50, -0.52, -0.08, -0.14, 79.65, 0.90, 36.00, 0.01, 28.00, 28.00, 0.30, 28.00, 22.00, 0.23, 28.00, 22.00, 0.21, 28.00, 18.00, 0.18, 85.94, -78.90, 1.00, 0.70, 0.05742, 0.00000
163487, 4, 0.75, 0.50, -0.51, -0.07, -0.14, 79.66, 0.90, 36.00, 0.01, 28.00, 24.00, 0.25, 28.00, 26.00, 0.26, 28.00, 22.00, 0.23, 28.00, 24.00, 0.25, 85.94, -78.91, 1.00, 0.72, 0.05742, 0.00000
163500, 4, 0.75, 0.50, -0.53, -0.01, -0.11, 79.67, 0.90, 36.00, 0.01, 28.00, 24.00, 0.25, 28.00, 30.00, 0.30, 28.00, 26.00, 0.26, 28.00, 28.00, 0.28, 85.94, -78.92, 1.00, 0.73, 0.05742, 0.00000
163514, 4, 0.75, 0.50, -0.51, -0.01, -0.05, 79.67, 0.90, 36.00, 0.01, 28.00, 28.00, 0.28, 28.00, 26.00, 0.26, 28.00, 26.00, 0.28, 28.00, 30.00, 0.30, 85.94, -78.92, 1.00, 0.75, 0.05742, 0.00000
