timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
201167, 4, 0.75, 0.50, -1.29, -0.30, 71.60, 103.01, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 10.30, -102.26, 1.00, -0.06, 0.09427, -0.09450
201260, 4, 0.75, 0.50, -1.13, -0.28, 59.58, 103.02, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 10.23, -102.27, 1.00, -0.89, 0.09422, -0.93540
201268, 4, 0.75, 0.50, -0.99, -0.26, 37.22, 103.03, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 14.34, -102.28, 1.00, -1.52, 0.09401, -1.61511
201275, 4, 0.75, 0.50, -0.87, -0.25, 17.00, 103.05, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 26.37, -102.30, 1.00, -0.26, 0.09390, -0.43033
201288, 4, 0.75, 0.50, -0.78, -0.24, 7.35, 103.06, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 48.73, -102.31, 1.00, 2.80, 0.09451, 2.55624
201300, 4, 0.75, 0.50, -0.72, -0.23, 3.69, 103.07, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 68.94, -102.32, 1.00, 5.16, 0.09518, 4.87588
201314, 4, 0.75, 0.50, -0.66, -0.22, 2.18, 103.08, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 78.60, -102.33, 1.00, 4.66, 0.09553, 4.34421
201327, 4, 0.75, 0.50, -0.63, -0.21, 1.43, 103.08, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 82.26, -102.33, 1.00, 2.09, 0.09564, 1.75345
201340, 4, 0.75, 0.50, -0.60, -0.20, 1.02, 103.09, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 83.76, -102.34, 1.00, 0.04, 0.09562, -0.31247
201354, 4, 0.75, 0.50, -0.58, -0.20, 0.76, 103.10, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 84.51, -102.35, 1.00, -0.33, 0.09559, -0.69411
201367, 4, 0.75, 0.50, -0.57, -0.19, 0.57, 103.11, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 84.92, -102.36, 1.00, -0.07, 0.09556, -0.45203
201380, 4, 0.75, 0.50, -0.56, -0.18, 0.42, 103.12, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 85.19, -102.37, 1.00, 0.22, 0.09556, -0.17962
201394, 4, 0.75, 0.50, -0.55, -0.18, 0.31, 103.12, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 2.00, 0.02, 28.00, 0.00, 0.00, 85.38, -102.37, 1.00, 0.36, 0.09555, -0.04812
201407, 4, 0.75, 0.50, -0.54, -0.18, 0.24, 103.13, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 10.00, 0.11, 28.00, 0.00, 0.00, 85.52, -102.38, 1.00, 0.42, 0.09555, -0.00404
201420, 4, 0.75, 0.50, -0.53, -0.18, 0.17, 103.14, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 16.00, 0.16, 28.00, 0.00, 0.00, 85.63, -102.39, 1.00, 0.45, 0.09555, 0.00810
201434, 4, 0.75, 0.50, -0.53, -0.18, 0.12, 103.15, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 22.00, 0.21, 28.00, 0.00, 0.00, 85.71, -102.40, 1.00, 0.47, 0.09555, 0.00977
201447, 4, 0.75, 0.50, -0.54, -0.17, 0.08, 103.15, 0.90, 36.00, 0.01, 28.00, 0.00, 0.00, 28.00, 0.00, 0.00, 28.00, 24.00, 0.25, 28.00, 0.00, 0.00, 85.77, -102.40, 1.00, 0.48, 0.09555, 0.00822
201473, 4, 0.75, 0.50, -0.57, -0.20, 0.07, 103.16, 0.90, 36.00, 0.01, 28.00, 4.00, 0.04, 28.00, 0.00, 0.00, 28.00, 28.00, 0.28, 28.00, 0.00, 0.00, 85.82, -102.41, 1.00, 0.50, 0.09555, 0.00633
201481, 4, 0.75, 0.50, -0.56, -0.22, 0.04, 103.17, 0.90, 36.00, 0.01, 28.00, 8.00, 0.09, 28.00, 0.00, 0.00, 28.00, 26.00, 0.26, 28.00, 0.00, 0.00, 85.86, -102.42, 1.00, 0.51, 0.09555, 0.00469
201489, 4, 0.75, 0.50, -0.54, -0.19, 0.04, 103.18, 0.90, 36.00, 0.01, 28.00, 12.00, 0.12, 28.00, 0.00, 0.00, 28.00, 26.00, 0.28, 28.00, 0.00, 0.00, 85.87, -102.43, 1.00, 0.52, 0.09556, 0.00326
201505, 4, 0.75, 0.50, -0.54, -0.16, 0.01, 103.18, 0.90, 36.00, 0.01, 28.00, 18.00, 0.19, 28.00, 8.00, 0.07, 28.00, 26.00, 0.26, 28.00, 0.00, 0.00, 85.90, -102.43, 1.00, 0.54, 0.09556, 0.00207
201514, 4, 0.75, 0.50, -0.52, -0.15, -0.04, 103.19, 0.90, 36.00, 0.01, 28.00, 24.00, 0.25, 28.00, 10.00, 0.11, 28.00, 26.00, 0.26, 28.00, 0.00, 0.00, 85.91, -102.44, 1.00, 0.55, 0.09556, 0.00148
201527, 4, 0.75, 0.50, -0.52, -0.15, -0.01, 103.20, 0.90, 36.00, 0.01, 28.00, 22.00, 0.23, 28.00, 16.00, 0.18, 28.00, 28.00, 0.28, 28.00, 0.00, 0.00, 85.93, -102.45, 1.00, 0.57, 0.09556, 0.00133
201540, 4, 0.75, 0.50, -0.49, -0.13, 0.00, 103.20, 0.90, 36.00, 0.01, 28.00, 26.00, 0.26, 28.00, 22.00, 0.23, 28.00, 28.00, 0.28, 28.00, 4.00, 0.04, 85.94, -102.45, 1.00, 0.58, 0.09556, 0.00094
201554, 4, 0.75, 0.50, -0.52, -0.09, -0.02, 103.21, 0.90, 36.00, 0.01, 28.00, 26.00, 0.26, 28.00, 24.00, 0.25, 28.00, 22.00, 0.21, 28.00, 12.00, 0.12, 85.94, -102.46, 1.00, 0.59, 0.09556, 0.00006
201567, 4, 0.75, 0.50, -0.51, -0.12, -0.02, 103.22, 0.90, 36.00, 0.01, 28.00, 26.00, 0.26, 28.00, 28.00, 0.30, 28.00, 22.00, 0.23, 28.00, 20.00, 0.19, 85.94, -102.47, 1.00, 0.61, 0.09556, -0.00076
201580, 4, 0.75, 0.50, -0.53, -0.05, 0.00, 103.22, 0.90, 36.00, 0.01, 28.00, 28.00, 0.30, 28.00, 24.00, 0.25, 28.00, 24.00, 0.25, 28.00, 22.00, 0.23, 85.94, -102.47, 1.00, 0.62, 0.09556, -0.00094
201594, 4, 0.75, 0.50, -0.52, -0.03, 0.03, 103.23, 0.90, 36.00, 0.01, 28.00, 28.00, 0.28, 28.00, 26.00, 0.26, 28.00, 26.00, 0.28, 28.00, 26.00, 0.28, 85.94, -102.48, 1.00, 0.64, 0.09556, -0.00066
201607, 4, 0.75, 0.50, -0.53, -0.05, 0.07, 103.24, 0.90, 36.00, 0.01, 28.00, 28.00, 0.30, 28.00, 26.00, 0.26, 28.00, 30.00, 0.30, 28.00, 28.00, 0.28, 85.94, -102.49, 1.00, 0.65, 0.09556, -0.00057
201620, 4, 0.75, 0.50, -0.52, -0.01, 0.09, 103.25, 0.90, 36.00, 0.01, 28.00, 26.00, 0.26, 28.00, 28.00, 0.30, 28.00, 28.00, 0.28, 28.00, 30.00, 0.26, 85.92, -102.50, 1.00, 0.67, 0.09556, -0.00119
201634, 4, 0.75, 0.50, -0.50, -0.02, 0.13, 103.25, 0.90, 36.00, 0.01, 28.00, 26.00, 0.28, 28.00, 34.00, 0.33, 28.00, 34.00, 0.35, 28.00, 26.00, 0.26, 85.88, -102.50, 1.00, 0.68, 0.09556, -0.00160
201647, 4, 0.75, 0.50, -0.48, 0.07, 0.18, 103.26, 0.90, 36.00, 0.01, 28.00, 22.00, 0.23, 28.00, 30.00, 0.30, 28.00, 34.00, 0.35, 28.00, 36.00, 0.37, 85.86, -102.51, 1.00, 0.70, 0.09556, -0.00101
201660, 4, 0.75, 0.50, -0.46, 0.05, 0.26, 103.26, 0.90, 36.00, 0.01, 28.00, 28.00, 0.28, 28.00, 26.00, 0.26, 28.00, 32.00, 0.33, 28.00, 24.00, 0.25, 85.82, -102.51, 1.00, 0.72, 0.09556, 0.00025
201674, 4, 0.75, 0.50, -0.51, 0.07, 0.36, 103.27, 0.90, 36.00, 0.01, 28.00, 24.00, 0.25, 28.00, 28.00, 0.30, 28.00, 26.00, 0.28, 28.00, 24.00, 0.25, 85.76, -102.52, 1.00, 0.73, 0.09556, 0.00124
201687, 4, 0.75, 0.50, -0.53, 0.12, 0.47, 103.28, 0.90, 36.00, 0.01, 28.00, 28.00, 0.30, 28.00, 28.00, 0.28, 28.00, 20.00, 0.21, 28.00, 24.00, 0.25, 85.68, -102.53, 1.00, 0.75, 0.09556, 0.00185
201700, 4, 0.75, 0.50, -0.54, 0.06, 0.56, 103.28, 0.90, 36.00, 0.01, 28.00, 28.00, 0.28, 28.00, 28.00, 0.30, 28.00, 24.00, 0.25, 28.00, 24.00, 0.26, 85.58, -102.53, 1.00, 0.76, 0.09556, 0.00314
201714, 4, 0.75, 0.50, -0.50, 0.09, 0.67, 103.29, 0.90, 36.00, 0.01, 28.00, 22.00, 0.23, 28.00, 26.00, 0.26, 28.00, 26.00, 0.26, 28.00, 22.00, 0.23, 85.48, -102.54, 1.00, 0.78, 0.09556, 0.00630
201727, 4, 0.75, 0.50, -0.51, 0.07, 0.81, 103.30, 0.90, 36.00, 0.01, 28.00, 24.00, 0.25, 28.00, 30.00, 0.32, 28.00, 28.00, 0.28, 28.00, 28.00, 0.30, 85.38, -102.55, 1.00, 0.80, 0.09556, 0.01107
201816, 4, 0.75, 0.50, -0.49, 0.12, 1.07, 103.30, 0.90, 36.00, 0.01, 28.00, 30.00, 0.30, 28.00, 28.00, 0.30, 28.00, 24.00, 0.25, 28.00, 26.00, 0.26, 85.28, -102.55, 1.00, 0.82, 0.09556, 0.01565
201824, 4, 0.75, 0.50, -0.48, 0.09, 1.37, 103.31, 0.90, 36.00, 0.01, 28.00, 28.00, 0.30, 28.00, 24.00, 0.25, 28.00, 26.00, 0.26, 28.00, 32.00, 0.32, 85.13, -102.56, 1.00, 0.84, 0.09556, 0.01811
201834, 4, 0.75, 0.50, -0.51, 0.08, 1.67, 103.32, 0.90, 36.00, 0.01, 28.00, 30.00, 0.30, 28.00, 24.00, 0.25, 28.00, 18.00, 0.19, 28.00, 26.00, 0.26, 84.88, -102.57, 1.00, 0.85, 0.09556, 0.01883
201848, 4, 0.75, 0.50, -0.51, 0.05, 1.97, 103.32, 0.90, 36.00, 0.01, 28.00, 28.00, 0.30, 28.00, 28.00, 0.28, 28.00, 28.00, 0.30, 28.00, 24.00, 0.25, 84.57, -102.57, 1.00, 0.87, 0.09556, 0.02165
201860, 4, 0.75, 0.50, -0.52, 0.06, 2.32, 103.33, 0.90, 36.00, 0.01, 28.00, 32.00, 0.32, 28.00, 30.00, 0.30, 28.00, 34.00, 0.35, 28.00, 26.00, 0.28, 84.28, -102.58, 1.00, 0.89, 0.09556, 0.03034
201874, 4, 0.75, 0.50, -0.50, 0.16, 2.69, 103.34, 0.90, 36.00, 0.01, 28.00, 30.00, 0.32, 28.00, 22.00, 0.23, 28.00, 24.00, 0.25, 28.00, 24.00, 0.25, 83.97, -102.59, 1.00, 0.92, 0.09556, 0.04431
201887, 4, 0.75, 0.50, -0.51, 0.12, 3.08, 103.34, 0.90, 36.00, 0.01, 28.00, 30.00, 0.32, 28.00, 26.00, 0.26, 28.00, 24.00, 0.25, 28.00, 26.00, 0.26, 83.62, -102.59, 1.00, 0.95, 0.09557, 0.05968
