timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
115684, 3, 0.50, 0.50, -0.52, -0.11, -0.28, 0.01, 1.32, 52.80, 0.01, 0.48, 1.00, 0.00, 0.63, 1.00, 0.00, 0.39, 1.00, 0.00, 0.56, 1.00, 0.00, 0.00, 0.49, 1.00, 0.19, 0.00000, 0.00000
115764, 3, 0.50, 0.50, -0.68, 0.61, 7.91, 0.02, 1.32, 52.80, 0.01, 0.48, 0.48, 0.75, 0.63, 0.73, 0.46, 0.39, 0.34, 0.00, 0.56, 0.56, 0.77, 57.30, 0.48, 1.00, 0.20, -0.00000, 0.00000
115781, 3, 0.50, 0.50, -0.88, 1.13, 13.36, 0.04, 1.32, 52.80, 0.01, 0.48, 0.45, 0.81, 0.63, 0.66, 0.61, 0.39, 0.25, 0.54, 0.56, 0.54, 1.39, 57.30, 0.46, 1.00, 0.18, 0.00001, -0.00001
115791, 3, 0.50, 0.50, -0.78, 1.47, 17.35, 0.06, 1.32, 52.80, 0.01, 0.48, 0.48, 0.84, 0.63, 0.73, 0.42, 0.39, 0.21, 1.02, 0.56, 0.61, 0.91, 49.39, 0.44, 1.00, 0.17, 0.00001, -0.00004
115809, 3, 0.50, 0.50, -0.63, 1.91, 22.15, 0.08, 1.32, 52.80, 0.01, 0.48, 0.48, 0.91, 0.63, 0.56, 0.82, 0.39, 0.39, 0.81, 0.56, 0.54, 1.30, 43.93, 0.42, 1.00, 0.17, 0.00002, -0.00006
115818, 3, 0.50, 0.50, -0.71, 2.34, 25.93, 0.11, 1.32, 52.80, 0.01, 0.48, 0.54, 0.61, 0.63, 0.58, 1.18, 0.39, 0.42, 0.60, 0.56, 0.61, 1.12, 39.94, 0.39, 1.00, 0.16, 0.00002, -0.00002
115831, 3, 0.50, 0.50, -0.56, 2.45, 28.88, 0.15, 1.32, 52.80, 0.01, 0.48, 0.52, 0.56, 0.63, 0.70, 0.39, 0.39, 0.39, 0.61, 0.56, 0.56, 0.79, 35.14, 0.35, 1.00, 0.15, 0.00001, 0.00005
115849, 3, 0.50, 0.50, -0.71, 2.63, 31.99, 0.18, 1.32, 52.80, 0.01, 0.48, 0.45, 1.02, 0.63, 0.63, 0.70, 0.39, 0.34, 1.07, 0.56, 0.54, 1.05, 31.36, 0.32, 1.00, 0.15, 0.00000, 0.00004
115858, 3, 0.50, 0.50, -0.70, 2.72, 34.52, 0.22, 1.32, 52.80, 0.01, 0.48, 0.45, 1.00, 0.63, 0.56, 0.86, 0.39, 0.34, 1.09, 0.56, 0.52, 1.11, 28.42, 0.28, 1.00, 0.14, -0.00001, -0.00011
115871, 3, 0.50, 0.50, -0.66, 2.67, 36.94, 0.25, 1.32, 52.80, 0.01, 0.48, 0.54, 0.61, 0.63, 0.65, 0.60, 0.39, 0.41, 0.93, 0.56, 0.58, 0.72, 25.30, 0.25, 1.00, 0.14, -0.00002, -0.00029
115888, 3, 0.50, 0.50, -0.73, 2.65, 39.67, 0.29, 1.32, 52.80, 0.01, 0.48, 0.48, 0.70, 0.63, 0.65, 0.65, 0.39, 0.44, 0.60, 0.56, 0.56, 1.02, 22.78, 0.21, 1.00, 0.13, -0.00004, -0.00054
115898, 3, 0.50, 0.50, -0.85, 2.39, 42.08, 0.32, 1.32, 52.80, 0.01, 0.48, 0.48, 0.68, 0.63, 0.62, 0.74, 0.39, 0.44, 0.84, 0.56, 0.61, 0.96, 20.36, 0.18, 1.00, 0.13, -0.00006, -0.00093
115911, 3, 0.50, 0.50, -0.88, 2.26, 44.05, 0.36, 1.32, 52.80, 0.01, 0.48, 0.58, 0.21, 0.63, 0.69, 0.39, 0.39, 0.42, 0.74, 0.56, 0.65, 0.53, 17.63, 0.14, 1.00, 0.12, -0.00009, -0.00133
